,16-Oct-2018
The Nifty witnessed an intraday movement of about 79.6 points.The closing index was 0.69 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30742.66
, Traded Quantity (in Lakhs), 14891.88
, Number of Trades, 11532133
, Total Market Capitalisation (Rs. Crores), 13933904.39

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJOONI,SM,        15.25,                    61000.00,4000
,AKASH,SM,       104.25,                   514500.00,5000
,AKG,SM,        32.50,                   390000.00,12000
,AKSHARCHEM,EQ,       512.95,                  1707611.15,3361
,AKSHOPTFBR,EQ,        27.15,                 26801302.90,979839
,AKZOINDIA,EQ,      1600.75,                 24059629.45,15005
,ALANKIT,EQ,        22.35,                 20345792.35,920806
,ALBERTDAVD,EQ,       582.75,                  9441574.40,16100
,ALBK,EQ,        38.40,                 95729220.45,2510345
,ALCHEM,BE,         4.50,                    24877.00,5542
,ALEMBICLTD,EQ,        42.15,                 10365798.00,243981
,ALICON,EQ,       620.05,                  1790587.85,2867
,ALKALI,EQ,        65.25,                   644654.65,9792
,ALKEM,EQ,      1974.10,                 13104919.45,6664
,ALKYLAMINE,EQ,       600.00,                  1998152.70,3334
,ALLCARGO,EQ,        99.75,                 64896291.30,645311
,ALLSEC,EQ,       259.15,                  1069983.85,4070
,ALMONDZ,EQ,        26.60,                   238341.45,8843
,ALOKTEXT,EQ,         3.85,                 12431767.50,3243209
,ALPA,EQ,        26.25,                   480830.85,18184
,ALPHAGEO,EQ,       520.65,                  7379673.45,14307
,ALPSINDUS,BE,         2.70,                    17710.55,6739
,AMARAJABAT,EQ,       759.75,                422835426.50,548056
,AMBER,EQ,       921.40,                 12678706.45,13827
,AMBIKCO,EQ,      1161.50,                  1594557.85,1369
,AMDIND,EQ,        20.80,                    94244.85,4468
,AMJLAND,EQ,        21.95,                    65068.90,2953
,AMJUMBO,SM,        62.00,                   726600.00,12000
,AMRUTANJAN,EQ,       252.65,                  2235914.20,8808
,ANANTRAJ,EQ,        38.80,                 17733333.25,454973
,ANDHRABANK,EQ,        27.00,                 28594849.00,1061296
,ANDHRACEMT,EQ,         6.65,                   673714.00,102550
,ANDHRSUGAR,EQ,       351.45,                 61466049.65,176194
,ANGIND,BE,         1.80,                     8998.60,4997
,ANIKINDS,EQ,        26.95,                    51562.00,1961
,ANKITMETAL,BE,          .45,                    10789.55,23898
,ANSALAPI,EQ,        11.60,                   734885.60,63096
,ANSALHSG,EQ,        11.15,                   667688.80,60193
,ANTGRAPHIC,BE,          .55,                    18911.40,37463
,APARINDS,EQ,       572.85,                  4621694.05,8042
,APCL,EQ,       121.55,                  1199473.25,9656
,APCOTEXIND,EQ,       554.85,                  1773963.35,3187
,APEX,EQ,       386.30,                101785801.20,255642
,APLAPOLLO,EQ,      1379.05,                 41332984.05,30202
,APLLTD,EQ,       600.10,                 70669747.65,116889
,APOLLO,EQ,       126.60,                  8443545.85,66773
,APOLLOHOSP,EQ,      1109.00,                315126045.05,281120
,APOLLOTYRE,EQ,       220.30,                452802707.65,2053978
,APOLSINHOT,EQ,       694.25,                  1658689.45,2401
,APTECHT,EQ,       189.50,                617048463.75,3438968
,ARCHIDPLY,EQ,        49.60,                  6249655.10,126431
,ARCHIES,EQ,        26.55,                   933004.60,35145
,ARCOTECH,BE,         6.70,                  2336360.50,368202
,ARIES,EQ,       102.05,                  2024369.75,19581
,ARIHANT,EQ,        28.30,                    17857.30,631
,ARIHANTSUP,EQ,        56.35,                  1028713.75,17888
,ARMANFIN,EQ,       335.55,                   544160.30,1683
,AROGRANITE,EQ,        55.60,                   435695.35,7903
,ARROWGREEN,EQ,       125.05,                  1460048.40,11718
,ARROWTEX,EQ,        26.20,                   501278.75,19197
,ARSHIYA,EQ,        42.50,                  9802752.35,228095
,ARSSINFRA,EQ,        22.75,                   478614.30,21198
,ARVIND,EQ,       332.30,                630249426.90,1880184
,ARVSMART,EQ,       118.25,                  1940225.20,16367
,ASAHIINDIA,EQ,       300.45,                  1606402.15,5296
,ASAHISONG,EQ,       253.05,                   916231.10,3649
,ASAL,EQ,        45.00,                   397132.60,8798
,ASHAPURMIN,EQ,        31.30,                  2890387.40,90427
,ASHIANA,EQ,       126.75,                  1599624.40,12517
,ASHIMASYN,EQ,        16.30,                 13270581.55,825526
,ASHOKA,EQ,       116.20,                 11249927.20,96081
,ASIANHOTNR,EQ,       173.60,                   468245.15,2657
,ASIANTILES,EQ,       189.55,                 11225005.60,58436
,ASPINWALL,EQ,       187.05,                   429815.45,2298
,ASTEC,EQ,       563.75,                 10319756.80,18543
,ASTERDM,EQ,       166.00,                  5186666.90,31438
,ASTRAL,EQ,       950.65,                 19958077.75,21048
,ASTRAMICRO,EQ,        82.25,                 22922021.40,278071
,ASTRAZEN,EQ,      1694.30,                 20580113.15,12007
,ASTRON,EQ,       120.55,                 15830651.45,130202
,ATFL,EQ,       525.20,                  2422563.00,4642
,ATLANTA,EQ,        23.45,                   266462.35,11363
,ATLASCYCLE,BZ,        90.00,                   294682.50,3327
,ATNINTER,BE,          .15,                     3008.15,20332
,ATUL,EQ,      3365.95,                217491220.95,64260
,ATULAUTO,EQ,       332.10,                  5736908.20,17540
,AUBANK,EQ,       631.55,                142025478.60,225861
,AURDIS,SM,        20.40,                    40800.00,2000
,AURIONPRO,EQ,       163.90,                  1052739.65,6430
,AUSOMENT,EQ,        54.00,                    58163.40,1073
,AUTOAXLES,EQ,      1223.05,                 36775851.55,30158
,AUTOIND,EQ,        66.70,                  4224248.50,65014
,AUTOLITIND,EQ,        43.45,                   791837.15,18164
,AVADHSUGAR,EQ,       512.30,                 59007175.40,115139
,AVANTIFEED,EQ,       423.00,                308043940.20,711714
,AVG,SM,        89.25,                   328260.00,3600
,AVTNPL,EQ,        28.65,                  1314136.85,45759
,AXISCADES,EQ,        74.50,                  5189949.15,69484
,AXISGOLD,EQ,      2821.15,                   490722.70,174
,AXISNIFTY,EQ,      1081.45,                    17174.65,16
,AYMSYNTEX,EQ,        38.35,                   564322.50,14974
,BAFNAPHARM,EQ,        14.15,                    95395.45,6884
,BAGFILMS,EQ,         4.80,                   168102.45,35167
,BAJAJCORP,EQ,       393.20,                 12882266.00,32671
,BAJAJELEC,EQ,       531.30,                223645936.50,428447
,BAJAJHIND,EQ,        10.70,                 90632566.95,8329039
,BAJAJHLDNG,EQ,      2625.70,                 46941578.95,17831
,BALAJITELE,EQ,       105.10,                  9558771.45,89420
,BALAMINES,EQ,       497.85,                 10613748.60,21240
,BALKRISHNA,EQ,        57.90,                   943489.65,16272
