,11-Oct-2018
The Nifty witnessed an intraday movement of about 197.35 points.The closing index was 2.16 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 38661.67
, Traded Quantity (in Lakhs), 16767.77
, Number of Trades, 16170898
, Total Market Capitalisation (Rs. Crores), 13410935.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJMERA,EQ,       146.30,                  4518185.85,30487
,AKASH,SM,        96.25,                   385050.00,4000
,AKSHARCHEM,EQ,       439.75,                  1386949.20,3154
,AKSHOPTFBR,EQ,        24.50,                 34032683.10,1407590
,AKZOINDIA,EQ,      1589.40,                  6161619.30,3889
,ALANKIT,EQ,        19.15,                 10211971.05,529026
,ALBERTDAVD,EQ,       532.40,                 12495653.15,23063
,ALBK,EQ,        35.40,                 79127273.80,2243432
,ALCHEM,BE,         4.15,                    10835.95,2464
,ALEMBICLTD,EQ,        40.30,                 11162580.45,275249
,ALICON,EQ,       585.05,                  1397032.30,2367
,ALKALI,EQ,        57.05,                   150077.35,2668
,ALKEM,EQ,      1950.15,                455672593.55,233701
,ALKYLAMINE,EQ,       584.50,                  1263757.80,2169
,ALLCARGO,EQ,        98.65,                 14814737.00,150583
,ALLSEC,EQ,       249.20,                  6077087.35,24738
,ALMONDZ,BE,        27.80,                    16825.40,634
,ALOKTEXT,BE,         3.45,                  1187835.00,344300
,ALPA,EQ,        24.05,                   242947.85,9996
,ALPHAGEO,EQ,       473.70,                  6352572.35,13212
,ALPSINDUS,BE,         2.60,                    24828.90,9350
,AMARAJABAT,EQ,       719.45,                404792668.90,558021
,AMBER,EQ,       868.35,                  3616392.70,4151
,AMBIKCO,EQ,      1138.00,                  2378025.75,2124
,AMDIND,EQ,        19.90,                    65633.55,3387
,AMJLAND,EQ,        21.65,                   356011.20,16389
,AMJUMBO,SM,        64.00,                   387200.00,6000
,AMRUTANJAN,EQ,       246.60,                  3407230.60,13837
,ANANTRAJ,EQ,        36.25,                  8744104.20,241886
,ANDHRABANK,EQ,        25.85,                 28060651.80,1082923
,ANDHRACEMT,EQ,         6.00,                   482931.20,81431
,ANDHRSUGAR,EQ,       308.95,                 38175956.10,122140
,ANGIND,BE,         2.00,                    10875.60,5508
,ANIKINDS,EQ,        25.95,                    63006.60,2483
,ANKITMETAL,BE,          .50,                     9694.50,19739
,ANSALAPI,EQ,        10.75,                   496858.30,46788
,ANSALHSG,EQ,         9.65,                   602867.25,61948
,ANTGRAPHIC,BE,          .55,                     2404.70,4592
,APARINDS,EQ,       577.90,                 16094305.20,27752
,APCL,EQ,       112.40,                   274252.85,2465
,APCOTEXIND,EQ,       520.65,                  2619455.50,5065
,APEX,EQ,       366.35,                 68354310.75,183829
,APLAPOLLO,EQ,      1200.85,                 36801670.65,30834
,APLLTD,EQ,       598.00,                 48289667.60,81104
,APOLLO,EQ,       107.85,                  2876153.70,27271
,APOLLOHOSP,EQ,      1121.15,                825401609.00,734133
,APOLLOTYRE,EQ,       206.00,                411809619.15,1980808
,APOLSINHOT,EQ,      1117.00,                   691296.35,621
,APTECHT,EQ,       129.85,                 21449347.60,164684
,ARCHIDPLY,EQ,        39.50,                   437787.15,10973
,ARCHIES,EQ,        25.05,                  1822091.45,72834
,ARCOTECH,BE,         7.05,                   350631.75,49735
,ARIES,EQ,        94.75,                  3241463.25,34379
,ARIHANT,EQ,        28.20,                    26634.20,938
,ARIHANTSUP,EQ,        57.50,                  1044179.35,18217
,ARMANFIN,EQ,       294.05,                  9532846.40,35022
