,23-Oct-2018
The Nifty witnessed an intraday movement of about 119.75 points.The closing index was 0.96 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32275.65
, Traded Quantity (in Lakhs), 12780.24
, Number of Trades, 12650097
, Total Market Capitalisation (Rs. Crores), 13262682.33

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BSL,EQ,        46.15,                    65600.70,1427
,BSLGOLDETF,EQ,      2989.85,                    53728.65,18
,BSLNIFTY,EQ,       113.60,                     1124.88,10
,BURNPUR,EQ,         3.70,                   487482.70,129787
,BUTTERFLY,EQ,       234.70,                  3315542.40,13970
,BVCL,BE,        16.20,                    19872.00,1200
,BYKE,EQ,        79.30,                  5216755.65,65552
,CADSYS,SM,        55.00,                   329000.00,6000
,CALSOFT,EQ,        36.00,                   122540.00,3459
,CAMLINFINE,EQ,        44.05,                  9352052.20,210009
,CANBK,EQ,       208.10,               1303823552.70,6251505
,CANDC,EQ,        28.05,                   516524.35,17961
,CANFINHOME,EQ,       222.25,                968155992.55,4207402
,CANTABIL,EQ,       131.20,                  2687570.75,20581
,CAPACITE,EQ,       185.20,                  4299482.45,23134
,CAPF,EQ,       463.10,                177766113.75,385971
,CAPLIPOINT,EQ,       400.85,                 12858841.40,32439
,CAPTRUST,EQ,       218.75,                  2772504.65,12739
,CARBORUNIV,EQ,       364.90,                 22297729.70,61481
,CAREERP,EQ,        70.35,                  1122591.05,16034
,CARERATING,EQ,      1071.75,                142523074.80,138114
,CASTEXTECH,EQ,         1.15,                   727040.90,632043
,CASTROLIND,EQ,       137.95,                431543190.70,3146123
,CCCL,EQ,         1.85,                   210169.90,111857
,CCHHL,EQ,         7.45,                   321427.55,42959
,CCL,EQ,       236.05,                 39950765.05,166758
,CDSL,EQ,       236.10,                 21705906.75,92467
,CEATLTD,EQ,      1033.05,                401994570.80,381716
,CEBBCO,EQ,        13.45,                   142205.65,10637
,CELEBRITY,EQ,         9.00,                   204233.90,22693
,CELESTIAL,EQ,         9.05,                   370096.30,40403
,CENTENKA,EQ,       234.55,                 10770356.25,45347
,CENTEXT,EQ,         6.05,                   488299.45,80682
,CENTRALBK,EQ,        29.80,                  9344529.05,313218
,CENTRUM,EQ,        40.45,                 10379987.85,259646
,CENTUM,EQ,       359.00,                    57315.00,160
,CENTURYPLY,EQ,       166.70,                 47412489.15,282333
,CENTURYTEX,EQ,       735.30,                417101656.00,567320
,CERA,EQ,      2365.20,                  7761915.20,3268
,CEREBRAINT,EQ,        32.05,                  2641825.00,82916
,CES1RPG,MF,         8.80,                   523742.30,58240
,CESC,EQ,       867.80,                510539783.15,587303
,CGCL,EQ,       105.55,                  7896881.45,74273
,CGPOWER,EQ,        36.90,                 95862398.20,2622716
,CHAMBLFERT,EQ,       143.80,                 17835011.50,125205
,CHEMFAB,EQ,       157.95,                   452501.10,2823
,CHENNPETRO,EQ,       264.95,                138624851.75,541378
,CHOLAFIN,EQ,      1111.75,                367931554.35,326056
,CHROMATIC,EQ,         1.00,                    41618.40,41436
,CIGNITITEC,EQ,       372.60,                  3006447.65,8073
,CIMMCO,EQ,        47.10,                   995868.90,20998
,CINELINE,EQ,        44.35,                  1110702.45,24615
,CINEVISTA,EQ,         5.85,                     4555.00,800
,CLEDUCATE,EQ,       112.00,                   865410.25,7577
,CLNINDIA,EQ,       388.45,                  2890462.40,7498
,CMICABLES,EQ,       124.75,                  2377865.80,18850
,CMMIPL,SM,        15.60,                   187200.00,12000
,CNOVAPETRO,EQ,        23.75,                     3105.50,130
,COCHINSHIP,EQ,       379.50,                 38684895.65,101609
,COFFEEDAY,EQ,       267.60,                 39478409.75,148115
,COMPINFO,EQ,        22.90,                   202810.95,8864
,COMPUSOFT,EQ,        11.10,                   137735.80,12386
,CONSOFINVT,EQ,        50.40,                    52297.95,1024
,CONTROLPR,EQ,       343.05,                  4319391.60,12707
,CORALFINAC,EQ,        14.45,                   481192.70,33380
,CORDSCABLE,EQ,        58.45,                  1113142.50,18551
,COROMANDEL,EQ,       375.10,                 44025961.65,117797
,CORPBANK,EQ,        22.85,                  6424775.10,277020
,COSMOFILMS,EQ,       226.55,                  2967868.95,12917
,COUNCODOS,EQ,         2.40,                    84935.15,36121
,COX&KINGS,EQ,       189.80,                 20955349.60,109541
,CPSEETF,EQ,        24.72,                  4363659.93,177446
,CREATIVE,SM,        91.15,                   145840.00,1600
,CREDITACC,EQ,       268.85,                  8301611.95,31084
,CREST,EQ,       139.05,                  1451309.90,10533
,CRISIL,EQ,      1355.30,                 46403259.95,33880
,CRMFGETF,EQ,      2972.00,                    26740.00,9
,CROMPTON,EQ,       197.95,                188743501.55,953858
,CTE,EQ,        46.80,                   130893.80,2851
,CUB,EQ,       172.40,                 76014268.05,442854
,CUBEXTUB,EQ,        12.00,                    16474.10,1397
,CUMMINSIND,EQ,       655.50,                321691190.30,488907
,CUPID,EQ,       171.15,                  4843659.15,28401
,CURATECH,BE,         2.70,                       22.10,8
,CYBERTECH,EQ,        41.00,                   261337.25,6358
,CYIENT,EQ,       609.60,                138836220.50,227127
,DAAWAT,EQ,        41.20,                 21325953.35,515735
,DALMIABHA,EQ,      2038.45,                488505966.45,247007
,DALMIASUG,EQ,        84.70,                 29470009.45,346089
,DAMODARIND,EQ,        98.50,                   140670.95,1410
,DANGEE,SM,       217.70,                  1742880.00,8000
,DATAMATICS,EQ,       106.85,                  8452248.80,78159
,DBCORP,EQ,       163.90,                  6004978.25,36138
,DBL,EQ,       403.30,                292051267.50,720415
,DBREALTY,EQ,        16.95,                 11272035.80,659116
,DBSTOCKBRO,EQ,         9.00,                       99.00,11
,DCAL,EQ,       219.40,                 80002136.95,359803
,DCBBANK,EQ,       156.15,                155303559.55,995684
,DCM,EQ,        72.60,                   198846.60,2711
