,30-Oct-2018
The Nifty witnessed an intraday movement of about 109.75 points.The closing index was 0.51 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32393.66
, Traded Quantity (in Lakhs), 16367.36
, Number of Trades, 13096326
, Total Market Capitalisation (Rs. Crores), 13493084.41

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,        27.50,                 59685343.75,2146767
,AKZOINDIA,EQ,      1502.30,                 19964463.05,13226
,ALANKIT,EQ,        19.80,                  9520882.70,474540
,ALBERTDAVD,EQ,       519.35,                  4927978.80,9441
,ALBK,EQ,        41.75,                346041555.15,8225585
,ALCHEM,BE,         3.60,                    24815.45,6961
,ALEMBICLTD,EQ,        42.80,                 23038596.50,549078
,ALICON,EQ,       600.95,                   504447.50,841
,ALKALI,EQ,        60.60,                  3817900.75,60580
,ALKEM,EQ,      1918.60,                 52446176.40,27349
,ALKYLAMINE,EQ,       592.30,                  1008182.80,1697
,ALLCARGO,EQ,       101.35,                 10147022.85,100141
,ALLSEC,EQ,       242.25,                  1193547.75,4966
,ALMONDZ,EQ,        22.05,                    23200.05,1052
,ALOKTEXT,EQ,         3.05,                 10057383.35,3196532
,ALPA,EQ,        26.25,                   868371.80,33140
,ALPHAGEO,EQ,       489.50,                  1863695.15,3814
,ALPSINDUS,BE,         2.60,                    28975.25,10906
,AMARAJABAT,EQ,       753.20,                208879907.60,275795
,AMBER,EQ,       860.45,                  1976144.30,2298
,AMBIKCO,EQ,      1148.20,                  1286005.65,1120
,AMDIND,EQ,        20.80,                   359583.05,17232
,AMJLAND,EQ,        21.60,                   225516.30,10501
,AMJUMBO,SM,        57.00,                   114000.00,2000
,AMRUTANJAN,EQ,       268.25,                 62262619.15,223517
,ANANTRAJ,EQ,        34.95,                 12271685.25,350143
,ANDHRABANK,EQ,        27.80,                104676793.25,3781560
,ANDHRACEMT,EQ,         6.25,                  1506069.55,240438
,ANDHRSUGAR,EQ,       361.95,                 52169043.65,144472
,ANGIND,BE,         1.45,                     5298.30,3654
,ANIKINDS,EQ,        26.80,                    36019.00,1361
,ANKITMETAL,BE,          .50,                     2260.00,5000
,ANSALAPI,EQ,        10.75,                   795222.00,72956
,ANSALHSG,EQ,        10.25,                    43967.65,4297
,ANTGRAPHIC,BE,          .55,                     3159.35,6311
,APARINDS,EQ,       560.80,                  3883566.65,6963
,APCL,EQ,       118.75,                   146245.20,1229
,APCOTEXIND,EQ,       534.15,                  4444667.55,8371
,APEX,EQ,       388.45,                163491546.40,422216
,APLAPOLLO,EQ,      1208.80,                 33546039.85,27775
,APLLTD,EQ,       593.55,                 53520331.05,89020
,APOLLO,EQ,       121.75,                  2690749.90,22010
,APOLLOHOSP,EQ,      1166.60,                711713761.05,617733
,APOLLOTYRE,EQ,       215.05,                516311575.75,2383136
,APOLSINHOT,EQ,       615.45,                   247234.10,402
,APTECHT,EQ,       150.25,                 48563424.85,319504
,ARCHIDPLY,EQ,        41.20,                  1327800.10,31696
,ARCHIES,EQ,        25.40,                   904085.55,35400
,ARCOTECH,BE,         5.75,                  1096671.70,191916
,ARIES,EQ,        95.75,                  1899128.85,19787
,ARIHANT,EQ,        25.00,                    54511.95,2119
,ARIHANTSUP,EQ,        52.85,                  2630928.35,49974
,ARMANFIN,EQ,       325.05,                   499929.20,1579
,AROGRANITE,EQ,        52.00,                   338245.70,6487
,ARROWGREEN,EQ,       106.65,                  2081602.45,19342
,ARROWTEX,EQ,        24.85,                   151240.85,6200
,ARSHIYA,EQ,        34.00,                  6138766.90,177343
,ARSSINFRA,EQ,        23.00,                   116760.20,5056
,ARVIND,EQ,       345.85,                803181940.75,2354790
,ARVSMART,EQ,       113.20,                  3987639.55,34656
,ASAHIINDIA,EQ,       285.85,                 25272738.00,89286
,ASAHISONG,EQ,       247.35,                   356877.50,1443
,ASAL,EQ,        52.45,                 12541002.40,230319
,ASHAPURMIN,EQ,        28.40,                  1098545.35,39133
,ASHIANA,EQ,       125.50,                  7946188.75,63590
,ASHIMASYN,EQ,        14.70,                   465775.90,31075
,ASHOKA,EQ,       110.70,                 10995042.20,100230
,ASIANHOTNR,EQ,       149.80,                  1381607.65,8956
,ASIANTILES,EQ,       178.45,                 10661657.95,59360
,ASPINWALL,EQ,       181.05,                   349177.10,1879
,ASSAMCO,BE,         2.35,                    43987.30,18718
,ASTEC,EQ,       531.55,                  7638597.90,14258
