symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2015-09-07,11482,4283,37.30
ADANIPORTS,EQ,2015-09-07,2580631,1199220,46.47
BEL,EQ,2015-09-07,169429,95718,56.49
BOSCHLTD,EQ,2015-09-07,19643,7195,36.63
CUMMINSIND,EQ,2015-09-07,102279,72230,70.62
DLF,EQ,2015-09-07,11584547,1911102,16.50
HINDALCO,EQ,2015-09-07,5573543,1670254,29.97
INDHOTEL,D1,2015-09-07,3258,2845,87.32
INDHOTEL,EQ,2015-09-07,434644,297693,68.49
LT,EQ,2015-09-07,1221088,516208,42.27
MANAPPURAM,EQ,2015-09-07,648855,468409,72.19
MARUTI,EQ,2015-09-07,300049,74287,24.76
PGEL,EQ,2015-09-07,85974,70486,81.99
SBIN,EQ,2015-09-07,15424783,4118372,26.70
SBIN,N1,2015-09-07,100,100,100.00
SBIN,N2,2015-09-07,5,5,100.00
SBIN,N3,2015-09-07,177,170,96.05
SBIN,N5,2015-09-07,336,323,96.13
SUZLON,EQ,2015-09-07,27192697,10599568,38.98
TRENT,EQ,2015-09-07,3388,1833,54.10
