symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2013-04-23,507.30,495.90,0.0227,0.0167,,0.3267
ADANIPORTS,2013-04-23,147.30,150.35,-0.0205,0.0271,,0.5101
BEL,2013-04-23,1181.30,1169.85,0.0097,0.0171,,0.3191
BOSCHLTD,2013-04-23,8919.20,8846.45,0.0082,0.0096,,0.1815
CUMMINSIND,2013-04-23,515.65,504.40,0.0221,0.0163,,0.3191
DLF,2013-04-23,246.90,251.05,-0.0167,0.0288,,0.5388
HINDALCO,2013-04-23,96.30,95.45,0.0089,0.0175,,0.3267
INDHOTEL,2013-04-23,58.05,57.90,0.0026,0.0164,,0.3038
LT,2013-04-23,1504.70,1533.85,-0.0192,0.0220,,0.4165
MANAPPURAM,2013-04-23,17.65,16.90,0.0434,0.0562,,1.0603
MARUTI,2013-04-23,1536.35,1540.45,-0.0027,0.0213,,0.3955
PGEL,2013-04-23,85.05,85.35,-0.0035,0.0442,,0.8196
SBIN,2013-04-23,2287.50,2327.10,-0.0172,0.0187,,0.3554
SUZLON,2013-04-23,14.35,14.65,-0.0207,0.0462,,0.8616
TRENT,2013-04-23,998.40,1002.30,-0.0039,0.0111,,0.2063
