symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2020-11-04,884.9,888.95,871.25,878.8,878.45,877.4,25456,22393604,4923,INE117A01022
ADANIPORTS,EQ,2020-11-04,367.65,369.5,349.6,361.1,361.55,353.65,17940352,6430634499.55,135409,INE742F01042
BEL,EQ,2020-11-04,90.25,90.35,87.9,88.9,88.7,89.4,3391500,300628235.35,15733,INE263A01024
BOSCHLTD,EQ,2020-11-04,11870,11963.1,11739.75,11802.95,11768.8,11820.8,31121,368544994.95,6887,INE323A01026
CUMMINSIND,EQ,2020-11-04,449.65,449.65,438,440.15,442.05,447,511546,225702708.2,7850,INE298A01020
DIXON,EQ,2020-11-04,9509.65,9595,9500,9556.55,9550,9509.65,12817,122315104.1,5033,INE935N01012
DLF,EQ,2020-11-04,163.65,164.65,160.05,162.8,162.6,163.65,8663963,1408204262.65,52923,INE271C01023
DMART,EQ,2020-11-04,2210.05,2300,2210.05,2290.8,2293,2209.05,698833,1584955171.2,42509,INE192R01011
HAL,EQ,2020-11-04,670,675,658,660.9,662.4,672.65,253479,168383105.45,14414,INE066F01012
HINDALCO,EQ,2020-11-04,177,181.2,174.1,176.5,176.55,179.75,11618409,2057406044.8,57323,INE038A01020
INDHOTEL,EQ,2020-11-04,95.55,97.6,95.1,96.6,96.4,96.3,686035,66124395,7706,INE053A01029
INDIGO,EQ,2020-11-04,1356.85,1372.2,1323.55,1341.45,1340.25,1370.25,884649,1186847672.6,36752,INE646L01027
LT,EQ,2020-11-04,934.25,950.65,930,939.85,940.95,947.75,3369408,3174889437.7,72403,INE018A01030
MANAPPURAM,EQ,2020-11-04,160,160.5,156.6,158.8,158.5,159.1,3963626,628949156.35,22024,INE522D01027
MARUTI,EQ,2020-11-04,6913.35,7054,6909.5,6954.05,6952,6913.35,901404,6288738535,92135,INE585B01010
SBIN,EQ,2020-11-04,203.5,209,198.05,207,205.5,204.75,117577856,24018836837.15,486009,INE062A01020
SUZLON,EQ,2020-11-04,3.2,3.2,3.2,3.2,3.2,3.35,5222129,16710812.8,1833,INE040H01021
TRENT,EQ,2020-11-04,658.05,682.5,658.05,668.5,667.6,654.75,368310,248097932.2,28985,INE849A01020
