symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2025-11-27,5240.60,5197.50,0.0083,0.0184,0.0184,0.3515
ADANIPORTS,2025-11-27,1509.10,1506.20,0.0019,0.0195,0.0194,0.3706
BEL,2025-11-27,413.05,415.30,-0.0054,0.0192,0.0191,0.3649
BOSCHLTD,2025-11-27,36319.90,36485.25,-0.0045,0.0147,0.0146,0.2789
CUMMINSIND,2025-11-27,4449.40,4408.20,0.0093,0.0180,0.0180,0.3439
DIXON,2025-11-27,14642.85,14825.35,-0.0124,0.0228,0.0227,0.4337
DLF,2025-11-27,725.40,730.75,-0.0073,0.0186,0.0185,0.3534
DMART,2025-11-27,4007.10,4019.10,-0.0030,0.0164,0.0164,0.3133
ETERNAL,2025-11-27,302.75,306.85,-0.0135,0.0232,0.0232,0.4432
HAL,2025-11-27,4483.20,4517.80,-0.0077,0.0201,0.0201,0.3840
HINDALCO,2025-11-27,807.55,800.80,0.0084,0.0174,0.0173,0.3305
INDHOTEL,2025-11-27,735.00,731.40,0.0049,0.0183,0.0182,0.3477
INDIGO,2025-11-27,5919.00,5912.90,0.0010,0.0167,0.0167,0.3191
LENSKART,2025-11-27,407.70,405.00,0.0066,0.0067,0.0067,0.1280
LT,2025-11-27,4081.65,4062.00,0.0048,0.0140,0.0140,0.2675
MANAPPURAM,2025-11-27,285.65,287.80,-0.0075,0.0218,0.0217,0.4146
MARUTI,2025-11-27,15902.95,16156.00,-0.0158,0.0131,0.0131,0.2503
PAYTM,2025-11-27,1293.10,1286.50,0.0051,0.0279,0.0279,0.5330
PGEL,2025-11-27,585.50,604.20,-0.0314,0.0351,0.0351,0.6706
SBIN,2025-11-27,972.85,983.90,-0.0113,0.0132,0.0132,0.2522
SUZLON,2025-11-27,54.93,55.58,-0.0118,0.0254,0.0254,0.4853
TRENT,2025-11-27,4266.15,4292.40,-0.0061,0.0229,0.0228,0.4356
