,13-Feb-2026
The Nifty witnessed an intraday movement of about 186.05 points.The closing index was 1.3 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 123599.44
, Traded Quantity (in Lakhs), 45725.04
, Number of Trades, 36537677
, Total Market Capitalisation (Rs. Crores), 46364937.40

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     14507.05,     14473.90,     14495.60,     14343.20,     14384.05,-123.00
,NIFTY CONSR DURBL,     38110.10,     37928.25,     37931.30,     37533.65,     37618.30,-491.80
,NIFTY OIL AND GAS,     12205.55,     12120.75,     12132.80,     11958.15,     11976.45,-229.10
,NIFTY500 MULTICAP,     16298.75,     16162.85,     16164.55,     16024.55,     16056.10,-242.65
,NIFTY LARGEMID250,     16769.60,     16629.75,     16632.65,     16482.95,     16518.00,-251.60
,NIFTY MID SELECT,     13893.50,     13750.50,     13763.20,     13580.60,     13628.35,-265.15
,NIFTY TOTAL MKT,     13268.15,     13154.65,     13162.05,     13062.35,     13078.15,-190.00
,NIFTY MICROCAP250,     22232.90,     22057.20,     22075.55,     21771.25,     21907.40,-325.50
,NIFTY IND DIGITAL,      8596.75,      8396.90,      8509.55,      8312.55,      8446.30,-150.45
,Nifty Tata 25 Cap,     15295.75,     15028.05,     15148.70,     14926.40,     15018.40,-277.35
,Nifty MidSml Hlth,     42841.50,     42613.85,     42740.85,     42161.80,     42224.95,-616.55
,Nifty Multi Mfg,     16002.30,     15896.95,     15906.45,     15731.20,     15758.95,-243.35
,Nifty Multi Infra,     14374.55,     14311.50,     14320.30,     14148.55,     14172.30,-202.25
,BHARATBOND-APR30,      1569.60,      1569.91,      1570.82,      1569.89,      1570.82,1.22
,BHARATBOND-APR31,      1424.78,      1425.05,      1426.48,      1425.05,      1426.48,1.70
,BHARATBOND-APR32,      1294.16,      1294.41,      1295.60,      1294.41,      1295.60,1.44
,BHARATBOND-APR33,      1256.23,      1256.48,      1258.35,      1256.47,      1258.35,2.12
,Nifty Ind Defence,      8064.45,      8071.35,      8104.90,      7962.80,      7991.75,-72.70
,Nifty Ind Tourism,      8142.10,      8106.75,      8106.75,      7960.65,      8013.15,-128.95
,Nifty Capital Mkt,      4912.65,      4853.35,      4871.15,      4776.20,      4788.30,-124.35
,Nifty500Momentm50,     53249.90,     52811.35,     52831.40,     52252.30,     52347.45,-902.45
,NiftyMS400 MQ 100,     48098.75,     47586.50,     47595.70,     46922.75,     47056.40,-1042.35
,NiftySml250MQ 100,     42925.90,     42593.75,     42607.75,     41961.90,     42157.70,-768.20
,Nifty Top 10 EW,      9491.75,      9365.55,      9416.65,      9354.85,      9380.35,-111.40
,Nifty AQL 30,     22745.55,     22624.70,     22641.15,     22459.40,     22485.55,-260.00
,Nifty AQLV 30,     20968.15,     20775.20,     20844.10,     20665.05,     20688.60,-279.55
,Nifty EV,      3094.50,      3072.80,      3075.75,      3037.75,      3058.20,-36.30
,Nifty HighBeta 50,      3920.60,      3884.60,      3884.65,      3812.30,      3830.50,-90.10
,Nifty New Consump,     11711.00,     11634.95,     11650.25,     11508.50,     11548.60,-162.40
,Nifty Corp MAATR,     38603.70,     38100.10,     38157.00,     37693.25,     37770.20,-833.50
,Nifty Low Vol 50,     25427.55,     25259.25,     25288.85,     25119.60,     25152.85,-274.70
,Nifty Mobility,     23438.20,     23340.75,     23411.10,     23093.60,     23140.85,-297.35
,Nifty Qlty LV 30,     17123.35,     16946.85,     17020.45,     16866.80,     16883.60,-239.75
,Nifty Sml250 Q50,     24743.50,     24552.80,     24576.55,     24259.55,     24384.65,-358.85
,Nifty Top 15 EW,     10761.35,     10646.90,     10694.05,     10638.70,     10654.40,-106.95
,Nifty100 Alpha 30,     18391.75,     18308.15,     18320.15,     18152.75,     18185.45,-206.30
,Nifty100 Enh ESG,      5198.60,      5142.95,      5154.00,      5112.00,      5130.00,-68.60
,Nifty200 Value 30,     15773.80,     15624.30,     15625.90,     15456.35,     15485.90,-287.90
,Nifty500 EW,     14010.15,     13908.80,     13909.20,     13732.90,     13798.25,-211.90
,Nifty Multi MQ 50,     41691.85,     41253.75,     41294.00,     40786.05,     40851.00,-840.85
,Nifty500 Value 50,     16585.15,     16417.80,     16419.35,     16235.10,     16265.25,-319.90
,Nifty Top 20 EW,      9533.30,      9435.50,      9471.90,      9398.65,      9414.00,-119.30
,Nifty CoreHousing,     15499.80,     15418.25,     15418.30,     15213.40,     15288.05,-211.75
,Nifty FinSerExBnk,     32288.25,     32069.10,     32094.65,     31753.15,     31916.55,-371.70
,Nifty Housing,     12104.65,     12043.30,     12047.80,     11913.40,     11927.95,-176.70
,Nifty IPO,      1997.75,      1989.80,      1994.05,      1964.55,      1979.50,-18.25
,Nifty MS Fin Serv,     21252.80,     21065.95,     21065.95,     20733.65,     20839.30,-413.50
,Nifty MS Ind Cons,     18594.95,     18499.25,     18501.75,     18241.70,     18295.15,-299.80
,Nifty MS IT Telcm,      9309.80,      9081.85,      9242.10,      8964.60,      9127.35,-182.45
,Nifty NonCyc Cons,     15585.60,     15534.70,     15540.60,     15269.00,     15299.25,-286.35
,Nifty Rural,     16265.55,     16190.05,     16198.60,     16071.55,     16093.55,-172.00
,Nifty Shariah 25,      8130.55,      7996.60,      8052.10,      7942.95,      7999.55,-131.00
,Nifty Trans Logis,     26085.75,     25950.20,     26030.55,     25668.30,     25724.75,-361.00
,Nifty50 Shariah,      4589.65,      4461.80,      4536.95,      4440.15,      4507.65,-82.00
,Nifty500 LMS Eql,     17868.95,     17723.45,     17724.40,     17544.75,     17594.35,-274.60
,Nifty500 Shariah,      6983.55,      6866.40,      6918.70,      6805.40,      6875.90,-107.65
,Nifty500 Qlty50,     18807.60,     18580.80,     18601.00,     18390.55,     18458.60,-349.00
,Nifty500 LowVol50,     23004.75,     22793.95,     22917.00,     22722.80,     22778.85,-225.90
,Nifty500 MQVLv50,     32119.85,     31886.85,     31895.10,     31540.10,     31581.40,-538.45
,Nifty500 Flexicap,     10160.45,      9991.25,     10085.80,      9939.45,      9996.25,-164.20
,Nifty TMMQ 50,     42690.10,     42237.60,     42262.40,     41775.60,     41839.35,-850.75
,Nifty FPI 150,      1600.60,      1584.40,      1586.40,      1574.80,      1577.85,-22.75
,Nifty SME Emerge,     13278.20,     13254.40,     13260.45,     13130.40,     13172.90,-105.30
,Nifty Internet,      1319.60,      1313.20,      1317.75,      1282.95,      1290.45,-29.15
,Nifty Chemicals,     28783.90,     28472.70,     28559.30,     28253.80,     28425.15,-358.75
,Nifty Waves,      2037.35,      2033.95,      2041.90,      2003.65,      2020.30,-17.05
,Nifty InfraLog,     11541.60,     11491.55,     11491.95,     11352.25,     11368.35,-173.25
,Nifty500 Health,     18440.15,     18378.95,     18407.85,     18203.35,     18256.80,-183.35
,Nifty RailwaysPSU,      3315.00,      3296.00,      3297.05,      3257.95,      3264.35,-50.65
,NiftyConglomerate,     14974.25,     14799.75,     14840.55,     14706.60,     14759.50,-214.75
,India VIX,11.7250,11.7250,13.5825,10.9625,13.2925,1.5675

,ADVANCES,871
,DECLINES,2467
,UNCHANGED,84

,Total securities that have hit their price bands today,140

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,INFY,EQ,      1386.00,      1369.10,-1.22,6116.35
,HDFCBANK,EQ,       920.60,       903.90,-1.81,4578.48
,TCS,EQ,      2750.10,      2692.20,-2.11,2959.06
,ENGINERSIN,EQ,       180.90,       201.67,11.48,2748.00
,SILVERBEES,EQ,       245.39,       232.58,-5.22,2719.40
,MUTHOOTFIN,EQ,      4066.90,      3586.10,-11.82,2357.05
,BAJFINANCE,EQ,       999.10,      1024.75,2.57,2195.19
,SBIN,EQ,      1192.40,      1198.60,0.52,2167.31
,COFORGE,EQ,      1421.50,      1361.80,-4.20,1747.04
,ICICIBANK,EQ,      1430.00,      1414.60,-1.08,1733.58
,AVANTIFEED,EQ,      1414.75,      1424.35,0.68,1535.47
,RELIANCE,EQ,      1448.90,      1419.60,-2.02,1531.32
,HAL,EQ,      4158.90,      4212.40,1.29,1489.71
,ETERNAL,EQ,       298.00,       285.20,-4.30,1369.83
,BSE,EQ,      3143.20,      3025.30,-3.75,1184.60
,GROWW,EQ,       179.66,       172.92,-3.75,1093.56
,TECHM,EQ,      1536.60,      1534.40,-0.14,1069.54
,VEDL,EQ,       702.75,       673.65,-4.14,1069.28
,HCLTECH,EQ,      1476.10,      1455.20,-1.42,1038.49
,KOTAKBANK,EQ,       426.25,       420.65,-1.31,979.83
,PERSISTENT,EQ,      5452.00,      5479.00,0.50,978.62
,HINDCOPPER,EQ,       624.70,       591.65,-5.29,970.87
,BHARTIARTL,EQ,      2014.50,      2004.70,-0.49,966.46
,LT,EQ,      4185.90,      4173.90,-0.29,932.89
,HINDALCO,EQ,       964.40,       909.00,-5.74,928.56

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJFINANCE,EQ,      1024.75,       999.10,2.57
,EICHERMOT,EQ,      8065.00,      7943.00,1.54
,SBILIFE,EQ,      2034.20,      2022.10,0.60
,SBIN,EQ,      1198.60,      1192.40,0.52
,CIPLA,EQ,      1331.50,      1330.00,0.11

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       909.00,       964.40,-5.74
,HINDUNILVR,EQ,      2305.20,      2409.70,-4.34
,ETERNAL,EQ,       285.20,       298.00,-4.30
,ADANIENT,EQ,      2136.60,      2211.80,-3.40
,ONGC,EQ,       267.40,       276.35,-3.24

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,0MOFSL26,N1,      1158.50,                    34755.00,30
,0MOFSL27,N3,      1156.50,                    23130.00,20
,1003IIFL29,NC,       985.75,                    41758.00,41
,1003ISFL28,N4,      1001.00,                    46225.10,46
,1003SCFL31,Z4,       984.00,                    20664.00,21
,1015ECL29,NR,      1016.00,                   756560.00,745
,1015SCFL29,YY,      1058.02,                    20102.38,19
,1015SCL28B,AZ,       995.25,                   127776.42,128
,1015UCL27,NF,      1000.00,                     1000.00,1
,1018GS2026,GS,       105.10,                    42040.00,400
,1025SCL34,Z8,       980.41,                   350100.00,355
,1025VCCL28,N0,     95000.00,                  1495920.10,16
,1030SFIL28,NM,       618.96,                     6189.60,10
,1050ISFL28,N5,      1002.26,                   528580.60,527
,1050NFL26,N7,      1002.00,                   126990.00,127
,105IIFL29,N7,       991.00,                   247750.00,250
,1060ECL29,NS,      1024.00,                   292880.00,280
,1065NFL27,NC,      1008.00,                   259178.75,257
,1075SCL33A,N2,       880.00,                    44400.00,50
,1075SCL34,ZR,      1042.00,                   216520.00,208
,1075WCA28,N0,      8900.00,                   178606.00,20
,10IIFL28,N4,      1040.80,                   104080.00,100
,10IIFL28A,NE,      1082.00,                    34498.61,32
,10IIFL29,N6,      1015.00,                   260855.00,257
,10IIFLSF27,NB,      1049.81,                   977094.77,953
,1119NFL27,ND,      1095.01,                    12155.01,11
,111ESFB31,N0,     99070.00,                   198170.00,2
,115VCCL28,N0,     99653.42,                  1694108.14,17
,1165ESFB32,N0,    100766.03,                   704263.12,7
,119VCCL26,N0,     98733.40,                   296200.21,3
,125VCCL31,N0,     96500.00,                  1447500.00,15
,12AFIL27,N0,      9705.00,                    48525.00,5
,12AFIL27A,N0,      9900.00,                   198000.00,20
,12AFIL28,N0,      9855.20,                   378585.45,39
,12VCCL27,N0,     99196.00,                   495980.00,5
,12VCCL29,N0,     98500.00,                   295500.00,3
,12VCCL29B,N0,     99000.00,                   198000.00,2
,20MICRONS,EQ,       181.07,                 13947740.15,76537
,21STCENMGM,EQ,        38.28,                    52982.79,1372
,360ONE,EQ,      1126.80,                531515046.30,471438
,364D110227,TB,        99.25,                     9925.00,100
,364D160426,TB,        99.04,                   267408.00,2700
,3IINFOLTD,EQ,        15.92,                  9779912.36,617915
,3MINDIA,EQ,     35115.00,                325781220.00,9115
,3PLAND,EQ,        34.70,                    22547.30,657
,5PAISA,EQ,       323.45,                 11327006.40,34876
,601GS2030,GS,        99.00,                      198.00,2
,610GS2031,GS,        98.25,                       98.25,1
,622GS2035,GS,        96.40,                   192897.00,2000
,633GS2035,GS,        99.70,                      797.60,8
,63MOONS,EQ,       687.00,                 88816881.75,129989
,648GS2035,GS,       100.35,                 20365011.00,202601
,654GS2032,GS,        99.80,                   499000.00,5000
,664GS2035,GS,        99.50,                   199000.00,2000
,667GS2035,GS,       105.52,                    10158.41,101
,667GS2050,GS,        93.00,                     5208.40,56
,668GS2033,GS,        99.09,                     9413.55,95
,668GS2040,GS,        97.00,                  1543392.35,16001
,675GS2029,GS,       101.16,                    10116.00,100
,676GS2061,GS,        94.80,                   439551.80,4650
,679GS2034A,GS,        90.00,                     9000.00,100
,690GS2065,GS,        95.19,                  5979697.22,62913
,692GS2039,GS,        99.00,                    62073.00,627
,695GS2061,GS,        94.00,                  1349718.70,14317
,698GR2054,GS,        95.00,                   118972.55,1255
,699GS2026,GS,       102.01,                   418272.98,4100
,699GS2051,GS,        96.10,                   963810.01,10030
,702GS2027,GS,       102.22,                    61292.00,600
,702GS2031,GS,       101.31,                    20262.00,200
,704IRFC28,N6,      1065.00,                     2130.00,2
,706GS2028,GS,       103.75,                  1027125.00,9900
,709GS2054,GS,        97.49,                   412965.06,4245
,709GS2074,GS,        96.60,                 10352938.13,107312
,710GS2029,GS,       104.70,                  2297052.50,21921
,717GS2030,GS,       105.20,                  1339807.20,12736
,718GS2033,GS,       102.95,                    61770.00,600
,718GS2037,GS,       102.59,                   457964.94,4464
,719GS2060,GS,       100.50,                     2713.49,27
,71GS2034,GS,       104.00,                    10401.10,100
,724GS2055,GS,       101.70,                   256648.60,2516
,725GS2063,GS,        98.32,                 20794059.94,211348
,726GS2032,GS,       106.65,                   501255.00,4700
,726GS2033,GS,       103.49,                   155235.00,1500
,728NTPC30B,N9,      1320.00,                   118800.00,90
,729IRFC26,NN,      1022.00,                   255500.00,250
,730PFCL41,NC,       975.00,                    35953.36,37
,733GS2026,GS,       102.65,                    31371.90,306
,734GS2064,GS,       100.34,                 27346043.95,272528
,735NHAI31,N9,      1145.80,                  6180662.70,5404
,735PFCL35,N1,      1196.00,                  5180550.00,4350
,737GS2028,GS,       104.20,                    93780.00,900
,738GS2027,GS,       103.06,                  8457048.49,82117
,738REC27TF,N2,      1042.50,                   625500.00,600
,73GS2053,GS,        99.61,                    50005.50,502
,741GS2036,GS,       105.00,                   211056.75,2010
,743GS2076,GS,       101.70,                   183220.00,1800
,746GS2073,GS,       103.00,                   406960.88,3952
,74GS2062,GS,       101.70,                   119714.51,1176
,750IRFC35,NK,      1188.00,                  1542804.50,1302
,751HUDCO28,N5,      1039.98,                    93598.20,90
,753IRFC30,NJ,      1104.29,                   224168.00,203
,754GS2036,GS,       107.24,                 30013466.06,279962
,757GS2033,GS,       105.35,                    20648.60,196
,760PFCL35,N3,      1175.00,                    49350.00,42
,762GS2039,GS,       108.50,                      215.70,2
,764HUDCO31,N8,      1094.00,                     1094.00,1
,769NHAI31,NE,      1119.00,                  2210036.90,1976
,76IGT26,ND,      1050.50,                     6303.00,6
,76NHAI31,NA,      1151.50,                  4777713.01,4150
,775UP33,SG,        97.90,                     9790.00,100
,79IGT28,NF,      1052.00,                   315600.00,300
,79NHIT35,N1,       313.80,                   206775.25,659
,79NHIT40,N2,       313.02,                    86708.78,277
,79NHIT47,N3,       419.19,                   221693.19,527
,7PFCL31,N3,       995.00,                    49775.00,50
,810IRFC27,N2,      1053.75,                  2321709.10,2210
,812REC27,NI,      1076.00,                  1076281.00,1000
,813GS2045,GS,       113.30,                      340.02,3
,81TCHF28,N8,      1015.00,                     4060.00,4
,820IIFL27,N9,       980.80,                   540541.00,550
,824GS2027,GS,       102.29,                   374965.20,3642
,828GS2032,GS,       108.00,                   118800.00,1100
,82HUDCO27,N2,      1105.00,                  4304112.50,3900
,82IGT31,NJ,      1075.90,                   662796.10,619
,830NHAI27,N2,      1055.04,                  2445536.87,2315
,830PFCL27,N5,      1050.26,                  1132248.04,1078
,83GS2042,GS,       111.70,                   386932.30,3464
,842IIFL26,NL,       992.90,                   275844.60,278
,843IHFL29,NC,       978.00,                    10758.00,11
,84TCHF28,NA,      1026.00,                    10260.00,10
,865IFL28,NZ,       977.00,                      977.00,1
,865IIFL28,NS,       982.00,                   122761.85,125
,865IRFC29,NA,      1157.07,                   977602.40,845
,865LTF26,NN,      1017.97,                   718923.15,708
,865SCL27,N4,       975.00,                    48700.00,50
,871REC28,N9,      1089.37,                   638462.76,586
,872MMFSL26,N1,      1025.00,                    20500.00,20
,875AEL29,NK,      1020.75,                   293915.50,288
,875IIFL26,NM,      1012.00,                   151755.10,150
,875NHAI29,N6,      1166.00,                   278690.50,239
,875SFL27,ZF,      1035.00,                     4140.00,4
,876HUDCO28,ND,      1102.84,                  3393205.14,3083
,880IREDA29,N5,      1179.00,                     5895.00,5
,880IREDA34,N6,      1300.00,                    11700.00,9
,885AEL28,NB,      1005.90,                    55325.00,55
,885SCL26,N9,      1031.00,                    92719.80,90
,886REC34,NG,      1245.00,                    12450.00,10
,888IRFC29,NE,      1171.00,                   248789.00,211
,888REC29,NF,      1139.99,                   117418.97,103
,888SCL25E,N4,       850.00,                    85000.00,100
,888SCL28,NA,       980.00,                   294000.00,300
,889SCFL27,YC,       984.00,                    50674.00,52
,890AEL31,NN,      1008.00,                   990861.00,983
,890SFIL23A,NZ,       645.00,                    94170.00,146
,891IIFCL34,N4,      1219.99,                   771346.94,634
,891NTPC33,N6,      1230.00,                     1230.00,1
,892PFCL33,N8,      1228.85,                  2179341.84,1774
,893NHB29,N6,      5825.00,                   448877.00,77
,895AEL27,N9,      1044.80,                    10448.00,10
,897GS2030,GS,       112.33,                   337010.00,3000
,898LTF29,N7,      1075.55,                    18385.55,17
,89IHFL29,N1,       990.00,                    24750.00,25
,8ABCL26,N2,      1118.01,                    83060.65,75
,901HUDCO34,NE,      1242.97,                   748838.94,607
,901NHB34,N6,      6180.10,                  1502209.09,243
,903SFL28,YI,      1056.00,                     2114.50,2
,905SC24B,Z9,       950.00,                    47500.00,50
,910TCAP28,NA,      1070.21,                   703114.05,657
,915AEL28,NC,      1051.69,                   179070.56,171
,915APSBC34,N0,    101445.19,                  1521677.85,15
,91D090426,TB,        99.01,                   287209.00,2900
,91D120326,TB,        99.41,                    29827.00,300
,91D170426,TB,        98.68,                    19736.00,200
,91D260226,TB,        99.60,                    59780.00,600
,920IIFLS26,N8,      1000.00,                   289788.00,293
,925SCL26D,ZD,       980.00,                     9800.00,10
,925SCL27,YR,      1020.00,                   102527.50,100
,92GS2030,GS,       115.06,                  5393410.60,46833
,930AEL30,NF,      1060.00,                    12720.00,12
,930APMD28,N0,    101500.00,                   101500.00,1
,930APMD29,N0,    101300.00,                   607800.00,6
,930APMD30,N0,    102200.00,                   306190.00,3
,930APMD31,N0,    102351.00,                   409398.00,4
,930APMD32,N0,    102600.00,                 12720413.67,124
,930APMD33,N0,    101074.68,                  1516120.20,15
,930APMD34,N0,    104352.00,                   104352.00,1
,930SFL28,YP,      1025.45,                   553744.75,540
,931SFL26,Z5,      1050.00,                     1050.00,1
,932AEL27,N3,      1025.63,                    15384.45,15
,935LTF29,N5,      1131.20,                    65449.60,58
,935MOFSL29,N5,      1060.00,                     8364.04,8
,935TSI29,N0,    103365.27,                  1033652.70,10
,943ECL28,NJ,       995.01,                   398004.00,400
,950ISF27,N0,     78000.00,                    78000.00,1
,950ISF27C,N0,      9890.00,                    58770.00,6
,957ICCL25,YW,      1050.00,                    32550.00,31
,957ISFL26,N2,       994.11,                    20862.20,21
,965AEL27,N4,      1047.00,                    13601.06,13
,965SCL25C,N0,       406.80,                      814.60,2
,965SCL26,YO,      1075.20,                   107520.00,100
,965SCL27,N1,      1025.00,                   209788.00,200
,96IIFL28,N5,       995.90,                  1617024.40,1622
,96IIFL28A,NF,       995.06,                  1136736.76,1143
,971SCL28A,NT,       700.00,                   388500.00,625
,975SCL35,N0,     92310.45,                   461552.25,5
,97SFL29,YZ,      1060.00,                     8480.00,8
