,26-Feb-2026
The Nifty witnessed an intraday movement of about 172.0 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 108665.76
, Traded Quantity (in Lakhs), 45182.34
, Number of Trades, 30748283
, Total Market Capitalisation (Rs. Crores), 46681822.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY CONSR DURBL,     37516.90,     37554.15,     37726.75,     37355.70,     37520.35,3.45
,NIFTY OIL AND GAS,     12188.90,     12198.20,     12308.55,     12167.95,     12294.55,105.65
,NIFTY500 MULTICAP,     16115.05,     16151.55,     16190.60,     16075.85,     16149.80,34.75
,NIFTY LARGEMID250,     16580.45,     16620.50,     16666.70,     16549.95,     16637.25,56.80
,NIFTY MID SELECT,     13558.55,     13591.95,     13690.30,     13559.30,     13652.95,94.40
,NIFTY TOTAL MKT,     13117.65,     13150.25,     13175.40,     13083.80,     13143.05,25.40
,NIFTY MICROCAP250,     21473.15,     21522.65,     21679.70,     21457.55,     21528.50,55.35
,NIFTY IND DIGITAL,      7936.50,      7973.20,      8032.25,      7906.90,      7937.50,1.00
,Nifty Tata 25 Cap,     15091.60,     15138.65,     15186.60,     15072.50,     15139.05,47.45
,Nifty MidSml Hlth,     43907.45,     43988.35,     44588.30,     43883.55,     44356.70,449.25
,Nifty Multi Mfg,     15957.15,     15997.95,     16088.20,     15969.45,     16078.15,121.00
,Nifty Multi Infra,     14287.60,     14304.05,     14358.10,     14264.50,     14340.80,53.20
,BHARATBOND-APR30,      1573.46,      1573.77,      1574.21,      1573.75,      1574.21,0.75
,BHARATBOND-APR31,      1430.47,      1430.74,      1430.74,      1430.74,      1430.74,0.27
,BHARATBOND-APR32,      1300.35,      1300.60,      1300.60,      1300.60,      1300.60,0.25
,BHARATBOND-APR33,      1262.24,      1262.49,      1262.49,      1262.48,      1262.48,0.24
,Nifty Ind Defence,      8094.00,      8106.55,      8223.30,      8102.30,      8213.65,119.65
,Nifty Ind Tourism,      7952.80,      7960.75,      7979.40,      7903.85,      7930.70,-22.10
,Nifty Capital Mkt,      4714.35,      4727.95,      4731.00,      4671.75,      4707.10,-7.25
,Nifty500Momentm50,     53111.90,     53233.30,     53407.95,     52937.40,     53352.30,240.40
,NiftyMS400 MQ 100,     47426.15,     47520.40,     47665.60,     47246.65,     47524.95,98.80
,NiftySml250MQ 100,     42340.90,     42371.30,     42501.40,     42096.70,     42331.55,-9.35
,Nifty Top 10 EW,      9362.90,      9393.00,      9406.30,      9334.40,      9361.50,-1.40
,Nifty AQL 30,     23037.00,     23086.20,     23126.45,     22981.00,     23109.60,72.60
,Nifty AQLV 30,     20888.45,     20957.25,     20997.15,     20845.85,     20962.90,74.45
,Nifty EV,      3096.95,      3106.30,      3119.65,      3096.35,      3118.05,21.10
,Nifty HighBeta 50,      3841.75,      3850.05,      3860.75,      3819.85,      3846.95,5.20
,Nifty New Consump,     11293.85,     11320.30,     11345.40,     11257.75,     11308.95,15.10
,Nifty Corp MAATR,     37567.35,     37679.25,     37758.70,     37475.25,     37654.35,87.00
,Nifty Low Vol 50,     25508.90,     25559.40,     25601.70,     25394.80,     25505.25,-3.65
,Nifty Mobility,     23104.75,     23170.00,     23239.50,     23083.50,     23224.25,119.50
,Nifty Qlty LV 30,     17088.60,     17133.50,     17150.30,     17022.30,     17109.85,21.25
,Nifty Sml250 Q50,     24421.00,     24488.30,     24543.10,     24295.40,     24368.05,-52.95
,Nifty Top 15 EW,     10641.90,     10671.45,     10679.35,     10607.25,     10649.70,7.80
,Nifty100 Alpha 30,     18366.30,     18414.00,     18489.20,     18352.90,     18478.70,112.40
,Nifty100 Enh ESG,      5129.40,      5144.15,      5150.15,      5109.70,      5132.80,3.40
,Nifty200 Value 30,     16170.55,     16200.30,     16288.30,     16104.05,     16272.95,102.40
,Nifty500 EW,     13859.50,     13886.20,     13940.90,     13835.95,     13896.30,36.80
,Nifty Multi MQ 50,     41057.75,     41146.25,     41205.05,     40898.60,     41136.45,78.70
,Nifty500 Value 50,     16895.90,     16923.60,     16997.20,     16823.55,     16982.35,86.45
,Nifty Top 20 EW,      9361.90,      9387.80,      9411.20,      9345.20,      9380.55,18.65
,Nifty CoreHousing,     15293.15,     15314.30,     15341.25,     15186.00,     15268.70,-24.45
,Nifty FinSerExBnk,     32077.25,     32124.90,     32217.85,     31852.20,     32051.80,-25.45
,Nifty Housing,     12154.30,     12181.60,     12183.15,     12091.65,     12148.45,-5.85
,Nifty IPO,      1947.60,      1951.75,      1958.30,      1936.10,      1946.50,-1.10
,Nifty MS Fin Serv,     20882.30,     20906.20,     20997.55,     20784.00,     20958.20,75.90
,Nifty MS Ind Cons,     18161.95,     18205.05,     18348.95,     18163.20,     18299.15,137.20
,Nifty MS IT Telcm,      8524.25,      8565.35,      8675.85,      8535.40,      8561.15,36.90
,Nifty NonCyc Cons,     15115.55,     15141.20,     15150.95,     15026.65,     15085.05,-30.50
,Nifty Rural,     16243.70,     16269.45,     16295.05,     16177.35,     16284.45,40.75
,Nifty Shariah 25,      7974.95,      8002.60,      8027.10,      7955.25,      7989.40,14.45
,Nifty Trans Logis,     25536.85,     25619.25,     25672.65,     25504.75,     25634.15,97.30
,Nifty50 Shariah,      4465.00,      4486.10,      4503.05,      4458.95,      4475.75,10.75
,Nifty500 LMS Eql,     17656.10,     17693.40,     17747.60,     17618.40,     17701.00,44.90
,Nifty500 Shariah,      6875.95,      6898.05,      6926.45,      6869.80,      6899.55,23.60
,Nifty500 Qlty50,     18448.10,     18492.40,     18560.75,     18400.40,     18466.90,18.80
,Nifty500 LowVol50,     23149.40,     23195.40,     23254.10,     23053.00,     23179.05,29.65
,Nifty500 MQVLv50,     32591.85,     32642.25,     32698.85,     32415.80,     32663.95,72.10
