symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2022-08-11,2770.40,2794.95,2836.95,2780.00,2798.80,2798.30,2805.16,326247,9151.74,23514,151023,46.29
ADANIPORTS,EQ,2022-08-11,790.55,794.70,799.90,788.30,793.50,792.75,794.56,2140171,17004.87,55025,654830,30.60
BEL,EQ,2022-08-11,287.40,288.50,292.25,285.65,287.15,287.45,288.77,7684628,22190.86,60574,3140410,40.87
BOSCHLTD,EQ,2022-08-11,17234.30,17450.00,17538.45,17285.00,17415.50,17427.85,17417.55,58850,10250.23,11265,33266,56.53
CUMMINSIND,EQ,2022-08-11,1167.25,1175.00,1248.60,1160.00,1238.00,1237.60,1218.89,1889729,23033.68,57832,574278,30.39
DIXON,EQ,2022-08-11,3845.95,3890.00,4007.80,3866.00,3876.20,3879.90,3934.32,504780,19859.65,49735,153511,30.41
DLF,EQ,2022-08-11,368.50,371.90,375.60,370.40,372.55,372.55,373.02,3888072,14503.44,44320,1365348,35.12
DMART,EQ,2022-08-11,4250.70,4280.00,4295.00,4260.00,4267.60,4274.85,4277.44,246094,10526.52,26362,112501,45.71
HAL,EQ,2022-08-11,2168.30,2181.10,2298.00,2174.30,2264.00,2264.45,2259.60,2761026,62388.09,109003,453384,16.42
HINDALCO,EQ,2022-08-11,440.10,446.50,446.50,432.00,432.40,433.50,436.47,14865139,64881.95,143511,4652304,31.30
INDHOTEL,EQ,2022-08-11,268.25,270.95,278.90,269.95,277.25,277.20,274.49,12219650,33541.44,82334,6141650,50.26
INDIGO,EQ,2022-08-11,2038.30,2081.90,2084.60,2012.50,2020.00,2019.80,2043.17,813952,16630.42,32767,355777,43.71
LT,EQ,2022-08-11,1855.15,1870.05,1878.80,1855.20,1863.30,1867.15,1870.38,1918049,35874.82,87767,1285544,67.02
MANAPPURAM,EQ,2022-08-11,106.35,107.90,108.10,106.00,107.10,107.00,106.76,4831878,5158.75,16007,1564127,32.37
MARUTI,EQ,2022-08-11,8879.70,8955.70,8998.00,8724.00,8800.00,8813.85,8844.12,508318,44956.23,64683,210213,41.35
PAYTM,EQ,2022-08-11,826.75,830.00,842.00,821.05,823.80,825.80,831.40,1651453,13730.13,40611,348565,21.11
PGEL,BE,2022-08-11,911.50,901.05,919.85,865.95,910.00,908.10,893.86,24813,221.79,972,-,-
SBIN,EQ,2022-08-11,514.70,520.00,526.00,517.20,524.50,524.75,521.76,13862195,72326.94,192485,6522359,47.05
SUZLON,EQ,2022-08-11,7.40,7.70,7.90,7.60,7.70,7.70,7.73,71202486,5503.27,37193,31338133,44.01
TRENT,EQ,2022-08-11,1311.25,1329.00,1359.70,1320.45,1338.00,1340.15,1341.32,1702218,22832.18,60587,397823,23.37
