symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2022-08-19,2890.50,2903.95,2924.75,2813.50,2884.85,2888.35,2871.85,335377,9631.54,25162,158110,47.14
ADANIPORTS,EQ,2022-08-19,833.05,837.25,883.90,833.95,870.00,871.80,867.71,24506694,212648.16,318438,2811314,11.47
BEL,EQ,2022-08-19,288.75,289.50,292.20,283.35,284.55,285.10,287.26,5866226,16851.29,55110,2700213,46.03
BOSCHLTD,EQ,2022-08-19,17605.20,17757.50,17829.75,17312.85,17327.15,17376.40,17602.82,47005,8274.20,13533,16454,35.00
CUMMINSIND,EQ,2022-08-19,1247.05,1242.00,1260.25,1206.00,1224.50,1224.40,1227.04,453180,5560.70,24563,130805,28.86
DIXON,EQ,2022-08-19,4068.15,4093.95,4115.00,3938.65,3960.20,3989.95,4026.43,326704,13154.52,31623,82950,25.39
DLF,EQ,2022-08-19,389.15,391.00,391.00,371.00,372.50,373.70,378.59,6322982,23937.90,59813,1611567,25.49
DMART,EQ,2022-08-19,4460.95,4487.00,4523.50,4352.75,4376.00,4382.00,4451.86,437762,19488.57,44566,159107,36.35
HAL,EQ,2022-08-19,2315.35,2319.65,2326.60,2226.05,2241.00,2242.25,2260.85,1144327,25871.54,49445,386670,33.79
HINDALCO,EQ,2022-08-19,438.05,442.00,442.00,425.10,426.35,427.35,432.86,8116871,35134.87,81468,3060621,37.71
INDHOTEL,EQ,2022-08-19,275.35,276.75,277.55,268.90,270.10,271.45,272.24,4199934,11433.77,43179,1828212,43.53
INDIGO,EQ,2022-08-19,2022.00,2003.30,2013.35,1950.00,1973.80,1970.30,1974.09,910803,17980.06,41792,306365,33.64
LT,EQ,2022-08-19,1894.55,1894.10,1942.00,1892.75,1934.30,1936.05,1922.04,4134598,79468.44,120071,2464378,59.60
MANAPPURAM,EQ,2022-08-19,106.15,106.30,106.65,103.00,103.45,103.60,104.47,6668878,6966.88,29716,2021813,30.32
MARUTI,EQ,2022-08-19,8947.70,8955.45,8968.00,8715.00,8754.00,8778.95,8814.36,572597,50470.76,60462,249038,43.49
PAYTM,EQ,2022-08-19,786.20,792.40,793.00,766.85,771.00,772.10,778.41,1365113,10626.17,35684,329747,24.16
PGEL,BE,2022-08-19,896.25,895.00,919.20,890.00,900.00,903.70,906.36,9601,87.02,363,-,-
SBIN,EQ,2022-08-19,532.35,532.00,533.65,518.50,520.05,520.35,523.18,11087222,58006.23,146387,4095463,36.94
SUZLON,EQ,2022-08-19,7.70,7.70,7.80,7.60,7.70,7.70,7.68,52620962,4040.78,24504,25925069,49.27
TRENT,EQ,2022-08-19,1455.50,1464.90,1487.40,1388.70,1395.60,1398.15,1425.10,1284783,18309.49,51753,397346,30.93
