symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2022-08-23,2869.55,2845.00,2910.90,2845.00,2858.15,2868.10,2878.06,574029,16520.87,32493,256272,44.64
ADANIPORTS,EQ,2022-08-23,840.25,835.80,857.20,806.10,836.00,832.50,830.88,13515300,112296.53,202356,1315628,9.73
BEL,EQ,2022-08-23,289.10,287.30,299.60,286.90,299.60,298.45,295.60,10178586,30088.38,71464,3517111,34.55
BOSCHLTD,EQ,2022-08-23,17089.65,17051.00,17472.00,17001.50,17333.00,17293.00,17321.70,62061,10750.02,13191,29653,47.78
CUMMINSIND,EQ,2022-08-23,1201.75,1194.00,1224.95,1186.05,1199.35,1199.85,1203.46,1023358,12315.74,24309,643097,62.84
DIXON,EQ,2022-08-23,4034.50,3980.00,4150.00,3960.10,4053.00,4049.50,4060.27,495459,20116.99,47970,84017,16.96
DLF,EQ,2022-08-23,364.80,361.10,369.60,360.10,369.15,368.20,366.76,2553978,9367.01,34193,540224,21.15
DMART,EQ,2022-08-23,4250.75,4195.00,4301.00,4170.55,4291.05,4256.95,4252.87,285843,12156.52,31721,115409,40.37
HAL,EQ,2022-08-23,2229.75,2218.50,2254.00,2206.45,2252.60,2238.50,2233.26,659489,14728.07,25463,301240,45.68
HINDALCO,EQ,2022-08-23,418.50,415.05,431.80,413.85,429.00,427.90,426.64,8605014,36712.63,134289,2647205,30.76
INDHOTEL,EQ,2022-08-23,267.35,264.50,274.30,263.35,274.10,273.25,269.78,4124063,11125.78,50612,1550568,37.60
INDIGO,EQ,2022-08-23,1968.75,1932.00,2011.80,1932.00,2009.40,2004.50,1980.27,723276,14322.84,26741,106459,14.72
LT,EQ,2022-08-23,1880.65,1870.00,1911.95,1865.70,1882.00,1877.05,1892.53,1811509,34283.37,80261,855387,47.22
MANAPPURAM,EQ,2022-08-23,99.20,98.45,102.20,98.20,101.90,101.45,100.70,4559281,4591.03,23810,1049832,23.03
MARUTI,EQ,2022-08-23,8628.00,8607.00,8757.00,8564.00,8720.00,8720.50,8683.21,558231,48472.38,61452,267501,47.92
PAYTM,EQ,2022-08-23,776.35,776.75,785.00,771.50,777.00,776.20,777.63,1019323,7926.61,25610,168745,16.55
PGEL,BE,2022-08-23,884.35,895.00,900.00,874.00,882.40,883.35,887.35,6318,56.06,308,-,-
SBIN,EQ,2022-08-23,511.30,508.25,524.00,508.25,523.00,521.90,517.45,8597965,44489.96,130274,2200718,25.60
SUZLON,EQ,2022-08-23,8.60,8.70,9.30,8.60,9.05,8.95,8.98,228223893,20494.83,86275,68085990,29.83
TRENT,EQ,2022-08-23,1314.10,1309.40,1355.00,1283.00,1347.95,1346.80,1325.06,2092763,27730.39,61744,954222,45.60
