symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2022-08-05,2668.35,2683.60,2742.00,2675.35,2684.80,2688.20,2713.20,272399,7390.73,27497,133439,48.99
ADANIPORTS,EQ,2022-08-05,807.25,811.10,818.70,805.50,807.70,810.25,812.78,2807602,22819.68,50813,863474,30.75
BEL,EQ,2022-08-05,284.15,284.90,285.00,267.25,275.35,276.15,276.16,26787928,73978.06,153848,12218178,45.61
BOSCHLTD,EQ,2022-08-05,17561.75,17599.00,17815.00,17102.65,17379.95,17399.85,17497.58,70018,12251.45,18239,18105,25.86
CUMMINSIND,EQ,2022-08-05,1178.15,1176.00,1193.50,1168.05,1174.00,1172.40,1179.37,308759,3641.42,13310,105949,34.31
DIXON,EQ,2022-08-05,3836.80,3845.00,3860.00,3818.00,3820.50,3827.30,3840.82,211580,8126.41,14461,49737,23.51
DLF,EQ,2022-08-05,367.60,369.70,372.85,366.30,366.70,367.80,369.98,4186137,15487.91,43288,1465893,35.02
DMART,EQ,2022-08-05,4239.10,4238.00,4295.00,4187.15,4230.70,4232.25,4239.00,528876,22419.05,58614,263772,49.87
HAL,EQ,2022-08-05,2004.65,2010.00,2014.00,1975.75,2007.00,1997.30,1993.87,701632,13989.66,29455,345895,49.30
HINDALCO,EQ,2022-08-05,421.70,422.95,426.50,409.05,412.35,410.80,415.94,12217436,50817.20,127116,4086330,33.45
INDHOTEL,EQ,2022-08-05,270.45,269.90,273.90,267.70,269.95,269.80,270.53,5542385,14993.87,48665,2877172,51.91
INDIGO,EQ,2022-08-05,1986.10,1991.00,2103.95,1985.20,2080.55,2080.90,2072.04,2194620,45473.34,85115,400509,18.25
LT,EQ,2022-08-05,1780.10,1782.95,1807.00,1775.30,1788.95,1787.45,1788.88,1430542,25590.66,70278,813044,56.83
MANAPPURAM,EQ,2022-08-05,101.65,100.45,110.90,99.20,107.90,108.15,107.27,36299356,38939.09,122115,4461809,12.29
MARUTI,EQ,2022-08-05,8966.70,8966.80,8985.20,8810.00,8858.00,8841.20,8871.72,558385,49538.33,62779,252081,45.14
PAYTM,EQ,2022-08-05,809.05,812.00,816.70,775.25,778.00,784.30,800.59,3595195,28782.94,102896,811154,22.56
PGEL,BE,2022-08-05,940.55,920.00,944.95,919.70,929.00,922.90,929.36,5757,53.50,289,-,-
SBIN,EQ,2022-08-05,533.25,535.55,542.90,529.00,532.35,531.05,537.29,21110734,113426.76,205564,8610671,40.79
SUZLON,EQ,2022-08-05,7.10,7.25,7.65,7.20,7.50,7.45,7.45,106350894,7922.15,31567,32613541,30.67
TRENT,EQ,2022-08-05,1316.75,1320.00,1323.70,1302.20,1317.00,1315.90,1311.86,242951,3187.17,20256,110103,45.32
