symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2020-10-21,901.60,884.85,0.0188,0.0190,0.0190,0.3630
ADANIPORTS,2020-10-21,355.35,348.95,0.0182,0.0252,0.0252,0.4814
BEL,2020-10-21,92.40,89.95,0.0269,0.0297,0.0297,0.5674
BOSCHLTD,2020-10-21,11748.90,11895.70,-0.0124,0.0258,0.0258,0.4929
CUMMINSIND,2020-10-21,464.40,464.20,0.0004,0.0205,0.0205,0.3917
DIXON,2020-10-21,9363.95,9560.35,-0.0208,0.0299,0.0298,0.5693
DLF,2020-10-21,172.10,167.45,0.0274,0.0339,0.0339,0.6477
DMART,2020-10-21,2081.25,2143.00,-0.0292,0.0231,0.0232,0.4432
HAL,2020-10-21,698.75,717.55,-0.0265,0.0299,0.0299,0.5712
HINDALCO,2020-10-21,185.95,180.80,0.0281,0.0329,0.0328,0.6266
INDHOTEL,2020-10-21,100.40,98.15,0.0227,0.0275,0.0275,0.5254
INDIGO,2020-10-21,1365.40,1373.35,-0.0058,0.0285,0.0284,0.5426
LT,2020-10-21,924.45,917.30,0.0078,0.0223,0.0223,0.4260
MANAPPURAM,2020-10-21,167.15,164.95,0.0132,0.0381,0.0380,0.7260
MARUTI,2020-10-21,6861.95,6844.65,0.0025,0.0264,0.0263,0.5025
PGEL,2020-10-21,102.80,97.95,0.0483,0.0434,0.0434,0.8292
SBIN,2020-10-21,203.75,203.05,0.0034,0.0280,0.0279,0.5330
SUZLON,2020-10-21,2.95,2.89,0.0205,0.0428,0.0427,0.8158
TRENT,2020-10-21,634.80,640.45,-0.0089,0.0312,0.0311,0.5942
