,01-Jun-2018
The Nifty witnessed an intraday movement of about 83.25 points.The closing index was 0.37 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29523.11
, Traded Quantity (in Lakhs), 16590.79
, Number of Trades, 10724055
, Total Market Capitalisation (Rs. Crores), 14573929.4

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10736.15,     10738.45,     10764.75,     10681.50,     10696.20,-39.95
,NIFTY50 EQL Wgt,     12498.70,     12509.65,     12520.85,     12423.85,     12436.50,-62.2
,NIFTY100 EQL Wgt,     13736.45,     13745.80,     13774.20,     13602.55,     13615.60,-120.85
,NIFTY100 LowVol30,      8509.15,      8500.90,      8516.55,      8450.00,      8460.35,-48.8
,NIFTY Alpha 50,     13583.45,     13428.00,     13527.95,     13212.65,     13235.85,-347.6
,Nifty IT,     13666.00,     13694.25,     13785.35,     13528.65,     13558.55,-107.45
,Nifty Next 50,     29241.40,     29277.45,     29380.75,     28916.25,     28948.00,-293.4
,Nifty Bank,     26956.20,     26913.40,     26996.80,     26658.55,     26692.80,-263.4
,NIFTY MIDCAP 100,     18903.30,     18884.60,     18914.55,     18577.95,     18638.40,-264.9
,Nifty 500,      9315.35,      9317.80,      9334.70,      9245.55,      9255.25,-60.10
,Nifty 100,     11064.15,     11068.30,     11096.95,     11001.00,     11013.85,-50.3
,Nifty Midcap 50,      5013.05,      5013.90,      5024.50,      4923.50,      4953.40,-59.65
,Nifty Realty,       294.95,       294.55,       295.90,       290.30,       291.25,-3.7
,Nifty Infra,      3336.05,      3339.90,      3341.95,      3301.45,      3314.30,-21.75
,Nifty Energy,     13523.40,     13488.00,     13542.85,     13426.60,     13498.25,-25.15
,Nifty FMCG,     28814.30,     28839.00,     28907.40,     28579.65,     28611.40,-202.9
,Nifty MNC,     14311.60,     14353.00,     14452.70,     14281.15,     14312.10,.5
,Nifty Pharma,      8220.25,      8248.70,      8297.80,      8181.60,      8213.20,-7.05
,Nifty PSE,      3851.55,      3837.15,      3842.75,      3781.45,      3796.20,-55.35
,Nifty PSU Bank,      2969.00,      2972.00,      2978.35,      2912.80,      2938.35,-30.65
,Nifty Serv Sector,     14645.45,     14641.80,     14681.00,     14516.15,     14539.00,-106.45
,India VIX,13.2225,13.2225,14.5900,12.1575,13.5700,0.3475
,Nifty Auto,     10994.45,     11032.90,     11150.00,     11011.80,     11076.55,82.1
,Nifty Metal,      3593.65,      3578.20,      3645.10,      3554.45,      3568.40,-25.25
,Nifty Media,      3179.65,      3177.30,      3210.65,      3143.70,      3165.25,-14.4
,NIFTY SMLCAP 100,      7829.65,      7834.10,      7854.35,      7689.90,      7700.35,-129.3
,Nifty 200,      5772.75,      5773.95,      5786.15,      5733.00,      5739.75,-33.0
,Nifty Div Opps 50,      2662.05,      2663.05,      2672.45,      2641.00,      2644.25,-17.8
,Nifty Commodities,      3685.05,      3679.30,      3691.55,      3648.35,      3652.75,-32.3
,Nifty Consumption,      5042.30,      5057.10,      5074.25,      5041.50,      5045.35,3.05
,Nifty Fin Service,     11131.70,     11119.80,     11166.75,     11037.10,     11058.05,-73.65
,Nifty50 Div Point,        22.71,        22.71,        22.71,        22.71,        22.71,0
,Nifty100 Liq 15,      4150.90,      4150.95,      4167.30,      4116.10,      4126.95,-23.95
,Nifty CPSE,      2426.40,      2414.70,      2415.10,      2374.00,      2387.20,-39.2
,Nifty GrowSect 15,      6686.40,      6703.90,      6729.45,      6680.45,      6689.65,3.25
,Nifty50 PR 2x Lev,      4652.60,      4653.85,      4676.60,      4604.65,      4617.25,-35.35
,Nifty50 PR 1x Inv,       408.50,       408.50,       410.65,       407.50,       410.10,1.6
,Nifty50 TR 2x Lev,      5796.70,      5798.25,      5826.55,      5736.95,      5752.65,-44.05
,Nifty50 TR 1x Inv,       365.90,       365.90,       367.85,       365.00,       367.35,1.45
,Nifty50 Value 20,      4816.55,      4832.65,      4848.35,      4793.00,      4801.10,-15.45
,Nifty Mid Liq 15,      4112.60,      4113.90,      4121.85,      4039.30,      4064.45,-48.15
,Nifty Pvt Bank,     15255.25,     15262.30,     15301.00,     15084.60,     15118.95,-136.3
,Nifty Quality 30,      2586.55,      2593.50,      2602.65,      2579.85,      2583.90,-2.65
,Nifty GS 8 13Yr,      1689.11,      1689.46,      1689.46,      1687.25,      1687.61,-1.5
,Nifty GS 10Yr,      1585.64,      1585.96,      1585.96,      1580.64,      1583.22,-2.42
,Nifty GS 10Yr Cln,       894.35,       894.35,       894.35,       891.26,       892.75,-1.6
,Nifty GS 4 8Yr,      1795.63,      1795.99,      1795.99,      1793.08,      1794.31,-1.32
,Nifty GS 11 15Yr,      1755.56,      1755.93,      1756.16,      1752.57,      1756.04,.48
,Nifty GS 15YrPlus,      1879.83,      1880.24,      1880.71,      1880.24,      1880.71,.88
,Nifty GS Compsite,      1732.13,      1732.49,      1732.49,      1730.31,      1731.44,-.69

,ADVANCES,439
,DECLINES,1382
,UNCHANGED,71

,Total securities that have hit their price bands today,290

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      2139.45,      2110.60,-1.35,1119.31
,MARUTI,EQ,      8537.20,      8808.85,3.18,876.99
,ICICIBANK,EQ,       285.80,       289.30,1.22,868.96
,RELIANCE,EQ,       921.35,       930.55,1,812.54
,TATASTEEL,EQ,       575.65,       560.65,-2.61,524.51
,BAJAJ-AUTO,EQ,      2750.30,      2896.55,5.32,516.5
,HDFC,EQ,      1833.00,      1844.25,0.61,489.42
,VEDL,EQ,       248.30,       248.25,-0.02,471.32
,TATAMOTORS,EQ,       282.50,       287.20,1.66,455.85
,SBIN,EQ,       269.55,       266.70,-1.06,441.97
,PCJEWELLER,EQ,       165.80,       156.20,-5.79,390.74
,JUSTDIAL,EQ,       585.65,       574.95,-1.83,383.84
,RCOM,EQ,        18.65,        16.45,-11.8,365.62
,TECHM,EQ,       712.35,       701.15,-1.57,326.58
,YESBANK,EQ,       346.20,       342.70,-1.01,325.67
,DHFL,EQ,       613.15,       609.90,-0.53,323.63
,CGPOWER,EQ,        61.50,        59.20,-3.74,320.4
,M&M,EQ,       922.95,       901.60,-2.31,313.06
,LT,EQ,      1370.40,      1372.40,0.15,308.34
,KOTAKBANK,EQ,      1334.60,      1318.00,-1.24,308.11
,INFY,EQ,      1231.80,      1220.80,-0.89,307.35
,TCS,EQ,      1741.05,      1732.45,-0.49,279.44
,GMRINFRA,EQ,        18.15,        16.75,-7.71,249.56
,ASHOKLEY,EQ,       148.05,       150.85,1.89,246.52
,DBL,EQ,       832.35,       859.10,3.21,237.31

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJAJ-AUTO,EQ,      2896.55,      2750.30,5.32
,MARUTI,EQ,      8808.85,      8537.20,3.18
,BHARTIARTL,EQ,       383.70,       373.60,2.7
,HEROMOTOCO,EQ,      3626.30,      3544.90,2.3
,HINDALCO,EQ,       238.50,       234.20,1.84

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,     29868.75,     30780.65,-2.96
,GAIL,EQ,       341.35,       350.90,-2.72
,BAJAJFINSV,EQ,      5882.20,      6042.25,-2.65
,ONGC,EQ,       173.20,       177.90,-2.64
,TATASTEEL,EQ,       560.65,       575.65,-2.61

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.30,                  2733361.30,65456
,21STCENMGM,EQ,        37.75,                    75964.60,2000
,3IINFOTECH,EQ,         4.65,                  8381116.25,1782037
,3MINDIA,EQ,     19353.55,                 52871862.00,2734
,3PLAND,EQ,        14.05,                   177619.75,12482
,5PAISA,EQ,       388.30,                  7587981.55,19316
,63MOONS,EQ,        75.95,                  8511314.55,111237
,8KMILES,EQ,       581.00,                 93184710.00,158703
,A2ZINFRA,EQ,        23.90,                  8330562.60,353590
,AARTIDRUGS,EQ,       527.00,                  4751745.10,8998
,AARTIIND,EQ,      1227.60,                 57509375.40,46972
,AARVEEDEN,EQ,        36.05,                   186861.50,5200
,AARVI,SM,        77.90,                   155800.00,2000
,ABAN,EQ,       136.05,                135305562.30,988551
,ABBOTINDIA,EQ,      6664.20,                 86602592.10,13176
,ABFRL,EQ,       145.50,                 33764248.30,232023
,ABGSHIP,BZ,         7.40,                    74636.40,10086
,ACCELYA,EQ,      1162.80,                  1249629.50,1077
,ACCORD,SM,        42.75,                   248100.00,6000
,ACE,EQ,       159.25,                 66593966.75,412033
,ADANIENT,EQ,       119.55,                740581251.45,6238346
,ADANIPOWER,EQ,        19.60,                329559334.00,16922073
,ADANITRANS,EQ,       135.00,                 96134551.70,712165
,ADFFOODS,EQ,       264.35,                 39615585.40,149586
,ADHUNIK,EQ,         3.80,                   129192.90,33657
,ADHUNIKIND,EQ,        61.55,                  3794031.25,61556
,ADLABS,EQ,        39.10,                  1831056.75,46413
,ADORWELD,EQ,       342.70,                  1852485.65,5375
,ADROITINFO,EQ,        27.40,                   217829.25,7944
,ADSL,EQ,        17.10,                   332811.05,18842
,ADVANIHOTR,EQ,        55.90,                   115806.75,2073
,ADVENZYMES,EQ,       217.85,                 40439963.65,183641
,AEGISCHEM,EQ,       270.45,                 20570258.70,76153
,AFL,EQ,        52.85,                   475326.15,9070
,AGARIND,EQ,       240.15,                   303936.65,1243
,AGCNET,EQ,       121.50,                   628676.40,5036
,AGLSL,EQ,        92.15,                   610566.90,6555
,AGRITECH,EQ,       109.30,                  2159883.95,19497
,AGROPHOS,SM,        39.00,                  1876200.00,48000
,AHLEAST,EQ,       300.00,                  1002561.95,3338
,AHLUCONT,EQ,       364.15,                 43758757.35,119278
,AHLWEST,BE,       296.65,                   334659.80,1130
,AIAENG,EQ,      1562.20,                 10709851.85,6957
,AIFL,EQ,       479.70,                 31666581.65,65728
,AIRAN,SM,       260.10,                   391050.00,1500
,AIROLAM,SM,        41.80,                  1261200.00,30000
,AISL,SM,       102.00,                  1939260.00,19200
,AJANTPHARM,EQ,       940.65,                217884672.70,230560
,AJMERA,EQ,       225.35,                 46660389.00,202172
,AJOONI,SM,        29.70,                   580200.00,20000
,AKASH,SM,        67.50,                   201750.00,3000
