,07-Jun-2018
The Nifty witnessed an intraday movement of about 95.4 points.The closing index was 0.78 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29490.98
, Traded Quantity (in Lakhs), 15294.33
, Number of Trades, 10883812
, Total Market Capitalisation (Rs. Crores), 14609208.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJOONI,SM,        28.00,                   220000.00,8000
,AKASH,SM,        80.00,                    80000.00,1000
,AKSHARCHEM,EQ,       611.60,                  1778270.50,2900
,AKSHOPTFBR,EQ,        31.35,                 42674494.40,1363332
,AKZOINDIA,EQ,      1873.00,                  9014096.85,4813
,ALANKIT,EQ,        29.90,                 15809031.85,524184
,ALBERTDAVD,EQ,       385.15,                  4629908.85,11952
,ALBK,EQ,        43.75,                269832790.55,6230004
,ALCHEM,BE,         5.75,                     6953.15,1207
,ALEMBICLTD,EQ,        40.50,                 12088269.55,294914
,ALICON,EQ,       593.50,                  1052528.35,1772
,ALKALI,EQ,        72.05,                   354177.85,4881
,ALKEM,EQ,      1962.90,                 53506559.80,27212
,ALKYLAMINE,EQ,       656.25,                  4633903.65,7159
,ALLCARGO,EQ,       112.60,                 43599448.75,383027
,ALLSEC,EQ,       290.90,                  1765435.45,6106
,ALMONDZ,BE,        30.35,                   119121.75,3924
,ALOKTEXT,BE,         2.20,                   552378.20,251081
,ALPA,EQ,        29.10,                   648148.95,22952
,ALPHAGEO,EQ,       643.75,                 14398399.35,22325
,ALPSINDUS,BE,         1.95,                    16525.95,8011
,AMARAJABAT,EQ,       778.80,                315458414.65,404599
,AMBER,EQ,      1054.10,                 15327174.50,14642
,AMBIKCO,EQ,      1308.45,                  2864110.70,2186
,AMDIND,EQ,        21.70,                   199369.30,9174
,AMJLAND,EQ,        24.65,                   399109.10,16107
,AMJUMBO,SM,        84.00,                   168000.00,2000
,AMRUTANJAN,EQ,       264.95,                  2313617.00,8783
,AMTEKAUTO,BZ,        11.15,                   325546.55,29197
,ANANTRAJ,EQ,        44.30,                 38886415.85,875528
,ANDHRABANK,EQ,        35.20,                126121453.45,3614313
,ANDHRACEMT,EQ,         9.65,                   955581.65,98686
,ANDHRSUGAR,EQ,       355.70,                 16848096.70,47515
,ANGIND,BE,         2.80,                    23178.80,8284
,ANIKINDS,BE,        31.70,                   249751.35,7848
,ANSALAPI,EQ,        16.55,                  1546660.85,94658
,ANSALHSG,EQ,        15.55,                  1059219.40,69095
,ANTGRAPHIC,BE,          .65,                    41183.50,66070
,APARINDS,EQ,       702.70,                  4026463.25,5777
,APCL,EQ,       170.05,                   232155.55,1364
,APCOTEXIND,EQ,       528.60,                  4228225.00,7993
,APEX,EQ,       525.60,                 66068759.55,127436
,APLAPOLLO,EQ,      1797.85,                 23944050.50,13326
,APLLTD,EQ,       420.65,                  9346125.95,21988
,APOLLO,EQ,       186.50,                  6765925.65,36228
,APOLLOHOSP,EQ,       970.75,                493380384.90,513903
,APOLLOTYRE,EQ,       275.95,                916172693.55,3335231
,APOLSINHOT,EQ,      1439.30,                   418964.20,294
,APTECHT,EQ,       260.95,                343652640.45,1331804
,ARCHIDPLY,EQ,        67.20,                  1719604.70,25716
,ARCHIES,BE,        30.10,                  1382764.75,45643
,ARCOTECH,EQ,        20.30,                 14657503.65,714773
,ARIES,EQ,       150.90,                  8940533.90,59810
,ARIHANT,EQ,        35.50,                     1003.00,31
,ARIHANTSUP,EQ,       116.00,                  5847802.25,49994
,ARMANFIN,BE,       385.00,                  1375177.40,3711
,AROGRANITE,EQ,        60.10,                   714122.95,11978
,ARROWGREEN,EQ,       171.95,                   501406.20,2916
,ARROWTEX,EQ,        29.95,                   307150.45,10198
,ARSHIYA,EQ,        56.60,                  2253743.15,39535
,ARSSINFRA,BE,        33.15,                   300466.55,9115
,ARVIND,EQ,       404.45,                900936371.60,2260627
,ARVSMART,EQ,       169.55,                  7240179.25,42770
,ASAHIINDIA,EQ,       336.50,                  3554130.35,10576
,ASAHISONG,EQ,       282.30,                   784372.55,2798
