,25-Jun-2018
The Nifty witnessed an intraday movement of about 78 points.The closing index was 0.55 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24461.16
, Traded Quantity (in Lakhs), 10723.52
, Number of Trades, 9139298
, Total Market Capitalisation (Rs. Crores), 14464042.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       566.55,                   929929.85,1631
,AKSHOPTFBR,EQ,        28.35,                 12272697.15,426833
,AKZOINDIA,EQ,      1887.45,                  2664015.45,1418
,ALANKIT,EQ,        27.70,                 21667287.70,778207
,ALBERTDAVD,EQ,       444.50,                  1372309.10,3085
,ALBK,EQ,        41.25,                345450417.45,8127351
,ALCHEM,BE,         6.20,                    18305.75,2860
,ALEMBICLTD,EQ,        40.45,                 17757961.50,430915
,ALICON,EQ,       591.25,                   283479.00,476
,ALKALI,EQ,        68.00,                   133743.35,1955
,ALKEM,EQ,      1958.40,                 26138912.05,13245
,ALKYLAMINE,EQ,       670.15,                  1767775.70,2642
,ALLCARGO,EQ,       107.55,                 10005195.45,92883
,ALLSEC,EQ,       260.20,                  4092980.90,15936
,ALMONDZ,BE,        32.35,                    94491.40,2955
,ALOKTEXT,BE,         3.30,                  1103592.60,334422
,ALPA,EQ,        27.85,                   340771.25,12187
,ALPHAGEO,EQ,       613.25,                  5584098.05,9013
,ALPSINDUS,BE,         2.00,                     1988.00,1004
,AMARAJABAT,EQ,       740.65,                229663676.00,305877
,AMBER,EQ,       968.25,                  6533146.40,6737
,AMBIKCO,EQ,      1292.65,                  3084345.65,2373
,AMDIND,EQ,        24.25,                   161789.60,6702
,AMJLAND,EQ,        28.00,                  6827236.90,248940
,AMRUTANJAN,EQ,       275.05,                   591265.00,2153
,AMTEKAUTO,BZ,         9.35,                  1037761.25,109795
,ANANTRAJ,EQ,        40.25,                 14066777.75,348548
,ANDHRABANK,EQ,        33.30,                116067580.35,3453481
,ANDHRACEMT,EQ,         9.15,                  1807719.80,192046
,ANDHRSUGAR,EQ,       326.35,                  9489161.40,28836
,ANGIND,BE,         4.00,                    97577.75,24739
,ANIKINDS,BE,        30.80,                    83859.50,2731
,ANKITMETAL,BE,         1.15,                      287.50,250
,ANSALAPI,EQ,        19.05,                  1297209.55,68447
,ANSALHSG,EQ,        15.90,                   618882.00,38805
,ANTGRAPHIC,BE,          .60,                    17406.40,30707
,APARINDS,EQ,       700.90,                  2144748.70,3027
,APCL,EQ,       150.70,                   713308.75,4658
,APCOTEXIND,EQ,       524.00,                   439345.80,835
,APEX,EQ,       437.90,                 37448440.00,83831
,APLAPOLLO,EQ,      1786.10,                  6833491.65,3820
,APLLTD,EQ,       514.90,                 25851000.65,49741
,APOLLO,EQ,       170.00,                  3372229.85,19626
,APOLLOHOSP,EQ,      1031.60,                430324791.85,413983
,APOLLOTYRE,EQ,       268.25,                264678678.75,980663
,APOLSINHOT,EQ,      1382.10,                  2140821.40,1533
,APTECHT,EQ,       240.35,                 37227682.30,151898
,ARCHIDPLY,EQ,        59.40,                  1967831.30,32606
,ARCHIES,BE,        28.95,                   756254.25,26178
,ARCOTECH,EQ,        17.10,                  6337831.55,366903
,ARENTERP,EQ,        11.50,                     1150.00,100
,ARIES,EQ,       127.95,                  5770918.40,44465
,ARIHANTSUP,EQ,       109.65,                  8873514.60,79767
,ARMANFIN,BE,       352.55,                   508693.75,1447
,AROGRANITE,EQ,        59.95,                   348004.50,5827
,ARROWGREEN,EQ,       121.20,                  4167346.60,34028
,ARROWTEX,EQ,        32.05,                    76404.95,2423
,ARSHIYA,EQ,        50.45,                  6005426.20,118498
,ARSSINFRA,BE,        29.95,                    92446.95,3110
,ARVEE,SM,        51.00,                   102000.00,2000
,ARVIND,EQ,       408.25,                340372379.05,829016
,ARVSMART,EQ,       159.10,                  2554171.65,15938
,ASAHIINDIA,EQ,       330.65,                  3855158.40,11652
,ASAHISONG,EQ,       254.45,                  1723774.90,6658
,ASAL,EQ,        63.85,                   393884.40,6045
,ASHAPURMIN,EQ,        46.40,                  3932824.75,83128
,ASHIANA,EQ,       140.90,                 10757374.80,76684
,ASHIMASYN,EQ,        21.60,                   912058.85,41581
,ASHOKA,EQ,       226.55,                  8794460.70,39072
,ASIANHOTNR,EQ,       240.10,                  1284123.90,5241
,ASIANTILES,EQ,       327.35,                  9670070.40,29333
,ASLIND,SM,        23.00,                   368600.00,16000
,ASPINWALL,EQ,       274.50,                  1031415.35,3674
,ASSAMCO,EQ,         3.00,                   825743.05,267803
,ASTEC,EQ,       702.20,                 17076022.30,23961
,ASTERDM,EQ,       171.20,                  3669056.05,21335
,ASTRAL,EQ,       996.90,                 10317855.00,10279
,ASTRAMICRO,EQ,       104.20,                 63211721.25,602938
,ASTRAZEN,EQ,      1485.20,                310101556.85,207142
,ASTRON,EQ,       104.30,                 16408496.35,157077
,ATFL,EQ,       697.50,                  6212646.30,8885
,ATLANTA,EQ,        42.05,                  2943970.95,68960
,ATLASCYCLE,BE,       132.50,                   280115.35,2081
,ATUL,EQ,      2711.15,                  8596868.35,3172
,ATULAUTO,EQ,       396.90,                  2567765.50,6472
,AUBANK,EQ,       688.90,                115221873.55,166981
,AURIONPRO,EQ,       204.15,                  1646322.00,8032
,AUSOMENT,EQ,        71.60,                   917031.60,12664
,AUSTRAL,BZ,          .15,                     7761.10,41344
,AUTOAXLES,EQ,      1210.50,                 10297133.20,8397
,AUTOIND,EQ,        67.00,                   473668.40,6982
,AUTOLITIND,EQ,        56.70,                   450344.15,7916
,AVADHSUGAR,EQ,       348.80,                  3223361.20,9226
,AVANTIFEED,EQ,      1563.35,                952921822.60,607950
,AVG,SM,       101.00,                   121200.00,1200
,AVTNPL,EQ,        33.10,                   540152.00,16222
,AXISCADES,EQ,       113.10,                  7980741.25,69377
,AXISGOLD,EQ,      2700.00,                   251139.45,93
,AXISNIFTY,EQ,      1093.42,                    15328.12,14
,AYMSYNTEX,EQ,        51.75,                   689693.40,13330
,BAFNAPHARM,EQ,        23.25,                   528522.25,22593
,BAGFILMS,EQ,         4.65,                   248759.65,53012
,BAJAJCORP,EQ,       400.45,                 15021720.30,37677
,BAJAJELEC,EQ,       538.30,                111061505.60,205306
,BAJAJHIND,EQ,         7.10,                 11037431.70,1555891
,BAJAJHLDNG,EQ,      3130.30,                100808382.50,31627
,BALAJITELE,EQ,       120.75,                  6437361.55,52629
