,14-Jun-2018
The Nifty witnessed an intraday movement of about 60.15 points.The closing index was 0.45 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26350.92
, Traded Quantity (in Lakhs), 12004.58
, Number of Trades, 9516649
, Total Market Capitalisation (Rs. Crores), 14745723.83

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,        31.35,                 15232463.30,487735
,AKZOINDIA,EQ,      1901.35,                 21603863.75,11441
,ALANKIT,EQ,        27.95,                 22142228.85,804319
,ALBERTDAVD,EQ,       452.10,                  8750019.30,19440
,ALBK,EQ,        46.45,                131095854.40,2838200
,ALCHEM,BE,         6.80,                    98362.05,14767
,ALEMBICLTD,EQ,        45.10,                133060432.00,2951398
,ALICON,EQ,       631.70,                   298033.25,477
,ALKALI,EQ,        70.85,                    82146.05,1153
,ALKEM,EQ,      1990.80,                 21158050.10,10604
,ALKYLAMINE,EQ,       666.20,                   602743.60,910
,ALLCARGO,EQ,       113.75,                 14817594.90,130247
,ALLSEC,EQ,       281.95,                   618306.50,2202
,ALMONDZ,BE,        32.10,                   221218.05,6921
,ALOKTEXT,BE,         2.50,                  1013017.50,405207
,ALPA,EQ,        33.15,                   497043.15,15146
,ALPHAGEO,EQ,       669.45,                  6545103.45,9806
,ALPSINDUS,BE,         2.05,                    51442.05,24375
,AMARAJABAT,EQ,       770.55,                309450221.85,403881
,AMBER,EQ,      1025.50,                 24143251.45,23440
,AMBIKCO,EQ,      1301.60,                  1245227.55,956
,AMDIND,EQ,        24.40,                   192784.10,8042
,AMJLAND,EQ,        25.35,                   303067.30,11935
,AMRUTANJAN,EQ,       277.00,                  1383458.15,5007
,AMTEKAUTO,BZ,        10.70,                  1994521.70,186639
,ANANTRAJ,EQ,        44.40,                 18247554.30,411634
,ANDHRABANK,EQ,        36.80,                106274131.70,2895500
,ANDHRACEMT,EQ,         9.35,                   351385.55,37402
,ANDHRSUGAR,EQ,       363.00,                  7298220.00,20193
,ANGIND,BE,         3.00,                    15857.30,5295
,ANIKINDS,BE,        31.80,                    99078.05,3092
,ANSALAPI,EQ,        19.00,                  1386766.50,73834
,ANSALHSG,EQ,        17.75,                  2266160.85,127707
,ANTGRAPHIC,BE,          .60,                    10033.55,16127
,APARINDS,EQ,       713.90,                   668205.85,935
,APCL,EQ,       170.85,                   344993.20,2006
,APCOTEXIND,EQ,       539.40,                  1141262.15,2120
,APEX,EQ,       485.30,                 36028536.70,73840
,APLAPOLLO,EQ,      1798.85,                 16953024.15,9421
,APLLTD,EQ,       504.85,                549985153.45,1070019
,APOLLO,EQ,       181.25,                  2392592.80,13192
,APOLLOHOSP,EQ,       969.90,                221583026.25,229030
,APOLLOTYRE,EQ,       275.10,                329807413.60,1199938
,APOLSINHOT,EQ,      1451.85,                  5029529.95,3453
,APTECHT,EQ,       261.30,                 60837629.55,232456
,ARCHIDPLY,EQ,        66.85,                   820949.40,12177
,ARCHIES,BE,        31.00,                   799366.35,25823
,ARCOTECH,EQ,        19.90,                  5325141.70,265670
,ARIES,EQ,       145.60,                  2342867.00,16050
,ARIHANT,EQ,        37.95,                     1008.20,27
,ARIHANTSUP,EQ,       115.75,                  8556462.70,74539
,ARMANFIN,BE,       370.00,                   236537.90,636
,AROGRANITE,EQ,        61.50,                   644974.35,10555
,ARROWGREEN,EQ,       134.95,                   902005.80,6684
,ARROWTEX,EQ,        32.80,                   300461.45,9238
,ARSHIYA,EQ,        56.85,                  1739288.70,30912
,ARSSINFRA,BE,        32.80,                    99265.45,3056
,ARVIND,EQ,       416.35,                466125536.25,1129047
,ARVSMART,EQ,       170.90,                  6738049.55,39161
,ASAHIINDIA,EQ,       342.75,                  6431981.80,18894
,ASAHISONG,EQ,       283.30,                   190907.35,667
,ASAL,EQ,        69.15,                   526724.25,7588
,ASHAPURMIN,EQ,        53.65,                  5470176.80,101340
,ASHIANA,EQ,       146.80,                  4471581.60,30678
,ASHIMASYN,EQ,        24.30,                   861193.50,35759
,ASHOKA,EQ,       240.10,                 12300875.95,50943
,ASIANHOTNR,EQ,       265.85,                   623375.20,2491
,ASIANTILES,EQ,       355.30,                 29088185.15,81874
,ASLIND,SM,        18.80,                   225800.00,12000
,ASPINWALL,EQ,       297.00,                    37557.20,126
,ASSAMCO,EQ,         3.55,                   581432.25,163392
,ASTEC,EQ,       753.30,                 15932039.35,21478
,ASTERDM,EQ,       186.50,                 13057345.05,70312
,ASTRAL,EQ,      1006.50,                 22509074.95,22335
,ASTRAMICRO,EQ,       101.80,                 15865859.80,156705
,ASTRAZEN,EQ,      1297.90,                 33222925.30,25412
,ASTRON,EQ,       108.00,                  6071818.00,56124
,ATFL,EQ,       665.60,                  4403077.25,6599
,ATLANTA,EQ,        46.45,                 10068827.95,217558
,ATLASCYCLE,BE,       133.25,                   142412.35,1073
,ATUL,EQ,      2709.40,                  3779274.10,1392
,ATULAUTO,EQ,       406.80,                  3518906.25,8662
,AUBANK,EQ,       720.65,                100844093.85,141001
,AURDIS,SM,        28.50,                    57000.00,2000
,AURIONPRO,EQ,       218.75,                 18770564.95,85872
,AUSOMENT,EQ,        77.95,                   795317.00,10198
,AUTOAXLES,EQ,      1253.10,                 20760410.20,16777
,AUTOIND,EQ,        74.80,                   646798.05,8679
,AUTOLITIND,EQ,        62.60,                  1030311.75,16359
,AVADHSUGAR,EQ,       342.90,                  6441592.75,18812
,AVANTIFEED,EQ,      1867.25,                724000019.50,385440
,AVTNPL,EQ,        35.00,                  2206851.40,62747
,AXISCADES,EQ,       125.65,                 10158311.45,80142
,AXISGOLD,EQ,      2750.00,                   101300.30,37
,AXISNIFTY,EQ,      1094.36,                    12005.95,11
,AYMSYNTEX,EQ,        55.25,                   600579.90,10904
,BAFNAPHARM,EQ,        25.00,                   223685.75,8991
,BAGFILMS,EQ,         4.85,                   131287.10,26870
,BAJAJCORP,EQ,       430.10,                  4277664.15,9936
,BAJAJELEC,EQ,       533.50,                144929161.90,274005
,BAJAJHIND,EQ,         7.25,                  7898357.10,1097624
,BAJAJHLDNG,EQ,      2935.10,                 25856543.65,8802
,BALAJITELE,EQ,       125.50,                  3419782.15,27196
,BALAMINES,EQ,       609.60,                 14932137.25,24418
,BALKRISHNA,EQ,        74.65,                   470202.55,6301
,BALKRISIND,EQ,      1120.25,                308726305.50,276666
,BALLARPUR,EQ,        11.20,                  5723197.60,512687
,BALMLAWRIE,EQ,       227.15,                 20427707.80,90130
,BALPHARMA,EQ,        88.90,                 13384208.85,150374
,BALRAMCHIN,EQ,        71.00,                186274508.95,2628093
,BANARBEADS,EQ,        49.60,                   200808.90,4070
,BANARISUG,EQ,      1500.00,                   945089.90,631
,BANCOINDIA,EQ,       222.60,                  2609477.55,11754
,BANDHANBNK,EQ,       547.20,               1738282808.80,3171005
,BANG,EQ,        42.65,                   459795.60,10715
,BANKBEES,EQ,      2701.88,                 10582050.77,3922
,BANKINDIA,EQ,       102.70,                544675397.20,5316434
,BANSAL,SM,       123.00,                  8290850.00,68000
,BANSWRAS,EQ,        88.00,                    36916.55,417
,BARTRONICS,BE,        10.85,                   108756.85,10047
,BASF,EQ,      2000.45,                  6271348.75,3127
,BASML,EQ,       210.05,                   129869.30,617
,BATAINDIA,EQ,       772.10,                380345058.00,491354
,BAYERCROP,EQ,      4679.90,                 25811888.20,5523
,BBL,EQ,      1360.35,                 20026016.05,15054
,BBTC,EQ,      1548.00,                155876681.85,100872
,BDL,EQ,       397.25,                 12495854.25,31546
,BEARDSELL,EQ,        41.10,                   161194.65,3970
,BEDMUTHA,BE,        23.50,                   387303.50,16481
,BEML,EQ,       887.35,                808357283.15,912237
,BEPL,EQ,       156.70,                140058826.80,892281
,BERGEPAINT,EQ,       283.65,                 37003030.90,130221
,BFINVEST,EQ,       279.45,                 33495519.15,119577
,BFUTILITIE,EQ,       358.10,                 94325804.50,263966
,BGLOBAL,BE,         3.55,                   100782.90,28586
,BGRENERGY,EQ,       113.35,                313468853.45,2784422
,BHAGERIA,EQ,       301.20,                   913385.35,3030
,BHAGYANGR,EQ,        41.60,                   973388.45,23355
,BHAGYAPROP,BE,        23.00,                    30815.60,1426
,BHANDARI,EQ,         2.60,                   466839.65,182340
,BHARATFIN,EQ,      1184.55,                759161126.95,641243
,BHARATFORG,EQ,       646.20,                254445223.20,392696
,BHARATGEAR,EQ,       173.15,                   776958.20,4487
,BHARATIDIL,BZ,         3.70,                    62332.50,16735
,BHARATRAS,EQ,      6189.05,                  5752890.65,918
,BHARATWIRE,EQ,       108.05,                  1623105.30,14986
,BHUSANSTL,EQ,        38.15,                329003409.35,8719615
,BIGBLOC,EQ,       116.80,                  4336537.65,36741
,BIL,EQ,       392.25,                  2466005.90,6152
,BILENERGY,BE,          .55,                    59713.55,116685
,BINANIIND,EQ,        89.15,                 30414586.00,338985
,BINDALAGRO,EQ,        24.20,                   637613.75,26229
,BIOCON,EQ,       614.35,                919230855.50,1501493
,BIOFILCHEM,BE,        13.75,                     4089.20,294
,BIRLACABLE,BE,        84.50,                   684337.55,8114
,BIRLACORPN,EQ,       721.85,                 20673894.40,28441
,BIRLAMONEY,BE,        61.20,                   850649.50,13847
,BKMINDST,EQ,        26.15,                    78088.60,3041
,BLBLIMITED,BE,         8.05,                     2423.05,301
,BLISSGVS,EQ,       183.95,                 19333664.30,104935
,BLKASHYAP,EQ,        41.80,                  2747661.40,65976
,BLS,EQ,       169.10,                 53422076.25,315249
,BLUEBLENDS,EQ,        10.20,                    55794.95,5401
,BLUEDART,EQ,      3495.15,                  7194874.40,2061
,BLUEDART,N2,        10.15,                    40600.00,4000
,BLUESTARCO,EQ,       652.55,                 30646002.40,46562
,BODALCHEM,EQ,       137.80,                 28139434.70,203804
,BOMDYEING,EQ,       219.70,                297316294.75,1345299
,BOROSIL,EQ,       907.45,                 11423406.50,12787
,BPL,EQ,        63.60,                 41862786.95,664387
,BRFL,BE,        26.45,                   709918.00,26840
,BRIGADE,EQ,       244.80,                  4192985.55,17193
,BRNL,EQ,       171.80,                  3759487.35,21979
,BROOKS,EQ,        95.45,                  4749638.10,49593
,BSE,EQ,       858.55,                252172632.95,292428
,BSELINFRA,EQ,         3.20,                   123948.35,38551
,BSHSL,SM,       118.50,                  1180000.00,10000
,BSL,EQ,        53.00,                   115909.25,2208
,BSLGOLDETF,EQ,      2892.95,                   127158.95,44
,BSLNIFTY,EQ,       110.00,                     7085.76,64
,BURNPUR,BE,         4.85,                   679244.45,140367
,BUTTERFLY,EQ,       395.60,                 15262941.45,38081
,BVCL,BE,        21.00,                    16166.00,771
,BYKE,EQ,       167.55,                  4582352.10,27288
,CADSYS,SM,        70.90,                   421800.00,6000
,CALSOFT,BE,        31.05,                   565551.55,18516
,CAMLINFINE,EQ,        90.85,                 41237693.95,453473
,CANBK,EQ,       277.50,               1641190144.15,5940162
,CANDC,EQ,        36.30,                   722025.90,19716
,CANFINHOME,EQ,       359.55,                172095734.25,479061
,CANTABIL,BE,       119.10,                   394141.40,3306
,CAPACITE,EQ,       292.45,                 17128067.75,58367
,CAPF,EQ,       592.40,                343198086.25,580103
,CAPLIPOINT,EQ,       476.70,                 43489098.80,90618
,CAPTRUST,EQ,       384.20,                   615308.65,1594
,CARBORUNIV,EQ,       332.85,                  8795758.65,26348
,CAREERP,EQ,        99.15,                  1637489.15,16585
,CARERATING,EQ,      1360.10,                 32059807.70,23622
,CASTEXTECH,BE,         2.30,                  3278578.80,1539831
,CASTROLIND,EQ,       171.05,                 97864310.00,574202
,CCCL,EQ,         3.50,                   161732.85,47205
,CCHHL,EQ,         9.40,                   282216.30,30064
,CCL,EQ,       280.20,                 16355732.85,58279
,CDSL,EQ,       285.95,                 49746262.35,174593
,CEATLTD,EQ,      1348.05,                587900481.00,433970
,CEBBCO,EQ,        14.90,                   219593.95,14684
,CELEBRITY,EQ,        13.90,                   686624.75,49344
,CELESTIAL,EQ,        12.15,                   308417.10,25545
,CENTENKA,EQ,       296.70,                  3226807.25,10882
,CENTEXT,EQ,         6.70,                   924025.00,137052
,CENTRALBK,EQ,        76.75,                 22286275.10,290125
,CENTRUM,EQ,        56.50,                  9233141.40,164371
,CENTUM,EQ,       462.80,                   522360.15,1136
,CENTURYPLY,EQ,       264.95,                 65661461.65,249774
,CENTURYTEX,EQ,       921.65,                422864356.50,458442
,CERA,EQ,      2888.75,                144688701.80,50135
,CEREBRAINT,BE,        62.00,                 31002023.20,502641
,CESC,EQ,      1002.95,                309161668.20,309272
,CGCL,EQ,        91.85,                   547425.75,5962
,CGPOWER,EQ,        57.00,                312610986.25,5490200
,CHAMBLFERT,EQ,       162.50,                 26889329.50,163906
,CHEMFAB,BE,       187.00,                   133705.00,715
,CHENNPETRO,EQ,       302.70,                 90479757.35,298515
,CHOLAFIN,EQ,      1601.90,                238787443.35,149450
,CHROMATIC,BE,         1.35,                   106031.35,78538
,CIGNITITEC,BE,       299.60,                  9604044.85,32156
,CIMMCO,EQ,        73.40,                   373966.50,5058
,CINELINE,EQ,        65.20,                   754319.80,11595
,CINEVISTA,EQ,         7.20,                    30329.05,4198
,CLEDUCATE,EQ,       177.00,                   245630.55,1378
,CLNINDIA,EQ,       437.90,                  2405713.55,5490
,CMICABLES,EQ,       247.35,                  3166906.70,12756
,CNOVAPETRO,EQ,        28.10,                  1717689.40,60819
,COCHINSHIP,EQ,       470.15,                 96753365.90,205834
,COFFEEDAY,EQ,       304.75,                101634501.55,336372
,COMPINFO,EQ,        42.45,                  2852150.15,66766
,COMPUSOFT,EQ,        12.15,                   415039.20,34382
,CONSOFINVT,EQ,        57.25,                   370311.25,6448
,CONTROLPR,EQ,       390.55,                   503401.55,1280
,CORALFINAC,EQ,        24.00,                   538075.45,22550
,CORDSCABLE,EQ,        77.75,                   361878.85,4666
,COROMANDEL,EQ,       424.55,                 55506585.05,130072
,CORPBANK,EQ,        31.20,                  8109172.40,262842
,COSMOFILMS,EQ,       237.25,                  1746605.45,7318
,COUNCODOS,EQ,         2.65,                    42447.70,16733
,COX&KINGS,EQ,       215.90,                 29926252.85,139221
,CPSEETF,EQ,        27.22,                  7257315.62,266279
,CREST,EQ,       173.30,                  1467704.30,8442
,CRISIL,EQ,      1772.20,                 20170323.65,11366
,CRMFGETF,EQ,      2895.00,                   147620.00,51
,CROMPTON,EQ,       227.25,                 50992489.35,222607
,CTE,EQ,        52.10,                   105686.25,2040
,CUB,EQ,       188.35,                 62111881.85,332705
,CUBEXTUB,BE,        17.70,                     3647.70,210
,CUPID,EQ,       251.50,                  5378476.80,21735
,CYBERTECH,EQ,        54.10,                   450963.80,8352
,CYIENT,EQ,       740.10,                 71372345.80,96432
,DAAWAT,EQ,        69.75,                 22252137.95,320193
,DALMIABHA,EQ,      2523.40,                310249114.60,124550
,DALMIASUG,EQ,        64.70,                  1955347.55,30106
,DAMODARIND,EQ,       120.30,                   450893.50,3773
,DATAMATICS,EQ,       110.55,                  9119409.85,83408
,DBCORP,EQ,       262.75,                 23109613.25,87870
,DBL,EQ,       842.25,                160467893.20,191044
,DBREALTY,EQ,        44.55,                 14859612.05,334053
,DCAL,EQ,       309.70,                 32536230.55,105095
,DCBBANK,EQ,       180.25,                409483817.50,2278930
,DCM,EQ,        87.70,                   700060.65,7890
,DCMFINSERV,BE,         2.60,                     4203.85,1626
,DCMSHRIRAM,EQ,       297.65,                 66240168.75,224084
,DCW,EQ,        26.25,                  8661978.30,330906
,DECCANCE,EQ,       429.85,                 18072080.60,42047
,DEEPAKFERT,EQ,       288.65,                 30651306.80,105975
,DEEPAKNTR,EQ,       244.85,                  9897245.55,40388
,DEEPIND,EQ,       100.35,                  5554023.45,55646
,DELTACORP,EQ,       244.75,                575520616.90,2351976
,DELTAMAGNT,EQ,        64.00,                      120.05,2
,DEN,EQ,        91.70,                 18363074.80,199055
,DENABANK,EQ,        16.85,                 11420212.25,680995
,DENORA,EQ,       307.25,                  3011289.80,9923
,DFMFOODS,EQ,      1292.85,                   398874.25,310
,DHAMPURSUG,EQ,       101.15,                 18196074.15,180163
,DHANBANK,EQ,        19.80,                  2576152.85,130562
,DHANUKA,EQ,       579.95,                  4576861.20,7921
,DHARSUGAR,BE,        14.95,                    67169.00,4570
,DHFL,EQ,       625.55,               2464897764.95,3916121
,DHFL,NJ,      1030.00,                    79310.00,77
