,11-Jun-2018
The Nifty witnessed an intraday movement of about 73.5 points.The closing index was 0.18 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26706.03
, Traded Quantity (in Lakhs), 12553.7
, Number of Trades, 10405096
, Total Market Capitalisation (Rs. Crores), 14702297.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       603.50,                  1807529.00,3004
,AKSHOPTFBR,EQ,        31.60,                 31313042.35,971765
,AKZOINDIA,EQ,      1852.00,                  5261945.60,2855
,ALANKIT,EQ,        29.75,                 11395582.70,385638
,ALBERTDAVD,EQ,       402.20,                 12904952.85,32176
,ALBK,EQ,        45.75,                251225790.20,5441486
,ALCHEM,BE,         6.20,                    64304.20,10399
,ALEMBICLTD,EQ,        45.65,                250093549.50,5399981
,ALICON,EQ,       631.30,                  2785896.70,4414
,ALKALI,EQ,        71.90,                   246737.45,3402
,ALKEM,EQ,      1973.95,                 29844160.45,15204
,ALKYLAMINE,EQ,       671.40,                  3726970.00,5508
,ALLCARGO,EQ,       113.50,                 27763021.45,243739
,ALLSEC,EQ,       292.55,                   653273.65,2219
,ALMONDZ,BE,        32.00,                   121180.90,3830
,ALOKTEXT,BE,         2.40,                  5208784.80,2170327
,ALPA,EQ,        31.50,                  1238217.45,38999
,ALPHAGEO,EQ,       656.50,                  8266232.80,12502
,ALPSINDUS,BE,         2.10,                    43867.00,21150
,AMARAJABAT,EQ,       774.00,                228760761.30,294865
,AMBER,EQ,      1049.50,                  8162357.35,7695
,AMBIKCO,EQ,      1308.45,                  4808724.00,3663
,AMDIND,EQ,        23.15,                    81597.60,3516
,AMJLAND,EQ,        25.05,                    80696.65,3278
,AMRUTANJAN,EQ,       265.50,                   910126.55,3429
,AMTEKAUTO,BZ,        10.10,                   501000.40,49604
,ANANTRAJ,EQ,        44.75,                 32502725.00,731764
,ANDHRABANK,EQ,        36.90,                167701330.25,4512580
,ANDHRACEMT,EQ,         9.55,                   863314.95,89507
,ANDHRSUGAR,EQ,       352.60,                 11221747.40,31380
,ANGIND,BE,         2.80,                    27171.30,9537
,ANIKINDS,BE,        32.40,                    44242.55,1384
,ANSALAPI,EQ,        17.80,                  2693859.25,150114
,ANSALHSG,EQ,        16.15,                   487673.75,29991
,ANTGRAPHIC,BE,          .70,                    48419.10,72214
,APARINDS,EQ,       712.30,                  1827334.55,2572
,APCL,EQ,       178.40,                   255710.95,1428
,APCOTEXIND,EQ,       534.65,                  3443764.70,6453
,APEX,EQ,       515.55,                 50429602.70,96593
,APLAPOLLO,EQ,      1775.30,                 45470778.00,25356
,APLLTD,EQ,       519.65,                336043306.75,676569
,APOLLO,EQ,       182.60,                  3049897.40,16535
,APOLLOHOSP,EQ,       999.40,                322847197.20,319664
,APOLLOTYRE,EQ,       275.20,                441530488.75,1595285
,APOLSINHOT,EQ,      1454.05,                  2190909.80,1533
,APTECHT,EQ,       271.60,                217721708.05,792144
,ARCHIDPLY,EQ,        68.85,                   916983.00,13259
,ARCHIES,BE,        31.55,                   786311.20,24603
,ARCOTECH,EQ,        20.85,                 14269292.60,682785
,ARIES,EQ,       147.90,                  4985620.95,33273
,ARIHANT,EQ,        35.00,                     1712.50,50
,ARIHANTSUP,EQ,       119.35,                  7570120.60,62222
,ARMANFIN,BE,       383.45,                    34821.70,95
,AROGRANITE,EQ,        60.20,                   865834.95,14239
,ARROWGREEN,EQ,       155.25,                  1235790.00,7960
,ARROWTEX,EQ,        30.80,                   100607.40,3308
,ARSHIYA,EQ,        55.50,                  3451446.70,61233
,ARSSINFRA,BE,        33.25,                   235740.10,7174
,ARVIND,EQ,       410.50,                596909574.10,1452581
,ARVSMART,EQ,       169.45,                  4329096.70,25383
,ASAHIINDIA,EQ,       335.85,                  7622621.35,22671
,ASAHISONG,EQ,       286.65,                   720617.35,2520
,ASAL,EQ,        70.05,                   163392.15,2323
,ASHAPURMIN,EQ,        54.05,                  6674977.35,123258
,ASHIANA,EQ,       147.60,                 13615748.10,91957
,ASHIMASYN,EQ,        23.80,                  1038383.05,43462
,ASHOKA,EQ,       235.35,                 34781015.30,146738
,ASIANHOTNR,EQ,       259.55,                   113126.45,436
,ASIANTILES,EQ,       362.40,                 29167700.80,79733
,ASLIND,SM,        23.25,                   185800.00,8000
,ASPINWALL,EQ,       297.50,                   128893.30,439
,ASSAMCO,EQ,         3.65,                   638228.30,173640
,ASTEC,EQ,       745.75,                 46726603.60,62838
,ASTERDM,EQ,       184.35,                 20680939.75,113015
,ASTRAL,EQ,      1001.20,                 19387292.25,19330
,ASTRAMICRO,EQ,       100.10,                 21976423.65,220926
,ASTRAZEN,EQ,      1320.70,                307137229.00,230360
,ASTRON,EQ,       110.80,                  7952606.75,71898
,ATFL,EQ,       685.70,                  5466555.85,7962
,ATLANTA,EQ,        50.45,                  7685163.95,150014
,ATLASCYCLE,BE,       132.55,                   567922.05,4307
,ATUL,EQ,      2745.60,                 25024152.60,9128
,ATULAUTO,EQ,       409.85,                  5221330.90,12690
,AUBANK,EQ,       695.75,                239953520.50,340149
,AURIONPRO,EQ,       201.40,                  2990407.25,14796
,AUSOMENT,EQ,        80.55,                  1276527.30,15859
,AUSTRAL,BZ,          .15,                     5715.95,39126
,AUTOAXLES,EQ,      1264.25,                 45359655.85,35105
,AUTOIND,EQ,        76.20,                  8893838.85,114047
,AUTOLITIND,EQ,        65.60,                  7190462.80,115808
,AVADHSUGAR,EQ,       355.00,                 22583351.60,63444
,AVANTIFEED,EQ,      1894.40,               2429296297.65,1262536
,AVG,SM,       104.05,                  4237500.00,39600
,AVTNPL,EQ,        35.30,                  3477847.10,96334
,AXISCADES,EQ,       132.50,                 31286529.30,236229
,AXISGOLD,EQ,      2754.40,                   469468.05,171
,AXISNIFTY,EQ,      1084.18,                   110132.98,101
,AYMSYNTEX,EQ,        55.70,                  1214603.30,21868
,BAFNAPHARM,EQ,        24.20,                   135557.95,5533
,BAGFILMS,EQ,         4.95,                  1264038.60,253865
,BAJAJCORP,EQ,       437.95,                  9236201.70,20980
,BAJAJELEC,EQ,       527.60,                173702169.90,328511
,BAJAJHIND,EQ,         7.55,                 23484901.35,3115485
,BAJAJHLDNG,EQ,      2878.35,                 44304981.50,15263
,BALAJITELE,EQ,       129.10,                 12731913.30,97997
,BALAMINES,EQ,       613.80,                 10192377.60,16735
,BALKRISHNA,EQ,        71.60,                   156355.00,2162
,BALKRISIND,EQ,      1123.55,                519161315.15,460154
,BALLARPUR,EQ,        11.75,                 12962858.60,1099628
,BALMLAWRIE,EQ,       221.90,                 14388693.60,64861
,BALPHARMA,EQ,        80.85,                  3946985.80,48816
,BALRAMCHIN,EQ,        72.20,                632260743.35,8842452
,BANARBEADS,EQ,        52.75,                    48430.30,900
,BANARISUG,EQ,      1513.95,                   571459.85,378
,BANCOINDIA,EQ,       224.15,                  7669490.25,34024
,BANDHANBNK,EQ,       512.20,               1827047103.40,3530631
,BANG,EQ,        43.15,                   752090.10,17564
,BANKBEES,EQ,      2694.17,                  2213656.59,819
,BANKINDIA,EQ,       100.15,                814957205.60,8020709
,BANSAL,SM,       114.80,                  9355650.00,86000
,BANSWRAS,EQ,        90.00,                   322847.25,3585
,BARTRONICS,BE,        11.20,                   220802.45,19898
,BASF,EQ,      2043.80,                 10435791.05,5118
,BASML,EQ,       212.20,                    25027.95,118
,BATAINDIA,EQ,       772.85,                333725851.70,431822
,BAYERCROP,EQ,      4674.80,                 87005707.65,18601
,BBL,EQ,      1330.15,                 12236992.75,9032
,BBTC,EQ,      1509.30,                221601543.60,146505
,BDL,EQ,       396.75,                  8268318.65,20850
,BEARDSELL,EQ,        39.80,                   209126.40,5015
,BEDMUTHA,BE,        20.35,                   138257.90,6794
,BEML,EQ,       882.00,               1217186185.15,1351028
,BEPL,EQ,       146.00,                 28718332.10,197162
,BERGEPAINT,EQ,       282.25,                 87383922.80,306946
,BFINVEST,EQ,       284.35,                177031553.25,635413
,BFUTILITIE,EQ,       362.25,                342557277.55,950189
,BGLOBAL,BE,         3.70,                    69727.60,19072
,BGRENERGY,EQ,        91.40,                 12642079.75,138176
,BHAGERIA,EQ,       304.55,                  4525285.75,14788
,BHAGYANGR,EQ,        42.40,                  1809372.45,42512
,BHAGYAPROP,BE,        23.25,                   130552.75,5655
,BHANDARI,EQ,         2.55,                   301200.25,116830
,BHARATFIN,EQ,      1169.85,                471101184.70,401625
,BHARATFORG,EQ,       647.50,                285811424.05,438397
,BHARATGEAR,EQ,       172.70,                  1346454.40,7771
