,11-Apr-2019
The Nifty witnessed an intraday movement of about 56.15 points.The closing index was 0.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28728.04
, Traded Quantity (in Lakhs), 14681.65
, Number of Trades, 10204274
, Total Market Capitalisation (Rs. Crores), 14944784.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1764.15,                  6832431.50,3864
,ALANKIT,EQ,        31.00,                 19606130.75,631911
,ALBERTDAVD,EQ,       408.55,                   618664.95,1511
,ALBK,EQ,        53.70,                335242730.15,6269568
,ALCHEM,BE,         1.90,                     8023.90,4084
,ALEMBICLTD,EQ,        42.65,                  2737192.70,64045
,ALICON,EQ,       589.30,                   478497.20,820
,ALKALI,EQ,        42.00,                   650022.65,15593
,ALKEM,EQ,      1757.35,                 46949326.60,26910
,ALKYLAMINE,EQ,       850.75,                  7200944.05,8499
,ALLCARGO,EQ,       115.20,                 24128336.60,208041
,ALLSEC,BE,       291.20,                  7313259.20,25244
,ALMONDZ,EQ,        21.60,                    42770.90,1981
,ALOKTEXT,BE,         4.50,                  9127226.45,2019751
,ALPA,EQ,        26.60,                   179500.40,6711
,ALPHAGEO,EQ,       479.05,                  2347441.05,4899
,ALPSINDUS,BE,         2.15,                      258.00,120
,AMARAJABAT,EQ,       683.05,                591207452.80,860761
,AMBER,EQ,       836.10,                  7717848.45,9260
,AMBIKCO,EQ,      1130.00,                   874374.20,774
,AMDIND,EQ,        21.15,                    27136.80,1285
,AMJLAND,EQ,        19.50,                    86442.90,4393
,AMRUTANJAN,EQ,       322.05,                174399196.00,531123
,ANANTRAJ,EQ,        33.75,                  6759281.95,200050
,ANDHRABANK,EQ,        28.90,                 20599053.60,709336
,ANDHRACEMT,BE,         4.50,                   251675.60,55694
,ANDHRSUGAR,EQ,       351.65,                  7463164.10,21265
,ANGIND,BZ,          .90,                      471.60,546
,ANIKINDS,EQ,        15.20,                    25056.00,1645
,ANKITMETAL,BE,          .50,                    57443.40,108548
,ANSALAPI,EQ,        11.20,                  1053935.15,93696
,ANSALHSG,EQ,        12.40,                   246866.25,19834
,ANTGRAPHIC,BE,          .65,                    45345.75,75203
,ANUP,EQ,       514.75,                  7674244.60,14997
,APARINDS,EQ,       681.40,                   894289.85,1305
,APCL,EQ,       132.95,                   440188.60,3354
,APCOTEXIND,EQ,       524.50,                  2887941.55,5497
,APEX,EQ,       332.40,                 11557897.60,34621
