,08-Apr-2019
The Nifty witnessed an intraday movement of about 161.2 points.The closing index was 0.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31113.43
, Traded Quantity (in Lakhs), 16364.05
, Number of Trades, 11135117
, Total Market Capitalisation (Rs. Crores), 14932147.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALCHEM,BE,         1.95,                     6965.65,3413
,ALEMBICLTD,EQ,        42.45,                  4298238.85,101478
,ALICON,EQ,       591.15,                  1233169.45,2088
,ALKALI,EQ,        44.05,                   320962.45,7317
,ALKEM,EQ,      1743.65,                 84406221.65,48309
,ALKYLAMINE,EQ,       834.50,                  1892072.70,2275
,ALLCARGO,EQ,       109.65,                 10961798.60,99116
,ALLSEC,BE,       291.15,                  4133378.20,14132
,ALMONDZ,EQ,        22.45,                     4687.25,212
,ALOKTEXT,BE,         4.60,                 10435455.40,2216499
,ALPA,EQ,        26.55,                   228411.95,8589
,ALPHAGEO,EQ,       484.00,                  1463402.00,3012
,ALPSINDUS,BE,         2.45,                     2450.00,1000
,AMARAJABAT,EQ,       679.85,                798229649.45,1173892
,AMBER,EQ,       835.35,                 15584367.40,18637
,AMBIKCO,EQ,      1126.90,                  3040447.05,2692
,AMDIND,EQ,        21.65,                   503956.65,23499
,AMJLAND,EQ,        19.45,                    34351.20,1764
,AMJUMBO,SM,        46.10,                   278400.00,6000
,AMRUTANJAN,EQ,       309.20,                 12219884.70,39010
,ANANTRAJ,EQ,        33.45,                 21917116.75,648992
,ANDHRABANK,EQ,        29.80,                 41175716.25,1366187
,ANDHRACEMT,BE,         4.80,                   119137.65,24871
,ANDHRSUGAR,EQ,       353.65,                  5253877.80,14790
,ANGIND,BZ,          .85,                     6555.40,7649
,ANIKINDS,EQ,        14.90,                   124957.20,8560
,ANKITMETAL,BE,          .50,                    23223.70,47035
,ANSALAPI,EQ,        11.20,                   923551.75,81493
,ANSALHSG,EQ,        12.80,                   520332.60,40544
,ANTGRAPHIC,BE,          .55,                     3616.20,6920
,ANUP,EQ,       520.80,                  9613698.30,18418
