,25-Apr-2019
The Nifty witnessed an intraday movement of about 172.45 points.The closing index was 0.72 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 45084.45
, Traded Quantity (in Lakhs), 18758.32
, Number of Trades, 11724762
, Total Market Capitalisation (Rs. Crores), 15026846.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1735.35,                  3636179.60,2087
,ALANKIT,EQ,        37.95,                 28224968.50,738837
,ALBERTDAVD,EQ,       388.60,                  1554636.60,3984
,ALBK,EQ,        49.65,                660849218.85,13182518
,ALCHEM,BE,         1.90,                     1689.80,892
,ALEMBICLTD,EQ,        42.25,                  3531533.70,83248
,ALICON,EQ,       640.25,                  3278943.85,5122
,ALKALI,EQ,        43.85,                    52442.00,1196
,ALKEM,EQ,      1703.45,               1263858298.90,741693
,ALKYLAMINE,EQ,       872.80,                  2100065.25,2374
,ALLCARGO,EQ,       111.30,                  6484854.60,57727
,ALLSEC,BE,       312.10,                 19489102.35,62734
,ALMONDZ,EQ,        21.70,                     3413.40,160
,ALOKTEXT,BE,         4.20,                  7489180.30,1756267
,ALPA,EQ,        25.15,                   144181.85,5720
,ALPHAGEO,EQ,       470.65,                   876283.90,1861
,ALPSINDUS,BE,         1.70,                    19622.20,11519
,AMARAJABAT,EQ,       668.95,                146174075.45,217483
,AMBER,EQ,       817.85,                  3980811.90,4846
,AMBIKCO,EQ,      1123.15,                  1317221.40,1174
,AMDIND,EQ,        20.70,                    93730.40,4521
,AMJLAND,EQ,        19.70,                    87384.80,4426
,AMJUMBO,SM,        49.60,                    99200.00,2000
,AMRUTANJAN,EQ,       301.00,                  5029210.05,16588
,ANANTRAJ,EQ,        31.50,                  4724000.50,148638
,ANDHRABANK,EQ,        27.35,                 15345100.80,556579
,ANDHRACEMT,BE,         4.60,                   239866.20,51980
,ANDHRSUGAR,EQ,       354.20,                 12605717.45,35093
,ANGIND,BZ,          .95,                     3955.10,4420
,ANIKINDS,EQ,        14.90,                    12914.20,869
,ANKITMETAL,BE,          .55,                    10106.80,18531
,ANSALAPI,EQ,        10.90,                   252905.15,23036
,ANSALHSG,EQ,        11.95,                   477321.05,39653
,ANTGRAPHIC,BE,          .80,                    47480.60,63259
,ANUP,EQ,       479.15,                 25376553.65,52917
,APARINDS,EQ,       670.20,                  1301274.35,1929
,APCL,EQ,       143.45,                  4195337.40,28168
,APCOTEXIND,EQ,       540.60,                  3908972.40,7237
,APEX,EQ,       318.45,                 13609262.15,42589
,APLAPOLLO,EQ,      1562.30,                 16200140.55,10247
,APLLTD,EQ,       533.20,                  9492064.40,17796
,APOLLO,EQ,       129.65,                  1611545.80,12434
,APOLLOHOSP,EQ,      1246.25,                449628790.85,360981
,APOLLOTYRE,EQ,       209.05,                672608738.20,3218763
,APOLSINHOT,EQ,       927.20,                  1384605.00,1469
,APTECHT,EQ,       163.90,                 13983773.95,84367
,ARCHIDPLY,EQ,        37.25,                   512751.50,13705
,ARCHIES,EQ,        22.80,                   441688.10,19369
,ARCOTECH,BE,         5.00,                   278761.00,55588
,ARIES,EQ,        82.75,                   960359.10,11525
,ARIHANT,EQ,        27.00,                     4922.40,182
,ARIHANTSUP,BE,        59.05,                   935399.85,15778
,ARMANFIN,EQ,       355.20,                   438191.40,1231
,AROGRANITE,EQ,        50.95,                   618888.20,12222
,ARROWGREEN,EQ,        74.80,                   633258.75,8428
,ARROWTEX,EQ,        18.50,                   146943.50,7845
,ARSHIYA,EQ,        30.95,                   630779.45,20465
,ARSSINFRA,BE,        55.45,                  1123337.30,21161
,ARTEDZ,SM,        36.00,                  9827850.00,273000
,ARVIND,EQ,        87.65,                122156740.80,1390025
,ARVINDFASN,EQ,       965.10,                 33436619.45,34780
,ARVSMART,EQ,       124.15,                   440483.45,3526
,ASAHIINDIA,EQ,       239.75,                  7012180.95,29120
,ASAHISONG,EQ,       153.45,                   482605.10,3162
