symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2012-05-08,18244,4494,24.63
ADANIPORTS,EQ,2012-05-08,339686,145809,42.92
BEL,EQ,2012-05-08,11271,7034,62.41
BOSCHLTD,EQ,2012-05-08,25322,19882,78.52
CUMMINSIND,EQ,2012-05-08,401828,321321,79.96
DLF,EQ,2012-05-08,8326436,2210331,26.55
HINDALCO,EQ,2012-05-08,15845527,6792049,42.86
INDHOTEL,EQ,2012-05-08,363275,205688,56.62
LT,EQ,2012-05-08,1953934,678027,34.70
MANAPPURAM,EQ,2012-05-08,6166039,4560965,73.97
MARUTI,EQ,2012-05-08,632978,315552,49.85
SBIN,EQ,2012-05-08,3037161,544780,17.94
SBIN,N1,2012-05-08,38,37,97.37
SBIN,N2,2012-05-08,83,44,53.01
SBIN,N3,2012-05-08,31,27,87.10
SBIN,N4,2012-05-08,9,9,100.00
SBIN,N5,2012-05-08,820,692,84.39
SUZLON,EQ,2012-05-08,19397549,2918297,15.04
TRENT,EQ,2012-05-08,5976,3429,57.38
TRENT,Q2,2012-05-08,120,20,16.67
