symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2017-05-23,1450.15,1503.90,-0.0364,0.0254,,0.5006
ADANIPORTS,2017-05-23,331.65,354.45,-0.0665,0.0170,,0.4432
BEL,2017-05-23,172.05,175.65,-0.0207,0.0155,,0.3038
BOSCHLTD,2017-05-23,23141.60,23081.70,0.0026,0.0151,,0.2808
CUMMINSIND,2017-05-23,926.20,930.80,-0.0050,0.0291,,0.5388
DLF,2017-05-23,197.10,205.10,-0.0398,0.0250,,0.4986
DMART,2017-05-23,708.40,721.55,-0.0184,0.0238,,0.4490
HINDALCO,2017-05-23,192.00,190.25,0.0092,0.0197,,0.3668
INDHOTEL,2017-05-23,136.90,141.10,-0.0302,0.0177,,0.3573
INDIGO,2017-05-23,1045.25,1041.65,0.0035,0.0188,,0.3477
LT,2017-05-23,1740.75,1751.95,-0.0064,0.0114,,0.2140
MANAPPURAM,2017-05-23,85.20,87.45,-0.0261,0.0214,,0.4146
MARUTI,2017-05-23,6878.85,6701.70,0.0261,0.0125,,0.2617
PGEL,2017-05-23,175.70,177.40,-0.0096,0.0190,,0.3554
SBIN,2017-05-23,288.85,294.30,-0.0187,0.0171,,0.3286
SUZLON,2017-05-23,19.75,20.40,-0.0324,0.0209,,0.4165
TRENT,2017-05-23,245.50,247.90,-0.0097,0.0125,,0.2369
