symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2018-06-29,80288,36781,45.81
ADANIPORTS,EQ,2018-06-29,3241005,969725,29.92
BEL,EQ,2018-06-29,6423500,2491708,38.79
BOSCHLTD,EQ,2018-06-29,18972,8384,44.19
CUMMINSIND,EQ,2018-06-29,366363,237528,64.83
DIXON,EQ,2018-06-29,7158,2999,41.90
DLF,EQ,2018-06-29,4202492,525310,12.50
DMART,EQ,2018-06-29,612439,303030,49.48
HAL,EQ,2018-06-29,13304,6634,49.86
HINDALCO,EQ,2018-06-29,10441528,2324793,22.26
INDHOTEL,EQ,2018-06-29,511207,367305,71.85
INDIGO,EQ,2018-06-29,3116223,1458736,46.81
LT,EQ,2018-06-29,2324572,1261520,54.27
MANAPPURAM,EQ,2018-06-29,2355344,732291,31.09
MARUTI,EQ,2018-06-29,458807,208040,45.34
PGEL,EQ,2018-06-29,257306,126953,49.34
SBIN,EQ,2018-06-29,16244724,5951231,36.63
SBIN,N2,2018-06-29,1,1,100.00
SBIN,N5,2018-06-29,184,181,98.37
SBIN,N6,2018-06-29,26,25,96.15
SUZLON,EQ,2018-06-29,27858724,5789701,20.78
TRENT,EQ,2018-06-29,59543,26731,44.89
