symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2016-11-21,1049.60,1053.20,-0.0034,0.0128,,0.2369
ADANIPORTS,2016-11-21,255.70,261.90,-0.0240,0.0294,,0.5560
BEL,2016-11-21,1278.15,1307.90,-0.0230,0.0178,,0.3477
BOSCHLTD,2016-11-21,18407.90,19226.85,-0.0435,0.0164,,0.3649
CUMMINSIND,2016-11-21,762.50,790.50,-0.0361,0.0164,,0.3477
DLF,2016-11-21,108.60,116.40,-0.0694,0.0512,,1.0030
HINDALCO,2016-11-21,157.35,165.35,-0.0496,0.0305,,0.6114
INDHOTEL,2016-11-21,90.70,91.15,-0.0049,0.0315,,0.5846
INDIGO,2016-11-21,850.70,848.90,0.0021,0.0211,,0.3917
LT,2016-11-21,1347.90,1370.45,-0.0166,0.0112,,0.2216
MANAPPURAM,2016-11-21,70.00,75.55,-0.0763,0.0565,,1.1062
MARUTI,2016-11-21,4787.45,4950.90,-0.0336,0.0217,,0.4318
PGEL,2016-11-21,126.05,130.00,-0.0309,0.0373,,0.7050
SBIN,2016-11-21,257.35,275.80,-0.0692,0.0238,,0.5464
SUZLON,2016-11-21,13.95,14.75,-0.0558,0.0273,,0.5693
TRENT,2016-11-21,182.55,186.45,-0.0211,0.0189,,0.3630
