symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2014-10-07,1085.50,1112.30,-0.0244,0.0235,,0.4509
ADANIPORTS,2014-10-07,259.90,275.15,-0.0570,0.0237,,0.5139
BEL,2014-10-07,2001.80,2054.50,-0.0260,0.0273,,0.5197
BOSCHLTD,2014-10-07,14706.15,14802.50,-0.0065,0.0109,,0.2044
CUMMINSIND,2014-10-07,655.00,674.05,-0.0287,0.0124,,0.2656
DLF,2014-10-07,141.60,150.40,-0.0603,0.0324,,0.6629
HINDALCO,2014-10-07,148.25,155.25,-0.0461,0.0266,,0.5388
INDHOTEL,2014-10-07,94.05,96.05,-0.0210,0.0252,,0.4776
LT,2014-10-07,1414.80,1446.85,-0.0224,0.0171,,0.3343
MANAPPURAM,2014-10-07,27.75,28.20,-0.0161,0.0384,,0.7145
MARUTI,2014-10-07,2938.65,2970.95,-0.0109,0.0140,,0.2636
PGEL,2014-10-07,97.30,98.95,-0.0168,0.0370,,0.6897
SBIN,2014-10-07,2366.40,2423.35,-0.0238,0.0182,,0.3554
SUZLON,2014-10-07,13.90,13.50,0.0292,0.0530,,0.9915
TRENT,2014-10-07,1373.05,1388.25,-0.0110,0.0229,,0.4280
