,05-Apr-2018
The Nifty witnessed an intraday movement of about 104.35 points.The closing index was 1.94 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30418.5
, Traded Quantity (in Lakhs), 16252.93
, Number of Trades, 9755809
, Total Market Capitalisation (Rs. Crores), 14492838.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBK,EQ,        51.70,                238087736.05,4674461
,ALCHEM,BE,         9.05,                    14450.30,1595
,ALEMBICLTD,EQ,        55.15,                  8839924.55,159930
,ALICON,EQ,       610.35,                  3276919.00,5383
,ALKALI,EQ,        79.05,                 19072559.85,234144
,ALKEM,EQ,      1854.10,                 94451522.25,50574
,ALKYLAMINE,EQ,       622.95,                   428476.75,688
,ALLCARGO,EQ,       151.25,                 28716341.35,189434
,ALLSEC,EQ,       347.20,                  3772586.25,11079
,ALMONDZ,EQ,        25.25,                   219557.75,8772
,ALOKTEXT,EQ,         3.50,                  2497824.00,713664
,ALPA,EQ,        40.40,                  2022849.75,49260
,ALPHAGEO,EQ,       776.30,                  8445765.55,10883
,ALPSINDUS,BE,         3.30,                    66509.80,20947
,AMARAJABAT,EQ,       803.50,                174521484.25,216748
,AMBER,EQ,      1116.10,                 88916846.80,79521
,AMBIKCO,EQ,      1306.65,                  3038865.35,2313
,AMDIND,BE,        29.05,                   246294.90,8494
,AMJLAND,EQ,        24.40,                   354844.75,14503
,AMJUMBO,SM,        65.60,                  1051000.00,16000
,AMRUTANJAN,EQ,       553.55,                  1426542.10,2569
,AMTEKAUTO,BZ,        21.05,                  5339069.50,255805
,ANANTRAJ,EQ,        50.00,                 47955785.15,956202
,ANDHRABANK,EQ,        44.20,                246795052.60,5663060
,ANDHRACEMT,EQ,        11.60,                  3948258.50,341985
,ANDHRSUGAR,EQ,       450.75,                  7116522.65,15928
,ANGIND,BE,         4.65,                    48839.90,10398
,ANIKINDS,EQ,        33.95,                   293587.55,8621
,ANSALAPI,EQ,        20.90,                  6561903.35,308816
