,09-Apr-2018
The Nifty witnessed an intraday movement of about 69.2 points.The closing index was 0.46 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27875.82
, Traded Quantity (in Lakhs), 13825.77
, Number of Trades, 10059195
, Total Market Capitalisation (Rs. Crores), 14591750.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        46.50,                  3535247.00,75497
,ALBERTDAVD,BE,       378.60,                   530077.80,1382
,ALBK,EQ,        54.70,                496870382.90,9133390
,ALCHEM,BE,         8.75,                     7798.20,881
,ALEMBICLTD,EQ,        55.35,                 14477910.60,259566
,ALICON,EQ,       607.55,                  1567456.85,2580
,ALKALI,EQ,        79.75,                  4021629.05,50257
,ALKEM,EQ,      1854.95,                205916184.50,110880
,ALKYLAMINE,EQ,       633.35,                  1517153.20,2404
,ALLCARGO,EQ,       150.90,                 29110643.30,192372
,ALLSEC,EQ,       340.90,                   719936.50,2095
,ALMONDZ,EQ,        25.85,                   135293.25,5149
,ALOKTEXT,EQ,         4.20,                 64953695.60,15484179
,ALPA,EQ,        39.25,                  1344597.15,34173
,ALPHAGEO,EQ,       792.15,                 11083340.10,14115
,ALPSINDUS,BE,         3.25,                    41176.30,12527
,AMARAJABAT,EQ,       803.05,                 90875914.75,112940
,AMBER,EQ,      1144.50,                 38697478.20,33871
,AMBIKCO,EQ,      1307.85,                  2833414.90,2157
,AMDIND,BE,        31.20,                   357592.30,11477
,AMJLAND,EQ,        24.10,                   143920.60,5935
,AMJUMBO,SM,        67.55,                   405200.00,6000
,AMRUTANJAN,EQ,       594.05,                  7430245.00,12601
,AMTEKAUTO,BZ,        23.20,                  2857358.40,123162
,ANANTRAJ,EQ,        51.95,                 79564433.50,1542907
,ANDHRABANK,EQ,        45.30,                825873659.65,18073768
,ANDHRACEMT,EQ,        11.15,                  2337398.20,206688
,ANDHRSUGAR,EQ,       450.85,                 17523966.70,39098
,ANGIND,BE,         4.80,                    47729.10,9868
,ANIKINDS,EQ,        34.20,                   527838.30,15404
,ANSALAPI,EQ,        20.90,                  1993992.75,94440
,ANSALHSG,EQ,        21.80,                  1322797.95,60440
,ANTGRAPHIC,BE,          .95,                    33283.30,35693
,APARINDS,EQ,       763.55,                  4012952.30,5188
,APCL,EQ,       202.30,                  1260033.60,6294
,APCOTEXIND,EQ,       521.25,                  5947011.00,11417
,APEX,EQ,       688.25,                309812368.15,456579
,APLAPOLLO,EQ,      2120.90,                 58867550.25,27703
,APLLTD,EQ,       536.70,                153454497.00,284066
,APOLLO,EQ,       260.50,                 64389572.65,247295
,APOLLOHOSP,EQ,      1061.10,                294510902.85,276142
,APOLLOTYRE,EQ,       293.20,                795002901.60,2702990
,APOLSINHOT,EQ,      1375.60,                  1028803.65,738
,APTECHT,EQ,       270.60,                 94131298.40,345949
,ARCHIDPLY,EQ,        84.85,                  3037691.85,35502
,ARCHIES,EQ,        34.80,                  6339171.85,179984
,ARCOTECH,EQ,        36.10,                 10846489.75,304023
,ARIES,EQ,       203.75,                  4662034.30,22765
,ARIHANTSUP,EQ,       137.15,                 28291935.95,206607
,ARMANFIN,EQ,       338.00,                   392758.20,1163
,AROGRANITE,EQ,        60.50,                  1897955.75,31279
,ARROWGREEN,EQ,       365.75,                  7397597.05,20044
,ARROWTEX,EQ,        37.40,                   301545.15,8020
,ARSHIYA,EQ,        79.30,                  5626084.55,70082
,ARSSINFRA,BE,        54.75,                  1103604.75,20214
,ARVIND,EQ,       407.50,                428329014.30,1045828
,ARVSMART,EQ,       196.35,                  4525705.50,23021
,ASAHIINDIA,EQ,       353.65,                 10957970.05,31051
,ASAHISONG,EQ,       337.05,                  2870477.50,8449
,ASAL,EQ,        82.50,                   989525.25,11987
,ASHAPURMIN,EQ,        77.40,                 22589681.75,287978
,ASHIANA,EQ,       167.10,                 12441443.10,74052
,ASHIMASYN,EQ,        30.90,                 12591001.00,416168
,ASHOKA,EQ,       261.50,                 59042146.30,224466
,ASIANHOTNR,BE,       294.45,                   399760.50,1377
,ASIANTILES,EQ,       503.55,                 21376487.20,42614
,ASPINWALL,EQ,       396.55,                   329269.65,829
,ASSAMCO,EQ,         4.70,                  1488363.20,307279
,ASTEC,EQ,       615.00,                 14670036.95,23640
,ASTERDM,EQ,       172.80,                 35747302.50,205038
,ASTRAL,EQ,       929.05,                307394560.80,331113
,ASTRAMICRO,EQ,        82.75,                 32778772.40,396210
,ASTRAZEN,EQ,       964.30,                  1273125.25,1314
,ASTRON,EQ,       127.70,                 19249824.65,151170
,ATFL,EQ,       641.55,                 11325904.25,17467
,ATLANTA,EQ,        81.60,                  6203980.95,75978
,ATLASCYCLE,BE,       173.25,                   169677.10,980
,ATUL,EQ,      2773.20,                 14425540.40,5250
,ATULAUTO,EQ,       439.90,                 26546934.55,59346
