,11-Apr-2018
The Nifty witnessed an intraday movement of about 72.55 points.The closing index was 0.14 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29880.7
, Traded Quantity (in Lakhs), 14415.66
, Number of Trades, 9600122
, Total Market Capitalisation (Rs. Crores), 14635713.04

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        46.20,                  3167105.45,69583
,ALBERTDAVD,BE,       385.00,                  1228838.50,3190
,ALBK,EQ,        53.90,                185224628.80,3434774
,ALCHEM,BE,         9.30,                    31839.00,3551
,ALEMBICLTD,EQ,        60.95,                 65592856.60,1070074
,ALICON,EQ,       595.50,                   745918.00,1250
,ALKALI,EQ,        78.00,                  1099992.70,14081
,ALKEM,EQ,      1770.95,                268051152.05,150799
,ALKYLAMINE,EQ,       629.80,                   815631.90,1296
,ALLCARGO,EQ,       154.40,                 49778858.30,318661
,ALLSEC,EQ,       336.10,                   676686.45,2007
,ALMONDZ,EQ,        25.65,                   317809.85,11930
,ALOKTEXT,EQ,         4.05,                 33110029.95,8126952
,ALPA,EQ,        39.55,                   319167.95,8113
,ALPHAGEO,EQ,       810.05,                 31857574.85,39025
,ALPSINDUS,BE,         3.20,                    12666.40,3962
,AMARAJABAT,EQ,       817.80,                423657970.60,520200
,AMBER,EQ,      1139.10,                 47219212.35,41313
,AMBIKCO,EQ,      1381.25,                  4535566.45,3262
,AMDIND,BE,        30.45,                   147305.50,4804
,AMJLAND,EQ,        24.35,                   153735.00,6250
,AMJUMBO,SM,        70.15,                  2567300.00,36000
,AMRUTANJAN,EQ,       583.60,                  1607262.90,2746
,AMTEKAUTO,BZ,        22.70,                  1986574.50,87194
,ANANTRAJ,EQ,        51.25,                 52829799.70,1037325
,ANDHRABANK,EQ,        44.00,                205981923.40,4667722
,ANDHRACEMT,EQ,        11.95,                  5430579.00,456817
,ANDHRSUGAR,EQ,       458.35,                 11382170.85,24726
,ANGIND,BE,         4.45,                    18565.80,4158
,ANIKINDS,EQ,        34.25,                   183507.10,5389
,ANSALAPI,EQ,        20.55,                  4090184.85,200121
,ANSALHSG,EQ,        20.90,                   714088.20,33928
,ANTGRAPHIC,BE,          .90,                    37215.50,41450
,APARINDS,EQ,       762.60,                 30649679.70,40793
,APCL,EQ,       203.65,                  1544305.70,7401
,APCOTEXIND,EQ,       517.75,                  2377357.10,4586
,APEX,EQ,       684.90,                115595054.95,168271
,APLAPOLLO,EQ,      2133.00,                114165259.10,52576
,APLLTD,EQ,       533.15,                 23847806.70,44617
,APOLLO,EQ,       256.80,                  5616814.50,21867
,APOLLOHOSP,EQ,      1109.55,                548802025.80,496196
,APOLLOTYRE,EQ,       286.75,                562233087.65,1954853
,APOLSINHOT,EQ,      1309.80,                   416048.00,316
,APTECHT,EQ,       268.95,                140773781.45,521174
,ARCHIDPLY,EQ,        83.15,                  1206009.35,14491
,ARCHIES,EQ,        36.60,                 47468652.10,1269423
,ARCOTECH,EQ,        35.70,                  7538106.15,211102
,ARIES,EQ,       203.60,                  6311915.25,31095
,ARIHANT,BE,        45.65,                     1268.75,29
,ARIHANTSUP,EQ,       139.95,                 19682059.55,137813
,ARMANFIN,EQ,       333.15,                   634812.10,1901
,AROGRANITE,EQ,        59.55,                   821739.60,13712
,ARROWGREEN,EQ,       368.65,                 23361305.70,63776
,ARROWTEX,EQ,        36.45,                   656973.70,17875
,ARSHIYA,EQ,        78.55,                  3502788.10,44720
,ARSSINFRA,BE,        55.75,                  1708846.40,31116
,ARVIND,EQ,       409.40,                321256569.05,787982
,ARVSMART,EQ,       192.25,                  2580997.95,13411
,ASAHIINDIA,EQ,       354.15,                  3919489.30,11013
,ASAHISONG,EQ,       340.75,                  1086803.30,3228
,ASAL,EQ,        81.35,                  1396783.65,17195
,ASHAPURMIN,EQ,        74.75,                  4265675.05,56749
,ASHIANA,EQ,       166.80,                  3610263.55,21640
,ASHIMASYN,EQ,        30.75,                  7213160.50,234209
,ASHOKA,EQ,       269.75,                157764996.30,592300
,ASIANHOTNR,BE,       295.60,                   122334.40,426
,ASIANTILES,EQ,       499.10,                 16293311.80,32587
,ASPINWALL,EQ,       388.50,                   701671.10,1803
,ASSAMCO,EQ,         4.65,                   388056.45,82897
,ASTEC,EQ,       604.65,                  5550236.10,9140
,ASTERDM,EQ,       171.55,                  9870856.15,57323
,ASTRAL,EQ,       949.45,                184519475.25,194008
,ASTRAMICRO,EQ,        83.05,                 13136613.75,157583
,ASTRAZEN,EQ,       973.20,                  1619138.75,1662
,ASTRON,EQ,       127.40,                 16877224.00,132394
,ATFL,EQ,       650.15,                 69822294.50,107422
,ATLANTA,EQ,        83.15,                 14107813.15,170355
,ATLASCYCLE,BE,       167.15,                   762765.75,4566
,ATUL,EQ,      2725.30,                  5285725.20,1931
,ATULAUTO,EQ,       440.00,                  5363047.95,12097
,AUBANK,EQ,       665.65,                 42652270.15,64244
,AURDIS,SM,        29.65,                   296200.00,10000
,AURIONPRO,EQ,       239.10,                 14421434.95,60273
,AUSOMENT,EQ,        80.45,                 13371397.50,164449
,AUTOAXLES,EQ,      1665.75,                 16219535.50,9775
,AUTOIND,EQ,        79.75,                  2089403.85,25900
,AUTOLITIND,EQ,        75.25,                  1513695.15,19977
,AVADHSUGAR,EQ,       450.95,                 31160091.40,68621
,AVANTIFEED,EQ,      2267.30,                126044133.00,55514
,AVG,ST,       118.55,                 61490040.00,530400
,AVTNPL,EQ,        39.95,                  3830576.35,96295
,AXISCADES,EQ,       167.75,                 28302857.55,168353
,AXISGOLD,EQ,      2740.00,                   535638.60,196
,AXISNIFTY,EQ,      1053.42,                     9425.93,9
,AYMSYNTEX,EQ,        63.55,                   706138.85,11118
,BAFNAPHARM,EQ,        28.15,                  1130060.15,40045
,BAGFILMS,EQ,         5.35,                   875736.20,157978
,BAJAJCORP,EQ,       494.90,                 14730530.55,29959
,BAJAJELEC,EQ,       622.35,                406396937.25,652728
,BAJAJHIND,EQ,         9.85,                 25677993.35,2588454
,BAJAJHLDNG,EQ,      2629.75,                 63993042.15,24319
,BALAJITELE,EQ,       136.15,                  6676941.80,49576
,BALAMINES,EQ,       656.70,                 28802901.40,44075
,BALKRISHNA,EQ,        85.85,                  2125179.30,24864
,BALKRISIND,EQ,      1286.25,               1025811953.15,791332
,BALLARPUR,EQ,        14.85,                 19841079.05,1351458
,BALMLAWRIE,EQ,       225.10,                  5823010.45,25909
,BALPHARMA,EQ,        87.00,                  1398422.50,16076
,BALRAMCHIN,EQ,        77.45,                500990246.00,6411335
,BANARBEADS,EQ,        63.95,                   109467.70,1719
,BANARISUG,EQ,      1850.00,                   618941.45,335
,BANCOINDIA,EQ,       232.20,                 23901924.50,103518
,BANDHANBNK,EQ,       533.50,               1871016866.65,3555719
,BANG,EQ,        33.50,                   177139.20,5323
,BANKBEES,EQ,      2546.55,                 16794914.58,6616
,BANKINDIA,EQ,       112.35,                871672946.30,7721057
,BANSAL,SM,       108.45,                  6223800.00,58000
,BANSWRAS,EQ,       101.50,                   317212.45,3093
,BARTRONICS,EQ,        11.00,                   507419.75,45678
,BASF,EQ,      1983.90,                  5962674.75,3000
,BASML,EQ,       248.35,                   767199.95,3080
,BATAINDIA,EQ,       792.40,                684961750.20,874461
,BAYERCROP,EQ,      4374.15,                 33900637.95,7733
,BBL,EQ,      1572.50,                 15574578.45,9828
,BBTC,EQ,      1259.40,                224555132.90,179929
,BDL,EQ,       381.20,                 18350308.15,47804
,BEARDSELL,EQ,        54.75,                    74616.50,1363
,BEDMUTHA,EQ,        18.45,                   103139.40,5570
,BEML,EQ,      1153.35,                499156884.20,431221
,BEPL,EQ,       216.00,                405094516.65,1878659
,BERGEPAINT,EQ,       267.40,                107015791.40,401314
,BETA,SM,       127.00,                  1040000.00,8000
,BFINVEST,EQ,       290.25,                 12692747.35,43516
,BFUTILITIE,EQ,       401.05,                125002223.50,310597
,BGLOBAL,BE,         4.80,                    34029.35,7206
,BGRENERGY,EQ,       106.30,                  3707264.20,34786
,BHAGERIA,EQ,       309.50,                  4845395.90,15587
,BHAGYANGR,EQ,        44.30,                  2615919.30,59274
,BHAGYAPROP,EQ,        23.20,                  1631300.45,70344
,BHANDARI,EQ,         3.10,                   559926.85,176456
,BHARATFIN,EQ,      1143.20,                339809704.35,298021
,BHARATFORG,EQ,       730.65,               1334690826.85,1821154
,BHARATGEAR,EQ,       183.35,                  3568080.20,19350
,BHARATIDIL,BZ,         5.25,                    94057.15,17803
,BHARATIWIN,EQ,        36.01,                  9225012.16,256084
,BHARATRAS,EQ,      4823.35,                  4375966.45,915
,BHARATWIRE,EQ,       128.80,                 22969647.60,180555
,BHUSANSTL,EQ,        44.45,                128645204.20,2884756
,BIGBLOC,EQ,       180.00,                  7094638.35,39700
,BIL,EQ,       407.30,                  3631274.75,8991
,BILENERGY,EQ,          .75,                   145822.45,194583
,BILPOWER,EQ,         1.50,                      300.00,200
,BINANIIND,EQ,       100.25,                  9064165.70,90235
,BINDALAGRO,EQ,        29.40,                  6083205.45,206102
,BIOCON,EQ,       613.00,                499147845.60,812582
,BIOFILCHEM,BE,        14.65,                    52480.85,3513
,BIRLACABLE,EQ,        80.85,                  3097884.75,37956
,BIRLACORPN,EQ,       766.35,                 25886507.05,33524
,BIRLAMONEY,EQ,        82.20,                 78225761.65,951622
,BKMINDST,EQ,        30.10,                  4978114.95,166839
,BLBLIMITED,EQ,         7.20,                   168703.20,23431
,BLISSGVS,EQ,       200.80,                 36708895.05,181281
,BLKASHYAP,EQ,        46.95,                  8039736.15,170346
,BLS,EQ,       136.95,                  8576666.00,62632
,BLUEBLENDS,EQ,        21.95,                   682201.30,31085
,BLUECHIP,BE,          .05,                       70.00,1400
,BLUECOAST,EQ,        85.05,                     4167.45,49
,BLUEDART,EQ,      3716.30,                132840556.60,35233
,BLUESTARCO,EQ,       793.70,                267486340.35,333170
,BODALCHEM,EQ,       130.80,                 53513621.55,404830
,BOHRA,SM,        35.65,                    71300.00,2000
,BOMDYEING,EQ,       255.30,                329314223.55,1288154
,BPL,EQ,        83.35,                 58975910.35,719435
,BRFL,EQ,        39.90,                  3706390.65,93515
,BRIGADE,EQ,       256.40,                 81609723.65,315296
,BRNL,EQ,       191.65,                  2278551.10,11902
,BROOKS,EQ,        85.70,                   535495.80,6236
,BSE,EQ,       814.50,                128186516.25,156928
,BSELINFRA,EQ,         4.15,                   263077.95,62578
,BSL,EQ,        72.15,                  1731970.70,23819
,BSLGOLDETF,EQ,      2882.00,                   100774.50,35
,BSLIMITED,BZ,         1.05,                   126880.05,120495
,BSLNIFTY,EQ,       111.65,                      778.55,7
,BURNPUR,EQ,         8.55,                  2887314.25,338321
,BUTTERFLY,EQ,       518.60,                  6412658.30,12488
,BVCL,BE,        28.50,                   135994.90,4640
,BYKE,EQ,       188.50,                  5773103.10,30488
,CALSOFT,EQ,        36.00,                   204860.25,5627
,CAMLINFINE,EQ,       109.05,                 39446166.40,360001
,CANBK,EQ,       280.60,               1973575887.70,7014758
,CANDC,EQ,        56.55,                  4332218.30,74620
,CANFINHOME,EQ,       442.95,                318664281.60,717175
,CANTABIL,EQ,       140.50,                 10361611.30,75338
,CAPACITE,EQ,       335.65,                 30722660.45,91370
,CAPF,EQ,       652.45,                251677354.40,387002
,CAPLIPOINT,EQ,       581.85,                 21843605.10,37177
,CAPTRUST,EQ,       434.65,                  2492396.85,5718
,CARBORUNIV,EQ,       362.15,                  7359735.10,20440
,CAREERP,EQ,       115.70,                 15296852.75,131988
,CARERATING,EQ,      1332.70,                 31599105.90,23813
,CASTEXTECH,EQ,         4.55,                  6921638.80,1542202
,CASTROLIND,EQ,       206.30,                233401572.15,1129042
,CCCL,EQ,         4.15,                   489922.50,118100
,CCHHL,EQ,        13.00,                   477809.55,36783
,CCL,EQ,       287.90,                122237035.05,421513
,CDSL,EQ,       298.10,                 73384057.30,245641
,CEATLTD,EQ,      1599.90,                702881821.65,436256
,CEBBCO,EQ,        17.75,                   851432.10,48093
,CELEBRITY,EQ,        16.75,                   596113.20,35606
,CELESTIAL,EQ,        15.95,                   457783.35,28671
,CENTENKA,EQ,       356.75,                 10888303.35,30536
,CENTEXT,EQ,         5.80,                   592004.45,100998
,CENTRALBK,EQ,        70.05,                 26072065.95,371017
,CENTRUM,EQ,        61.50,                  7393004.05,119636
,CENTUM,EQ,       541.95,                   624975.00,1152
,CENTURYPLY,EQ,       351.10,                 69651817.70,200275
,CENTURYTEX,EQ,      1209.45,                596184867.75,496036
,CERA,EQ,      3415.35,                 25477140.80,7556
,CEREBRAINT,EQ,        62.90,                229623488.10,3685119
,CESC,EQ,      1015.60,                395973477.85,390359
,CGCL,EQ,        95.50,                   789211.40,8267
,CGPOWER,EQ,        81.70,                102889157.80,1265058
,CHAMBLFERT,EQ,       167.00,                 57941765.55,347476
,CHENNPETRO,EQ,       335.05,                375051215.35,1118035
,CHOLAFIN,EQ,      1556.55,                576186851.45,371580
,CHROMATIC,BE,         2.00,                    45336.00,22668
,CIGNITITEC,BE,       245.95,                  1273932.30,5124
,CIMMCO,EQ,        91.30,                  5734173.45,61992
,CINELINE,EQ,        78.05,                  5366399.60,69046
,CINEVISTA,EQ,        11.25,                    40225.00,3600
,CKPLEISURE,SM,        27.90,                   223200.00,8000
,CLEDUCATE,EQ,       201.35,                   981293.55,4880
,CLNINDIA,EQ,       548.65,                  4637762.40,8410
,CMICABLES,EQ,       241.95,                  2108691.00,8724
,CMMIPL,SM,        57.10,                  2417550.00,42000
,CNOVAPETRO,EQ,        34.05,                     8917.90,264
,COCHINSHIP,EQ,       520.05,                 47374010.95,90762
,COFFEEDAY,EQ,       299.70,                 23574499.75,77986
,COMPINFO,EQ,        44.45,                  4255484.20,95999
,COMPUSOFT,EQ,        14.35,                  1579761.15,111605
,CONSOFINVT,EQ,        65.00,                   502816.55,7718
,CONTROLPR,EQ,       435.95,                  2715303.00,6287
,CORALFINAC,EQ,        31.60,                  1370845.95,43369
,CORDSCABLE,EQ,        91.20,                  8945150.85,99135
,COROMANDEL,EQ,       529.75,                 70268377.05,132359
,CORPBANK,EQ,        31.50,                 12147185.80,384762
,COSMOFILMS,EQ,       275.55,                  3215776.85,11673
,COUNCODOS,EQ,         3.20,                    48977.40,15444
,COX&KINGS,EQ,       237.85,                  8340978.75,35139
,CPSEETF,EQ,        28.09,                  7150519.40,253760
,CREATIVEYE,EQ,         4.00,                      981.00,250
,CREST,EQ,       210.10,                  3358433.10,15956
,CRISIL,EQ,      1905.55,                 15567160.80,8192
,CRMFGETF,EQ,      2890.15,                  2971200.00,1028
,CROMPTON,EQ,       235.60,                 84177352.85,357851
,CTE,EQ,        65.80,                   206346.20,3133
,CUB,EQ,       179.95,                101167360.45,562286
,CUBEXTUB,BE,        21.80,                    40082.70,1809
,CUPID,EQ,       298.50,                 11273302.55,37734
,CYBERMEDIA,BE,        11.95,                    31330.80,2612
,CYBERTECH,EQ,        68.85,                   504352.70,7346
,CYIENT,EQ,       629.90,                131685467.05,208788
,DAAWAT,EQ,        95.20,                 62099578.85,649811
,DALMIABHA,EQ,      2776.80,                390647313.45,141461
,DALMIASUG,EQ,        72.00,                  4931142.25,68234
,DAMODARIND,EQ,       135.90,                  3231276.25,23854
,DATAMATICS,EQ,       122.65,                 48310142.35,392181
,DBCORP,EQ,       316.05,                  7138719.25,22386
,DBL,EQ,      1198.65,                630847888.40,526238
,DBREALTY,EQ,        58.60,                106116914.15,1824301
,DCAL,EQ,       333.60,                 49213579.40,147870
,DCBBANK,EQ,       178.10,                437218175.15,2483975
,DCM,EQ,        99.75,                  3176339.15,31483
,DCMSHRIRAM,EQ,       457.05,                 41148685.55,89952
,DCW,EQ,        34.35,                  5610523.90,162439
,DECCANCE,EQ,       511.40,                   425686.20,833
,DEEPAKFERT,EQ,       360.25,                 65718047.30,185261
,DEEPAKNTR,EQ,       248.85,                 53068875.95,212936
,DEEPIND,EQ,       172.05,                 28112967.05,160710
,DELTACORP,EQ,       281.30,                542775298.95,1918954
,DELTAMAGNT,BE,        64.00,                     6163.00,102
,DEN,EQ,       106.60,                 45219696.10,426595
,DENABANK,EQ,        20.05,                 18269850.55,908643
,DENORA,BE,       457.50,                   716562.45,1564
,DFMFOODS,EQ,      1463.55,                  4204551.15,2900
,DHAMPURSUG,EQ,       135.85,                 45410185.30,329283
,DHANBANK,EQ,        22.80,                  3584679.25,157504
,DHANUKA,EQ,       604.90,                 44193654.90,72236
,DHARSUGAR,EQ,        21.60,                  1091777.10,49715
,DHFL,EQ,       531.00,               1182879028.50,2225173
,DHFL,NN,      1037.00,                    32445.00,30
,DHFL,NP,      1080.42,                  3312738.04,3064
,DHFL,NL,      1065.94,                    74318.80,70
,DHFL,N6,      1037.02,                   628666.15,605
,DHFL,NC,      1105.00,                   717374.50,649
,DHFL,N8,      1051.10,                    17868.70,17
,DHUNINV,EQ,       390.20,                   118373.85,303
,DIAMONDYD,EQ,      1396.10,                 39415549.90,28082
,DIAPOWER,EQ,         6.45,                  7341188.80,1126934
,DICIND,EQ,       480.45,                   156753.20,324
