,24-Apr-2018
The Nifty witnessed an intraday movement of about 67.8 points.The closing index was 0.28 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31982.11
, Traded Quantity (in Lakhs), 14600.01
, Number of Trades, 11016717
, Total Market Capitalisation (Rs. Crores), 14935866.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1939.90,                 36585573.50,18880
,ALANKIT,EQ,        42.35,                  2796314.00,65127
,ALBERTDAVD,BE,       379.00,                   292952.55,775
,ALBK,EQ,        48.35,                108611845.45,2235758
,ALCHEM,BE,         9.20,                    57862.60,6389
,ALEMBICLTD,EQ,        57.70,                 16262188.85,279623
,ALICON,EQ,       625.35,                  2106249.00,3400
,ALKALI,EQ,        83.10,                  1572845.50,18649
,ALKEM,EQ,      1924.60,                336505826.10,175410
,ALKYLAMINE,EQ,       665.25,                  1687985.25,2526
,ALLCARGO,EQ,       156.05,                908254862.40,5867883
,ALLSEC,EQ,       369.40,                  5235471.10,14165
,ALMONDZ,EQ,        27.50,                   250285.25,9093
,ALOKTEXT,EQ,         2.70,                  6698789.10,2481033
,ALPA,EQ,        39.75,                  2610296.65,64662
,ALPHAGEO,EQ,       798.65,                 20195434.60,25405
,ALPSINDUS,BE,         2.90,                    49233.95,17158
,AMARAJABAT,EQ,       847.30,                456560261.55,532262
,AMBER,EQ,      1096.50,                 19455808.50,17682
,AMBIKCO,EQ,      1337.30,                  4138213.80,3084
,AMDIND,BE,        29.60,                    92087.90,3125
,AMJLAND,EQ,        26.00,                   371611.30,14287
,AMJUMBO,SM,        89.50,                  1254600.00,14000
,AMRUTANJAN,EQ,       304.50,                 53361522.10,175037
,AMTEKAUTO,BZ,        18.00,                  2051064.00,113948
,ANANTRAJ,EQ,        48.00,                 28172537.00,580521
,ANDHRABANK,EQ,        38.10,                246172411.10,6427643
,ANDHRACEMT,EQ,        11.10,                  3429118.80,311050
,ANDHRSUGAR,EQ,       434.95,                 12956827.10,29491
,ANGIND,BE,         3.70,                    48649.45,13119
,ANIKINDS,EQ,        46.75,                 10842880.85,234528
,ANSALAPI,EQ,        21.55,                  5378359.60,250362
,ANSALHSG,EQ,        21.20,                  3756563.95,177181
,ANTGRAPHIC,BE,          .90,                    21475.40,25256
,APARINDS,EQ,       790.60,                  3751708.90,4758
,APCL,EQ,       199.65,                   183516.35,919
,APCOTEXIND,EQ,       571.85,                  9327917.45,16158
,APEX,EQ,       671.05,                 41089094.00,61040
,APLAPOLLO,EQ,      2178.95,                131114980.35,60362
,APLLTD,EQ,       518.90,                 47518610.15,91152
,APOLLO,EQ,       240.90,                  6862527.90,28306
,APOLLOHOSP,EQ,      1106.85,                369050845.55,332495
,APOLLOTYRE,EQ,       288.70,                637773125.70,2202561
,APOLSINHOT,EQ,      1504.85,                  2176761.15,1431
,APTECHT,EQ,       283.70,                136201109.40,476406
,ARCHIDPLY,EQ,        90.55,                  4662783.65,51220
,ARCHIES,EQ,        40.50,                 19746143.30,486869
,ARCOTECH,EQ,        29.35,                 15673734.40,529922
,ARIES,EQ,       205.35,                  6952622.00,33672
,ARIHANT,BE,        44.40,                    55562.00,1305
,ARIHANTSUP,EQ,       137.55,                  5308526.25,38593
,ARMANFIN,EQ,       425.50,                  2270333.40,5255
,AROGRANITE,EQ,        58.70,                   908715.20,15435
,ARROWGREEN,EQ,       356.90,                  4171197.75,11550
,ARROWTEX,EQ,        36.20,                   104278.30,2905
,ARSHIYA,EQ,        78.15,                  9117595.40,116887
,ARSSINFRA,BE,        47.90,                   270766.00,5639
,ARVIND,EQ,       421.30,                422462506.80,1000129
,ARVSMART,EQ,       191.15,                 23111209.15,117482
,ASAHIINDIA,EQ,       350.05,                  5176962.30,14772
,ASAHISONG,EQ,       334.80,                 12010241.25,35942
,ASAL,EQ,        81.00,                  1316422.95,16259
,ASHAPURMIN,EQ,        76.25,                  9267051.10,120953
,ASHIANA,EQ,       161.10,                 11597832.80,71903
,ASHIMASYN,EQ,        30.65,                  4625727.75,148155
,ASHOKA,EQ,       271.75,                 53768384.25,198837
,ASIANHOTNR,BE,       317.40,                   528074.30,1662
,ASIANTILES,EQ,       488.50,                 24183595.70,49666
,ASPINWALL,EQ,       391.00,                  1166081.50,3008
,ASSAMCO,EQ,         4.40,                  1289561.65,287846
,ASTEC,EQ,       617.55,                 24538443.05,39742
,ASTERDM,EQ,       170.20,                 22744673.05,134664
,ASTRAL,EQ,       916.05,                 11736888.80,12735
,ASTRAMICRO,EQ,        98.00,                583797210.05,6078825
,ASTRAZEN,EQ,      1015.75,                  3546529.75,3489
,ASTRON,EQ,       126.95,                 17267315.55,135322
,ATFL,EQ,       814.15,                 80587381.30,100079
,ATLANTA,EQ,        80.85,                 15802085.10,195388
,ATLASCYCLE,BE,       167.30,                   591956.60,3530
,ATUL,EQ,      2715.55,                 11913405.50,4348
,ATULAUTO,EQ,       445.55,                 11626860.20,26209
,AUBANK,EQ,       698.25,                185166876.85,273892
,AURDIS,SM,        28.50,                   712000.00,24000
,AURIONPRO,EQ,       238.25,                  4159131.50,17294
,AUSOMENT,EQ,        96.75,                 52947762.75,491580
,AUTOAXLES,EQ,      1531.20,                  9106498.20,5929
,AUTOIND,EQ,        77.10,                  1893307.05,24383
,AUTOLITIND,EQ,        75.40,                  1117210.20,14783
,AVADHSUGAR,EQ,       388.60,                 14587787.75,37216
,AVANTIFEED,EQ,      2392.80,                290370379.90,121638
,AVG,ST,       123.75,                  7599240.00,62400
,AVTNPL,EQ,        39.00,                  2462141.00,62719
,AXISCADES,EQ,       172.45,                 19166918.30,109293
,AXISGOLD,EQ,      2727.80,                   202068.35,74
,AXISNIFTY,EQ,      1062.61,                    55255.72,52
,AYMSYNTEX,EQ,        72.60,                 11954957.55,162117
,BAFNAPHARM,EQ,        28.60,                   474351.90,16899
,BAGFILMS,EQ,         5.40,                   658301.80,119261
,BAJAJCORP,EQ,       492.45,                 44090100.75,89810
,BAJAJELEC,EQ,       666.55,                891296339.50,1300864
,BAJAJHIND,EQ,         8.90,                 27363822.30,3031295
,BAJAJHLDNG,EQ,      2625.65,                 61601058.40,23508
,BALAJITELE,EQ,       133.00,                  9696161.30,72592
,BALAMINES,EQ,       682.70,                 16859690.50,24633
,BALKRISHNA,EQ,        81.40,                  1590750.90,19360
,BALKRISIND,EQ,      1245.50,                671142816.50,535280
,BALLARPUR,EQ,        13.50,                  9833804.15,720029
,BALMLAWRIE,EQ,       218.90,                 11233171.20,51087
,BALPHARMA,EQ,        88.05,                  6316220.95,71415
,BALRAMCHIN,EQ,        69.15,                650877363.20,9340200
,BANARBEADS,EQ,        59.85,                    49054.90,833
,BANARISUG,EQ,      1718.75,                   305136.75,178
,BANCOINDIA,EQ,       240.90,                 54869865.00,225956
,BANDHANBNK,EQ,       489.85,                592435542.60,1200876
,BANG,EQ,        37.35,                   197367.85,5368
,BANKA,SM,        88.00,                   321240.00,3600
,BANKBEES,EQ,      2541.04,                385414110.63,151974
,BANKINDIA,EQ,       101.05,                479945567.75,4717072
,BANSAL,SM,       117.30,                  3628750.00,31000
,BANSWRAS,EQ,       104.50,                   289343.05,2784
,BARTRONICS,EQ,        13.65,                   957929.70,70178
,BASF,EQ,      2049.55,                  7611931.30,3686
,BASML,EQ,       242.00,                   231354.85,948
,BATAINDIA,EQ,       784.10,                688547570.05,868702
,BAYERCROP,EQ,      4690.65,                 29169261.35,6234
,BBL,EQ,      1621.75,                  9161682.65,5603
,BBTC,EQ,      1594.35,                913892461.50,574094
,BCONCEPTS,SM,        55.85,                  1125000.00,21000
,BDL,EQ,       408.60,                 30505174.70,74862
,BEARDSELL,EQ,        53.20,                   109303.30,2054
,BEDMUTHA,EQ,        25.30,                  2805242.05,110856
,BEML,EQ,      1064.80,                443474661.90,416295
,BEPL,EQ,       202.45,                158690396.80,778034
,BERGEPAINT,EQ,       266.60,                107766323.35,404517
,BETA,SM,       138.00,                   220800.00,1600
,BFINVEST,EQ,       299.50,                 11758131.85,38988
,BFUTILITIE,EQ,       400.70,                134289652.15,331134
,BGLOBAL,BE,         4.90,                   141893.90,28961
,BGRENERGY,EQ,       108.50,                  4614145.40,42237
,BHAGERIA,EQ,       347.65,                128040781.25,366815
,BHAGYANGR,EQ,        48.65,                  5035125.65,101687
,BHAGYAPROP,EQ,        26.05,                   800324.65,30328
,BHANDARI,EQ,         3.20,                   729913.95,223774
,BHARATFIN,EQ,      1149.80,               1210413715.20,1052290
,BHARATFORG,EQ,       752.35,                414769558.45,550194
,BHARATGEAR,EQ,       182.20,                  2578057.55,14006
,BHARATIDIL,BZ,         5.20,                    21685.05,4133
,BHARATRAS,EQ,      5304.90,                 10197070.45,1919
,BHARATWIRE,EQ,       117.25,                  5249451.50,44527
,BHUSANSTL,EQ,        28.50,                311392241.15,10757978
,BIGBLOC,EQ,       175.30,                  9018012.90,50829
,BIL,EQ,       411.40,                  2009873.35,4942
,BILENERGY,EQ,          .65,                   191414.25,304633
,BILPOWER,EQ,         1.50,                     3900.00,2600
,BINANIIND,EQ,        93.35,                  5125422.65,54452
,BINDALAGRO,EQ,        28.55,                   720691.55,24823
,BIOCON,EQ,       650.65,               4422603657.60,6757880
,BIOFILCHEM,BE,        14.60,                    12369.25,849
,BIRLACABLE,EQ,        89.15,                  7474474.20,82283
,BIRLACORPN,EQ,       739.30,                 22478832.50,30382
,BIRLAMONEY,BE,        73.00,                  3943485.05,54651
,BKMINDST,EQ,        29.90,                    95765.10,3200
,BLBLIMITED,EQ,         7.70,                     8778.00,1140
,BLISSGVS,EQ,       202.65,                 45592621.05,223581
,BLKASHYAP,EQ,        47.80,                  7578930.85,160026
,BLS,EQ,       155.40,                 26383171.25,166264
,BLUEBLENDS,EQ,        18.10,                  1147969.60,61433
,BLUECHIP,BE,          .25,                     3882.65,14739
,BLUECOAST,EQ,        85.60,                      429.40,5
,BLUEDART,EQ,      3908.10,                 56799403.20,14495
,BLUESTARCO,EQ,       788.05,                402184747.50,504153
,BODALCHEM,EQ,       124.30,                 24552672.30,195486
,BOHRA,SM,        41.50,                    83000.00,2000
,BOMDYEING,EQ,       282.35,                999646783.80,3517533
,BPL,EQ,        83.50,                 28976918.45,345354
,BRFL,EQ,        28.45,                  3121036.20,109269
,BRIGADE,EQ,       259.40,                143610583.25,562813
,BRNL,EQ,       184.20,                  2222773.55,12072
,BROOKS,EQ,       108.05,                146696373.80,1291089
,BSE,EQ,       807.70,                 74901258.15,91893
,BSELINFRA,EQ,         4.25,                    94831.55,22176
,BSL,EQ,        65.45,                   283036.60,4274
,BSLGOLDETF,EQ,      2900.00,                    51959.45,18
,BSLIMITED,BZ,          .90,                   145880.15,179343
,BSLNIFTY,EQ,       105.50,                    16670.40,158
,BURNPUR,BE,         8.30,                   286436.35,34140
,BUTTERFLY,EQ,       507.80,                  6622005.85,13110
,BVCL,BE,        28.15,                    19761.65,701
,BYKE,EQ,       194.35,                 12050397.00,61322
,CALSOFT,EQ,        32.10,                   927983.70,28949
,CAMLINFINE,EQ,       106.95,                 33842327.85,316572
,CANBK,EQ,       258.70,               1665131462.00,6380799
,CANDC,EQ,        51.20,                  2631213.70,50694
,CANFINHOME,EQ,       437.90,                285364430.10,649953
,CANTABIL,BE,       136.65,                  2833736.00,20495
,CAPACITE,EQ,       367.55,                131351581.20,357222
,CAPF,EQ,       631.15,                172414029.25,271877
,CAPLIPOINT,EQ,       600.40,                  6838381.80,11374
,CAPTRUST,EQ,       420.85,                   609407.15,1443
,CARBORUNIV,EQ,       368.60,                  8107664.65,21966
,CAREERP,EQ,       126.50,                  2237123.60,17839
,CARERATING,EQ,      1275.15,                 13677203.30,10688
,CASTEXTECH,EQ,         3.40,                  6306485.90,1846135
,CASTROLIND,EQ,       198.95,                234729599.25,1178671
,CCCL,EQ,         3.95,                   250987.75,63639
,CCHHL,EQ,        12.95,                   648775.10,49737
,CCL,EQ,       296.10,                 20639364.95,70291
,CDSL,EQ,       290.55,                 96127452.85,330119
,CEATLTD,EQ,      1561.10,                865176993.65,551311
,CEBBCO,EQ,        14.80,                   741777.95,49488
,CELEBRITY,EQ,        17.30,                  1221142.90,70989
,CELESTIAL,EQ,        14.25,                   462756.55,32487
,CENTENKA,EQ,       372.00,                 10125778.85,26957
,CENTEXT,EQ,         5.55,                  1110702.55,206017
,CENTRALBK,EQ,        70.05,                 12409591.40,176949
,CENTRUM,EQ,        58.70,                 21028171.80,354548
,CENTUM,EQ,       531.90,                   840760.45,1577
,CENTURYPLY,EQ,       347.25,                 38922553.20,111500
,CENTURYTEX,EQ,      1225.10,                699982416.30,566893
,CERA,EQ,      3108.25,                 60785599.50,19484
,CEREBRAINT,EQ,        68.25,                245913392.70,3584215
,CESC,EQ,      1051.30,                547841256.60,521970
,CGCL,EQ,        93.10,                  3046262.15,32760
,CGPOWER,EQ,        82.35,                 65880818.50,796400
,CHAMBLFERT,EQ,       196.00,                143660992.10,730411
,CHENNPETRO,EQ,       329.95,                114273020.30,343615
,CHOLAFIN,EQ,      1649.65,               1548996145.00,926545
,CHROMATIC,BE,         1.95,                    72168.45,37215
,CIGNITITEC,BE,       237.90,                  2154233.70,9183
,CIMMCO,EQ,        87.00,                 10114661.40,113173
,CINELINE,EQ,        81.60,                 10573086.40,126158
,CINEVISTA,EQ,         9.55,                    86224.35,8865
,CLEDUCATE,EQ,       206.40,                   798370.20,3844
,CLNINDIA,EQ,       549.40,                  5527049.45,10026
,CMICABLES,EQ,       326.50,                147662207.45,467901
,CMMIPL,SM,        55.35,                  1477350.00,27000
,CNOVAPETRO,EQ,        35.45,                    22626.90,647
,COCHINSHIP,EQ,       536.40,                 38660485.55,71677
,COFFEEDAY,EQ,       334.75,                253080486.80,764097
,COMPINFO,EQ,        39.90,                  2138812.60,53336
,COMPUSOFT,EQ,        14.10,                   720531.00,51068
,CONSOFINVT,EQ,        63.45,                   274251.15,4293
,CONTROLPR,EQ,       450.65,                  5090426.70,11326
,CORALFINAC,EQ,        31.30,                   698194.65,22589
,CORDSCABLE,EQ,        91.75,                   931608.80,10068
,COROMANDEL,EQ,       470.45,               1175831309.55,2429620
,CORPBANK,EQ,        29.85,                  3537840.30,118134
,COSMOFILMS,EQ,       274.30,                 11581187.00,41884
,COUNCODOS,EQ,         2.90,                    37660.15,12700
,COX&KINGS,EQ,       235.60,                 10966870.50,46408
,CPSEETF,EQ,        28.21,                 17811009.99,632482
,CREATIVEYE,EQ,         4.00,                     8000.00,2000
,CREST,EQ,       213.85,                  1272283.05,5960
,CRISIL,EQ,      1935.35,                 32918718.20,16915
,CRMFGETF,EQ,      2925.00,                    29225.00,10
,CROMPTON,EQ,       231.90,                186767245.30,805767
,CTE,EQ,        64.00,                   118699.40,1852
