,30-Apr-2018
The Nifty witnessed an intraday movement of about 54.4 points.The closing index was 0.44 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28571.39
, Traded Quantity (in Lakhs), 12300.88
, Number of Trades, 9921677
, Total Market Capitalisation (Rs. Crores), 15092002.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       628.90,                  8061467.90,12813
,AKSHOPTFBR,EQ,        34.65,                 11836022.35,338706
,AKZOINDIA,EQ,      1926.70,                  5155058.70,2681
,ALANKIT,EQ,        41.65,                  1798722.20,43060
,ALBERTDAVD,BE,       376.50,                   691149.30,1836
,ALBK,EQ,        49.10,                136336301.90,2780384
,ALCHEM,BE,         8.75,                    26452.55,3026
,ALEMBICLTD,EQ,        57.35,                  7437589.80,128830
,ALICON,EQ,       637.70,                  2959850.60,4592
,ALKALI,EQ,        78.75,                   551504.70,6942
,ALKEM,EQ,      1976.35,                 24292826.35,12293
,ALKYLAMINE,EQ,       715.30,                  2124975.50,2962
,ALLCARGO,EQ,       139.80,                112357145.90,799091
,ALLSEC,EQ,       380.55,                  3033133.55,7934
,ALMONDZ,EQ,        31.00,                  1166320.50,38513
,ALOKTEXT,EQ,         2.30,                  6092134.20,2648754
,ALPA,EQ,        37.15,                  1771678.15,47270
,ALPHAGEO,EQ,       819.50,                 13904491.15,16926
,ALPSINDUS,BE,         2.70,                    51335.95,18867
,AMARAJABAT,EQ,       861.40,                178897451.45,207878
,AMBER,EQ,      1138.70,                 75090981.40,67163
,AMBIKCO,EQ,      1382.30,                 18769326.05,13531
,AMDIND,BE,        28.80,                   161036.45,5613
,AMJLAND,EQ,        26.95,                   501743.40,18156
,AMJUMBO,SM,        89.75,                  1257000.00,14000
,AMRUTANJAN,EQ,       281.40,                  2253304.15,7951
,AMTEKAUTO,BZ,        14.70,                  1421019.60,96668
,ANANTRAJ,EQ,        47.20,                 28129504.95,594979
,ANDHRABANK,EQ,        39.75,                228201781.10,5773619
,ANDHRACEMT,EQ,        10.90,                  2013130.35,187904
,ANDHRSUGAR,EQ,       396.65,                 18164347.60,45353
,ANGIND,BE,         3.80,                    10807.70,2803
,ANIKINDS,EQ,        41.00,                  1125266.90,27205
,ANSALAPI,EQ,        22.10,                  3341652.05,150426
,ANSALHSG,EQ,        20.55,                   497364.70,23962
,ANTGRAPHIC,BE,          .85,                    21180.00,26350
,APARINDS,EQ,       807.35,                  4487111.80,5673
,APCL,EQ,       189.45,                  1059414.35,5525
,APCOTEXIND,EQ,       594.30,                 33539645.65,56632
,APEX,EQ,       637.15,                 40095857.70,62492
,APLAPOLLO,EQ,      2194.20,                 14849688.90,6753
,APLLTD,EQ,       534.05,                 10524144.20,19797
,APOLLO,EQ,       228.35,                  9514751.40,41270
,APOLLOHOSP,EQ,      1091.00,                130238265.30,119488
,APOLLOTYRE,EQ,       294.35,                521337970.35,1769276
,APOLSINHOT,EQ,      1723.60,                  3698044.85,2152
,APTECHT,EQ,       289.75,                200095945.60,691803
,ARCHIDPLY,EQ,        97.10,                 23090406.40,234754
,ARCHIES,EQ,        40.05,                  8873950.95,221638
,ARCOTECH,EQ,        28.00,                  5875448.05,207576
