,23-Apr-2018
The Nifty witnessed an intraday movement of about 123.4 points.The closing index was 0.2 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32294.16
, Traded Quantity (in Lakhs), 11906.35
, Number of Trades, 10393120
, Total Market Capitalisation (Rs. Crores), 14914986.95

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       607.35,                  2729293.95,4502
,AKSHOPTFBR,EQ,        36.80,                 27883834.55,753049
,AKZOINDIA,EQ,      1917.30,                  8266775.80,4301
,ALANKIT,EQ,        42.85,                  6245309.80,147247
,ALBERTDAVD,BE,       376.50,                   469115.50,1240
,ALBK,EQ,        49.25,                202148311.25,4132139
,ALCHEM,BE,         8.80,                    41713.05,4587
,ALEMBICLTD,EQ,        56.60,                 15917002.55,279043
,ALICON,EQ,       608.25,                   743039.50,1216
,ALKALI,EQ,        87.85,                 11978289.30,135385
,ALKEM,EQ,      1831.70,                 71216141.20,39257
,ALKYLAMINE,EQ,       662.35,                  6441578.30,9850
,ALLCARGO,EQ,       151.25,                 36395185.15,239245
,ALLSEC,EQ,       368.05,                 15255662.65,41013
,ALMONDZ,EQ,        27.55,                   303078.50,11096
,ALOKTEXT,EQ,         2.80,                  6539747.20,2335624
,ALPA,EQ,        40.10,                   735941.80,18314
,ALPHAGEO,EQ,       772.70,                 11967338.75,15341
,ALPSINDUS,BE,         2.95,                   129395.75,43166
,AMARAJABAT,EQ,       860.40,                432179683.45,502976
,AMBER,EQ,      1104.60,                 15332096.05,13953
,AMBIKCO,EQ,      1348.90,                  6137621.45,4532
,AMDIND,BE,        29.50,                    67799.10,2287
,AMJLAND,EQ,        25.75,                   849503.60,32443
,AMJUMBO,SM,        89.00,                  1078000.00,12000
,AMRUTANJAN,EQ,       284.95,                  3265731.05,11359
,AMTEKAUTO,BZ,        18.90,                  2450698.80,129606
,ANANTRAJ,EQ,        48.70,                 23135889.00,472859
,ANDHRABANK,EQ,        39.40,                226313750.85,5811838
,ANDHRACEMT,EQ,        11.40,                  1790942.85,154817
,ANDHRSUGAR,EQ,       443.20,                 10828419.70,24558
,ANGIND,BE,         3.75,                    31386.95,8333
,ANIKINDS,EQ,        42.50,                  4682233.45,109538
,ANSALAPI,EQ,        20.75,                  2118392.95,102109
,ANSALHSG,EQ,        20.40,                   982968.75,47833
,ANTGRAPHIC,BE,          .90,                     8171.00,9257
,APARINDS,EQ,       785.05,                 11845660.35,15049
,APCL,EQ,       199.00,                   236915.55,1193
,APCOTEXIND,EQ,       569.75,                 22426402.05,38822
,APEX,EQ,       671.05,                104674686.50,154073
,APLAPOLLO,EQ,      2158.00,                 15306309.10,7142
,APLLTD,EQ,       505.30,                  9467597.05,18727
,APOLLO,EQ,       242.35,                 17664834.85,72064
,APOLLOHOSP,EQ,      1132.20,                162077317.80,142729
,APOLLOTYRE,EQ,       289.10,                682515342.10,2374803
,APOLSINHOT,EQ,      1514.75,                  4897842.20,3276
,APTECHT,EQ,       292.30,                440651634.05,1490296
,ARCHIDPLY,EQ,        90.05,                  9123323.70,99752
,ARCHIES,EQ,        41.45,                 19920584.05,476572
,ARCOTECH,EQ,        30.15,                 18471870.60,597154
,ARIES,EQ,       203.75,                  5289476.35,25713
,ARIHANTSUP,EQ,       136.30,                  5194809.45,37832
,ARMANFIN,EQ,       428.80,                  5557672.35,13131
,AROGRANITE,EQ,        58.30,                  4859580.95,82176
,ARROWGREEN,EQ,       361.90,                 15048035.80,41350
,ARROWTEX,EQ,        35.65,                   287973.45,7964
,ARSHIYA,EQ,        74.95,                  4136163.55,54882
,ARSSINFRA,BE,        49.20,                   365012.10,7456
,ARVIND,EQ,       425.20,                531766019.55,1251242
,ARVSMART,EQ,       191.65,                  6998829.55,37015
,ASAHIINDIA,EQ,       349.20,                  3489554.80,9950
,ASAHISONG,EQ,       339.20,                  6025832.70,17562
,ASAL,EQ,        79.25,                  1433229.20,17919
,ASHAPURMIN,EQ,        76.60,                  8823568.60,115115
,ASHIANA,EQ,       160.95,                  8847043.65,54823
,ASHIMASYN,EQ,        30.75,                  5272334.60,168707
,ASHOKA,EQ,       265.40,                 16439120.60,61816
,ASIANHOTNR,BE,       319.15,                  1628550.85,5133
,ASIANTILES,EQ,       482.40,                 26626672.70,55151
,ASLIND,SM,        27.00,                   220400.00,8000
,ASPINWALL,EQ,       393.00,                   160658.65,412
,ASSAMCO,EQ,         4.55,                  1757987.10,389243
,ASTEC,EQ,       607.10,                  5736592.55,9455
,ASTERDM,EQ,       166.15,                 10608038.65,63835
,ASTRAL,EQ,       931.65,                 11057216.30,11877
,ASTRAMICRO,EQ,        87.90,                852127846.80,10064104
,ASTRAZEN,EQ,      1014.10,                  4108536.70,4066
,ASTRON,EQ,       124.10,                 18209817.85,146728
,ATFL,EQ,       787.90,                 82600756.15,105373
,ATLANTA,EQ,        79.40,                  6453568.65,80860
,ATLASCYCLE,BE,       166.20,                   593509.30,3566
,ATUL,EQ,      2765.80,                  5478779.60,1988
,ATULAUTO,EQ,       441.85,                  4381341.50,9941
,AUBANK,EQ,       656.80,                 41616632.00,63508
,AURDIS,SM,        30.00,                   600000.00,20000
,AURIONPRO,EQ,       241.05,                 18608191.75,76516
,AUSOMENT,EQ,       107.50,                 83513251.40,787548
,AUSTRAL,BZ,          .15,                     2660.10,17734
,AUTOAXLES,EQ,      1527.10,                 26398045.50,17212
,AUTOIND,EQ,        75.35,                  1339944.90,17768
,AUTOLITIND,EQ,        75.70,                  1669339.15,21768
,AVADHSUGAR,EQ,       384.00,                 15228151.70,39416
,AVANTIFEED,EQ,      2364.80,                996840547.35,411162
,AVG,ST,       120.20,                 11735100.00,98400
,AVTNPL,EQ,        39.65,                  2557417.85,64294
,AXISCADES,EQ,       173.85,                 47511175.00,267239
,AXISGOLD,EQ,      2738.75,                   532930.60,194
,AXISNIFTY,EQ,      1065.29,                    26626.15,25
,AYMSYNTEX,EQ,        70.10,                  7377343.30,108573
,BAFNAPHARM,EQ,        29.15,                   245699.10,8487
,BAGFILMS,EQ,         5.55,                  2181772.40,396778
,BAJAJCORP,EQ,       491.90,                 10213723.80,20726
,BAJAJELEC,EQ,       682.00,                935251290.90,1389590
,BAJAJHIND,EQ,         8.95,                 15563458.05,1734430
,BAJAJHLDNG,EQ,      2602.40,                 18123439.40,6957
,BALAJITELE,EQ,       133.15,                 24409459.75,181111
,BALAMINES,EQ,       680.05,                 15968813.60,23411
,BALKRISHNA,EQ,        84.60,                  1179021.35,13787
,BALKRISIND,EQ,      1281.70,                493244684.30,383275
,BALLARPUR,EQ,        13.70,                 11057610.40,809479
,BALMLAWRIE,EQ,       219.15,                  9820425.85,44608
,BALPHARMA,EQ,        84.20,                  1191796.00,14129
,BALRAMCHIN,EQ,        68.65,                548841732.20,8051648
,BANARBEADS,EQ,        59.65,                    83141.10,1395
,BANARISUG,EQ,      1704.55,                  2800903.40,1627
,BANCOINDIA,EQ,       234.40,                 11310585.10,48440
,BANDHANBNK,EQ,       498.35,               1221379663.25,2474228
,BANG,EQ,        36.80,                   410429.20,11513
,BANKA,SM,        92.30,                   110760.00,1200
,BANKBEES,EQ,      2528.54,                  6734973.44,2660
,BANKINDIA,EQ,       102.50,                931136019.10,9095306
,BANSAL,SM,       118.70,                  2920450.00,25000
,BANSWRAS,EQ,       104.05,                  1271154.95,12215
,BARTRONICS,EQ,        12.45,                  1226217.00,98742
,BASF,EQ,      2067.55,                 11278833.70,5386
,BASML,EQ,       242.50,                   771524.35,3155
,BATAINDIA,EQ,       785.95,                693372086.20,874732
,BAYERCROP,EQ,      4652.65,                 25746605.00,5562
,BBL,EQ,      1641.80,                 13652602.80,8278
,BBTC,EQ,      1554.30,               1438191984.90,908959
,BCONCEPTS,SM,        50.00,                   758700.00,15000
,BDL,EQ,       408.10,                 62825740.35,151209
,BEARDSELL,EQ,        54.30,                    24873.80,458
,BEDMUTHA,EQ,        26.70,                  9708013.30,367317
,BEML,EQ,      1067.70,                326963815.35,304820
,BEPL,EQ,       208.60,                136744139.30,648425
,BERGEPAINT,EQ,       267.95,                 60985813.05,227450
,BETA,SM,       137.00,                  1093760.00,8000
,BFINVEST,EQ,       302.30,                 22394229.75,73220
,BFUTILITIE,EQ,       409.30,                185808952.20,449308
,BGLOBAL,BE,         4.70,                   109809.60,23594
,BGRENERGY,EQ,       109.85,                  6019654.80,54382
,BHAGERIA,EQ,       327.40,                 10410741.20,32113
,BHAGYANGR,EQ,        49.90,                 12803813.90,254104
,BHAGYAPROP,EQ,        26.10,                  2481908.50,95562
,BHANDARI,EQ,         3.35,                   508044.45,153207
,BHARATFIN,EQ,      1159.55,               2082688491.50,1813562
,BHARATFORG,EQ,       759.90,                418048009.45,549829
,BHARATGEAR,EQ,       185.55,                  2804785.30,15083
,BHARATIDIL,BZ,         5.25,                    53993.35,10427
,BHARATRAS,EQ,      5425.40,                 23047601.15,4287
,BHARATWIRE,EQ,       118.70,                  3894801.30,32600
,BHUSANSTL,EQ,        32.65,                222437435.30,6652228
,BIGBLOC,EQ,       177.70,                 11935383.65,66704
,BIL,EQ,       403.70,                  1115003.05,2750
,BILENERGY,EQ,          .65,                   121008.40,188415
,BINANIIND,EQ,        95.30,                  6354333.40,66435
,BINDALAGRO,EQ,        29.40,                  1330046.05,45383
,BIOCON,EQ,       636.00,                969024382.60,1530050
,BIOFILCHEM,BE,        15.00,                    59300.00,4140
,BIRLACABLE,EQ,        93.80,                 12606595.30,131669
,BIRLACORPN,EQ,       743.05,                 19837767.30,26704
,BIRLAMONEY,BE,        72.25,                  2775369.85,38336
,BKMINDST,EQ,        30.20,                   712080.05,23333
,BLBLIMITED,EQ,         8.10,                    49455.20,6063
,BLISSGVS,EQ,       204.25,                 50754799.25,248502
,BLKASHYAP,EQ,        46.70,                  5057853.25,108294
,BLS,EQ,       159.85,                 60944329.85,379931
,BLUEBLENDS,EQ,        19.25,                   338395.85,17747
,BLUECHIP,BE,          .30,                      677.75,2511
,BLUECOAST,EQ,        89.80,                    29572.00,340
,BLUEDART,EQ,      3847.90,                 45046044.80,11711
,BLUESTARCO,EQ,       794.80,                 34903881.25,43733
,BODALCHEM,EQ,       126.90,                 16887842.40,132722
,BOHRA,SM,        40.50,                    81000.00,2000
,BOMDYEING,EQ,       282.95,               1219561702.60,4296581
,BPL,EQ,        84.05,                 27497091.10,324904
,BRFL,EQ,        29.90,                  4943952.40,162406
,BRIGADE,EQ,       249.90,                 13963562.40,54629
,BRNL,EQ,       184.10,                  2326815.35,12559
,BROOKS,EQ,       108.80,                 66409805.10,629220
,BSE,EQ,       813.10,                 48702912.50,59778
,BSELINFRA,EQ,         4.35,                   241084.00,54838
,BSL,EQ,        66.35,                   295938.55,4448
,BSLGOLDETF,EQ,      2954.00,                    17529.00,6
,BSLIMITED,BZ,          .85,                   116173.05,136314
,BSLNIFTY,EQ,       105.01,                    30400.83,289
,BURNPUR,BE,         8.50,                   314675.50,37259
,BUTTERFLY,EQ,       513.10,                 11325679.30,22137
,BVCL,BE,        28.90,                    64428.00,2301
,BYKE,EQ,       194.90,                  6160719.00,31405
,CADSYS,SM,        99.00,                   198000.00,2000
,CALSOFT,EQ,        30.60,                   504063.10,17044
,CAMLINFINE,EQ,       105.15,                 40616022.80,384842
