symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2019-08-13,55372,24911,44.99
ADANIPORTS,EQ,2019-08-13,2576776,1045652,40.58
BEL,EQ,2019-08-13,7439250,2342162,31.48
BOSCHLTD,EQ,2019-08-13,32902,8250,25.07
CUMMINSIND,EQ,2019-08-13,560460,168002,29.98
DIXON,EQ,2019-08-13,35313,12627,35.76
DLF,EQ,2019-08-13,4917578,717369,14.59
DMART,EQ,2019-08-13,802879,334540,41.67
HAL,EQ,2019-08-13,4880,2756,56.48
HINDALCO,EQ,2019-08-13,6836149,1230220,18.00
INDHOTEL,EQ,2019-08-13,635596,454145,71.45
INDIGO,EQ,2019-08-13,858858,180069,20.97
LT,EQ,2019-08-13,3135817,1747618,55.73
MANAPPURAM,EQ,2019-08-13,5587254,1079470,19.32
MARUTI,EQ,2019-08-13,909354,275322,30.28
PGEL,EQ,2019-08-13,232058,63998,27.58
SBIN,EQ,2019-08-13,24231272,9930136,40.98
SBIN,N5,2019-08-13,339,315,92.92
SBIN,N6,2019-08-13,13,13,100.00
SUZLON,EQ,2019-08-13,10989780,4904773,44.63
TRENT,EQ,2019-08-13,128381,78560,61.19
