,24-APR-2012
The Nifty witnessed an intraday movement of about 52 points.The closing index was 0.42 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11852.32
, Traded Quantity (in Lakhs), 5451.69
, Number of Trades, 5256572
, Total Market Capitalisation (Rs. Crores), 6052039.56

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5200.60,      5215.90,      5232.35,      5180.35,      5222.65,22.05
,CNX IT,      5680.15,      5760.20,      5951.15,      5681.60,      5928.40,248.25
,CNX Nifty Junior,     10293.10,     10292.80,     10323.95,     10193.05,     10245.30,-47.8
,S&P CNX Defty,      3432.40,      3427.80,      3440.60,      3396.50,      3428.10,-4.3
,BANK Nifty,     10243.15,     10275.55,     10287.90,     10151.80,     10215.15,-28
,CNX Midcap,      7509.10,      7509.10,      7530.15,      7445.15,      7490.10,-19
,S&P CNX 500,      4154.85,      4163.20,      4172.70,      4135.45,      4164.00,9.15
,CNX 100,      5109.30,      5121.90,      5135.20,      5085.60,      5123.70,14.4
,Nifty Midcap 50,      2248.25,      2246.45,      2259.15,      2226.50,      2231.60,-16.65
,CNX Realty,       228.85,       228.50,       230.65,       226.95,       229.35,.5
,CNX Infra,      2397.55,      2393.10,      2393.10,      2364.10,      2379.45,-18.1
,CNX Energy,      7470.15,      7477.50,      7494.75,      7395.15,      7482.45,12.3
,CNX FMCG,     12057.85,     12073.50,     12122.55,     11861.70,     12098.30,40.45
,CNX MNC,      5234.45,      5237.05,      5249.80,      5207.35,      5232.95,-1.5
,CNX Pharma,      5177.70,      5188.55,      5191.75,      5141.10,      5149.05,-28.65
,CNX PSE,      2877.55,      2878.75,      2902.30,      2866.40,      2883.90,6.35
,CNX PSU Bank,      3385.45,      3387.55,      3419.70,      3367.35,      3391.55,6.1
,CNX Service,      6166.70,      6195.10,      6241.65,      6143.45,      6227.10,60.4
,India VIX,        21.57,        21.57,        21.57,        19.13,        19.25,-2.32
,CNX AUTO,      4396.30,      4388.95,      4404.30,      4359.50,      4395.65,-.65
,CNX Metal,      2941.00,      2948.30,      2972.20,      2920.65,      2962.45,21.45
,CNX Media,      1192.10,      1192.35,      1202.50,      1180.90,      1191.95,-.15
,CNX Smallcap,      3429.55,      3429.50,      3436.15,      3401.80,      3430.45,.9
,CNX 200,      2642.40,      2648.25,      2655.10,      2629.65,      2649.00,6.6
,CNX Dividend Oppt,      1542.30,      1541.25,      1546.25,      1536.05,      1543.40,1.1
,CNX Commodities,      2399.85,      2402.25,      2410.25,      2382.85,      2398.50,-1.35
,CNX Consumption,      1932.40,      1928.55,      1934.40,      1912.35,      1932.20,-.2
,CNX Finance,      4167.20,      4178.75,      4185.05,      4136.40,      4155.35,-11.85
,Nifty Dividend,          .16,          .16,          .16,          .16,          .16,0

,ADVANCES,658
,DECLINES,795
,UNCHANGED,88

,Total securities that have hit their price bands today,80

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      2310.90,      2349.55,1.67,1524.33
,TCS,EQ,      1064.25,      1194.20,12.21,1060.99
,GOLDBEES,EQ,      2755.10,      2765.15,0.36,426.37
,BHARTIARTL,EQ,       312.50,       307.35,-1.65,416.25
,SBIN,EQ,      2193.20,      2190.70,-0.11,387.44
,LT,EQ,      1253.80,      1218.55,-2.81,349.16
,AXISBANK,EQ,      1134.45,      1113.90,-1.81,284.31
,RELIANCE,EQ,       736.30,       735.10,-0.16,278.55
,ICICIBANK,EQ,       843.90,       847.80,0.46,274.67
,TATAMOTORS,EQ,       309.75,       311.85,0.68,192
,IDEA,EQ,        83.40,        79.90,-4.2,166.57
,JINDALSTEL,EQ,       484.55,       479.65,-1.01,156.33
,ITC,EQ,       244.75,       245.05,0.12,152.28
,JSWSTEEL,EQ,       709.85,       694.35,-2.18,137.88
,MCDOWELL-N,EQ,       695.45,       677.20,-2.62,137.46
,JPASSOCIAT,EQ,        75.30,        74.60,-0.93,127.49
,RELCAPITAL,EQ,       325.75,       327.15,0.43,123.16
,HDIL,EQ,        82.55,        82.20,-0.42,121.3
,HDFCBANK,EQ,       545.35,       541.85,-0.64,118.78
,M&M,EQ,       714.60,       716.75,0.3,112.89
,TATASTEEL,EQ,       462.85,       470.25,1.6,109.33
,DLF,EQ,       189.05,       186.30,-1.45,103.97
,HCLTECH,EQ,       495.55,       510.20,2.96,96.92
,BHEL,EQ,       235.65,       237.05,0.59,96.53
,RELINFRA,EQ,       527.60,       534.55,1.32,96.36

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      1194.20,      1064.25,12.21
,WIPRO,EQ,       442.00,       424.15,4.21
,SAIL,EQ,       100.50,        96.60,4.04
,TATAPOWER,EQ,       104.95,       101.85,3.04
,HCLTECH,EQ,       510.20,       495.55,2.96

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       150.55,       157.85,-4.62
,LT,EQ,      1218.55,      1253.80,-2.81
,ACC,EQ,      1214.10,      1243.45,-2.36
,KOTAKBANK,EQ,       569.65,       580.95,-1.95
,AXISBANK,EQ,      1113.90,      1134.45,-1.81

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        90.30,                 59102310.00,665361
,3IINFOTECH,EQ,        14.70,                  9203980.80,622926
,3MINDIA,EQ,      4007.65,                  1361912.80,343
,A2ZMES,EQ,       104.95,                 32411289.20,311091
,AANJANEYA,EQ,       600.10,                 16799899.50,27635
,AARTIDRUGS,EQ,       112.90,                   940237.10,8258
,AARTIIND,EQ,        68.80,                  1056549.35,15381
,AARVEEDEN,EQ,        34.75,                    22102.00,633
,ABAN,EQ,       419.60,                233885645.25,557448
,ABB,EQ,       805.10,                 32796464.35,40791
,ABBOTINDIA,EQ,      1683.95,                  2718900.85,1608
,ABCIL,EQ,        83.00,                   283359.00,3431
,ABGSHIP,EQ,       393.80,                 10238553.20,26036
,ABHISHEK,EQ,         7.35,                     9374.20,1288
,ACE,EQ,        32.25,                   769862.10,23642
,ACROPETAL,EQ,        14.00,                   217540.50,15575
,ADANIPOWER,EQ,        66.45,                207275273.75,3090780
,ADFFOODS,EQ,        46.10,                   183864.35,3953
,ADHUNIK,EQ,        43.75,                  1595396.00,36554
,ADORWELD,EQ,       134.95,                   126255.55,932
,ADSL,EQ,        27.55,                  2055588.05,73910
,ADVANTA,EQ,       439.50,                 13925583.45,31352
,AEGISCHEM,EQ,       154.25,                  2721499.80,17650
,AFL,EQ,        35.00,                    67809.05,1936
,AFTEK,EQ,        11.00,                  2299817.25,207874
,AGCNET,EQ,       185.00,                   140793.20,764
,AGRODUTCH,EQ,         5.00,                     1545.15,309
,AHLEAST,EQ,       282.00,                    19738.50,70
,AHLUCONT,EQ,        63.00,                   215165.15,3407
,AHLWEST,EQ,       134.00,                    16351.25,125
,AHMEDFORGE,EQ,       169.85,                  1710277.95,9970
,AIAENG,EQ,       353.90,                  1123904.10,3135
,AJANTPHARM,EQ,       564.55,                 14971013.60,26822
,AJMERA,EQ,       113.05,                   502442.40,4436
,AKZOINDIA,EQ,       833.60,                  2075025.50,2486
,ALBK,EQ,       181.40,                179429071.50,1003114
,ALCHEM,EQ,        66.80,                   541490.60,8088
,ALEMBICLTD,EQ,        16.30,                   478818.30,29393
,ALICON,EQ,        65.95,                     7109.50,112
,ALKALI,EQ,        30.00,                    49168.80,1656
,ALKYLAMINE,EQ,        94.00,                     7320.00,80
,ALLCARGO,EQ,       122.55,                   819729.90,6636
,ALLSEC,EQ,        12.10,                   146301.50,12212
,ALMONDZ,EQ,        11.25,                      191.25,17
,ALOKTEXT,EQ,        19.30,                 35209588.00,1826906
,ALPA,EQ,         9.10,                    10838.35,1198
,ALPHAGEO,EQ,        56.90,                    84294.60,1463
,ALPSINDUS,EQ,         2.10,                    55979.35,26059
,ALSTOMT&D,EQ,       156.20,                 14106169.60,89584
,AMAR,EQ,       149.05,                 30231681.95,203508
,AMARAJABAT,EQ,       305.35,                  2038809.50,6675
,AMARJOTHI,EQ,        42.25,                    12121.30,300
,AMBIKCO,EQ,       144.95,                   220269.15,1508
,AMDIND,EQ,        14.95,                    16846.20,1125
,AMLSTEEL,EQ,        10.25,                    26794.00,2596
,AMRUTANJAN,EQ,       784.45,                 20055233.90,25553
,AMTEKAUTO,EQ,       127.25,                  1825584.45,14389
,AMTEKINDIA,EQ,       108.55,                 20916701.95,191029
,ANANTRAJ,EQ,        55.95,                  7406217.25,131360
,ANDHRACEMT,EQ,         9.35,                    45761.85,4930
,ANDHRSUGAR,EQ,       139.50,                  6106077.75,43354
,ANIKINDS,EQ,        32.75,                   758091.70,22520
,ANKURDRUGS,EQ,        14.80,                   137064.25,9241
,ANSALAPI,EQ,        32.90,                   949894.15,28704
,ANSALHSG,EQ,        45.20,                   582839.10,12978
,ANTGRAPHIC,EQ,          .20,                     3091.15,13463
,APARINDS,EQ,       151.70,                   162272.55,1081
,APCOTEXIND,EQ,       142.90,                    48637.00,340
,APIL,EQ,       395.70,                247010185.05,631338
,APLAB,EQ,        25.85,                      103.40,4
