symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2015-01-05,1288.30,1288.00,0.0002,0.0276,,0.5120
ADANIPORTS,2015-01-05,323.80,319.35,0.0138,0.0262,,0.4891
BEL,2015-01-05,2869.40,2924.65,-0.0191,0.0286,,0.5368
BOSCHLTD,2015-01-05,19736.05,19539.85,0.0100,0.0200,,0.3725
CUMMINSIND,2015-01-05,937.90,919.25,0.0201,0.0204,,0.3897
DLF,2015-01-05,135.80,139.20,-0.0247,0.0299,,0.5655
HINDALCO,2015-01-05,156.85,160.10,-0.0205,0.0220,,0.4184
INDHOTEL,2015-01-05,120.65,120.90,-0.0021,0.0186,,0.3439
LT,2015-01-05,1556.00,1534.65,0.0138,0.0132,,0.2522
MANAPPURAM,2015-01-05,34.80,34.75,0.0014,0.0314,,0.5808
MARUTI,2015-01-05,3447.80,3359.60,0.0259,0.0112,,0.2407
PGEL,2015-01-05,70.75,70.75,0.0000,0.0425,,0.7871
SBIN,2015-01-05,312.75,315.25,-0.0080,0.0159,,0.2961
SUZLON,2015-01-05,14.85,14.85,0.0000,0.0395,,0.7317
TRENT,2015-01-05,1471.55,1469.85,0.0012,0.0193,,0.3573
