,03-Sep-2019
The Nifty witnessed an intraday movement of about 194.8 points.The closing index was 2.04 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28202.73
, Traded Quantity (in Lakhs), 13796.94
, Number of Trades, 10610928
, Total Market Capitalisation (Rs. Crores), 13721895.4

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALEMBICLTD,BE,        36.95,                   880977.35,23902
,ALICON,EQ,       382.00,                   111830.00,288
,ALKALI,EQ,        40.25,                    94498.15,2332
,ALKEM,EQ,      1840.40,                 23914916.35,13114
,ALKYLAMINE,EQ,       754.15,                  1583560.05,2106
,ALLCARGO,EQ,        89.25,                  2673904.60,29942
,ALLSEC,EQ,       266.30,                   747414.65,2814
,ALMONDZ,EQ,        10.00,                     3247.15,338
,ALOKTEXT,EQ,         2.50,                  8028315.25,3153047
,ALPA,EQ,        14.25,                   115893.35,7975
,ALPHAGEO,EQ,       205.15,                  1581547.10,7677
,ALPSINDUS,BE,          .50,                     1385.15,3077
,AMARAJABAT,EQ,       619.80,                591865401.25,967750
,AMBER,EQ,       822.75,                  5869290.30,7105
,AMBIKCO,EQ,       864.65,                  2792569.75,3238
,AMDIND,EQ,        16.25,                   114836.50,7025
,AMJLAND,EQ,        16.55,                    86308.55,5214
,AMJUMBO,SM,         8.15,                   326800.00,40000
,AMRUTANJAN,EQ,       299.20,                  4512568.50,15218
,ANANTRAJ,EQ,        32.20,                 19116346.60,598899
,ANDHRABANK,EQ,        19.90,                 43676373.05,2170495
,ANDHRACEMT,EQ,         2.60,                    42429.40,16319
,ANDHRSUGAR,EQ,       285.50,                  6141595.50,21423
,ANIKINDS,EQ,         7.85,                     8123.60,1019
,ANKITMETAL,BE,          .40,                      745.65,1839
,ANSALAPI,EQ,         4.10,                   104127.85,25626
,ANSALHSG,EQ,         4.50,                    92691.90,20362
,ANTGRAPHIC,BE,          .85,                    42994.10,51453
,ANUP,EQ,       393.60,                  4200721.95,10434
,APARINDS,EQ,       519.40,                  6052797.05,11678
,APCL,EQ,       140.15,                   286001.65,2037
,APCOTEXIND,EQ,       198.30,                  1571602.10,7809
,APEX,EQ,       198.85,                  4994892.10,24917
,APLAPOLLO,EQ,      1281.95,                  8444135.15,6537
,APLLTD,EQ,       493.70,                  5634955.25,11401
,APOLLO,EQ,        71.70,                   424805.40,5855
,APOLLOHOSP,EQ,      1493.45,                451678671.05,301790
,APOLLOTYRE,EQ,       170.25,                607780991.85,3516636
,APOLSINHOT,EQ,       838.10,                  2327516.25,2729
,APTECHT,EQ,       123.30,                 13219354.90,106019
,ARCHIDPLY,EQ,        24.45,                    62634.65,2555
,ARCHIES,EQ,        17.05,                   488820.90,29101
,ARCOTECH,EQ,         2.00,                   109077.40,54040
,ARIES,EQ,        51.10,                   581525.35,11401
,ARIHANT,EQ,        15.40,                    15721.50,1027
,ARIHANTSUP,EQ,        31.60,                    95852.25,2962
,ARMANFIN,EQ,       372.45,                   492751.35,1343
,AROGRANITE,EQ,        40.60,                   459480.30,11248
,ARROWGREEN,BE,        52.90,                   254753.60,4872
,ARROWTEX,EQ,        10.40,                    88808.80,8615
,ARSHIYA,EQ,        18.30,                   289914.75,15513
,ARSSINFRA,EQ,        21.00,                   126423.70,6048
,ARTEDZ,SM,        28.25,                    84750.00,3000
,ARVIND,EQ,        46.75,                201241261.85,4233962
,ARVINDFASN,EQ,       467.20,                 19788113.40,42517
,ARVSMART,EQ,        88.40,                   474102.45,5403
,ASAHIINDIA,EQ,       178.35,                   598641.60,3328
,ASAHISONG,EQ,       116.80,                   317697.75,2676
,ASAL,EQ,        30.00,                    57617.10,1907
,ASHAPURMIN,BE,        24.85,                   513710.80,20544
,ASHIANA,EQ,       108.00,                  2151609.65,19865
,ASHIMASYN,EQ,         7.15,                    21038.95,2950
,ASHOKA,EQ,        96.00,                 58079672.80,603020
,ASIANHOTNR,EQ,       103.00,                     7562.40,75
,ASIANTILES,EQ,       214.05,                 19919397.10,92917
,ASPINWALL,EQ,       139.85,                    92179.55,671
,ASSAMCO,BE,          .95,                   156080.40,162032
,ASTEC,EQ,       365.15,                  1586396.05,4299
,ASTERDM,EQ,       119.05,                 11311741.45,95038
,ASTRAL,EQ,      1300.10,                 40910420.55,31420
,ASTRAMICRO,EQ,        75.80,                  1242185.15,16479
,ASTRAZEN,EQ,      1846.40,                  7259782.60,3886
,ASTRON,EQ,        93.40,                 33537629.05,361934
,ATFL,EQ,       489.90,                  1526464.40,3093
,ATLANTA,EQ,         6.65,                   113908.30,17064
,ATLASCYCLE,BE,        39.75,                    29173.65,757
,ATNINTER,BE,          .15,                     1164.35,11574
,ATUL,EQ,      3489.85,                 41987682.00,11923
,ATULAUTO,EQ,       205.90,                  2388719.90,11552
,AUBANK,EQ,       666.85,                151644850.10,225570
,AURDIS,SM,        30.45,                    60900.00,2000
,AURIONPRO,EQ,        84.95,                  1818287.95,20613
,AUSOMENT,EQ,        29.40,                    34390.90,1115
,AUTOAXLES,EQ,       785.85,                  2655786.75,3360
,AUTOIND,EQ,        32.75,                    58966.40,1810
,AUTOLITIND,EQ,        21.05,                    14639.75,715
,AVADHSUGAR,EQ,       212.85,                  8307634.90,38656
,AVANTIFEED,EQ,       312.75,                 54362082.85,173616
,AVG,SM,        94.00,                   112800.00,1200
,AVTNPL,EQ,        20.95,                   261694.60,12448
,AXISCADES,EQ,        63.65,                  7114166.60,112397
,AXISGOLD,EQ,      3429.60,                  6637862.05,1937
,AXISNIFTY,EQ,      1115.00,                   128841.07,114
,AYMSYNTEX,EQ,        31.70,                   192668.45,6077
,BAGFILMS,EQ,         2.35,                  2846176.90,1122005
,BAJAJCON,EQ,       251.00,                  8705545.05,34567
,BAJAJELEC,EQ,       374.60,                 11879850.60,31335
,BAJAJHIND,EQ,         5.40,                  3429563.55,629245
,BALAJITELE,EQ,        53.65,                  1869990.90,34301
,BALAMINES,EQ,       243.85,                  1795211.05,7332
,BALAXI,BE,        91.40,                    25375.15,292
,BALKRISHNA,EQ,        17.60,                    49009.90,2746
,BALKRISIND,EQ,       729.80,                114820354.45,156133
,BALLARPUR,EQ,          .70,                   208384.40,297692
,BALMLAWRIE,EQ,       174.00,                 19212986.20,110203
,BALPHARMA,EQ,        38.85,                   331824.05,8581
,BALRAMCHIN,EQ,       132.15,                182654917.20,1377706
,BANARBEADS,EQ,        41.00,                    24648.45,604
,BANARISUG,EQ,      1129.70,                   856860.90,742
,BANCOINDIA,EQ,        93.90,                  3217890.70,32967
,BANG,EQ,        30.60,                   612992.50,21124
,BANKBEES,EQ,      2734.25,                 59585689.63,21672
,BANKINDIA,EQ,        62.85,                471106352.40,7387096
,BANSAL,SM,         2.65,                     7950.00,3000
,BANSWRAS,EQ,        65.45,                   255691.10,3958
,BARTRONICS,EQ,         2.55,                    15923.15,6185
,BASF,EQ,      1000.85,                 15517883.90,15319
,BASML,EQ,       113.25,                    28413.55,247
,BATAINDIA,EQ,      1538.75,               1468588615.55,950405
,BAYERCROP,EQ,      3102.20,                  4406602.20,1414
,BBL,EQ,       864.25,                  1123413.95,1290
,BBTC,EQ,       874.10,                167834019.40,186996
,BBTCL,SM,        30.00,                   178500.00,6000
,BCG,EQ,         3.35,                  1103247.55,333533
,BCP,EQ,         9.95,                  9791682.75,984387
,BDL,EQ,       272.80,                  4332851.00,15729
,BEARDSELL,EQ,        11.70,                    13776.15,1175
,BEDMUTHA,EQ,        12.00,                    21241.70,1767
,BEL,EQ,       100.85,                692880356.85,6810933
,BEML,EQ,       765.90,                283379178.65,365814
,BEPL,EQ,        52.55,                  7726508.00,147960
,BERGEPAINT,EQ,       362.75,                182314443.90,497568
,BETA,SM,        73.60,                    58880.00,800
,BFINVEST,EQ,       262.35,                  6162038.10,23479
,BFUTILITIE,EQ,       157.45,                 31514534.95,197863
,BGLOBAL,BE,         1.05,                     3628.85,3619
,BGRENERGY,EQ,        33.45,                  3591876.25,105989
,BHAGERIA,EQ,       103.10,                   232919.65,2247
,BHAGYANGR,EQ,        19.50,                    30929.70,1606
,BHAGYAPROP,EQ,        21.00,                    25116.00,1196
,BHANDARI,EQ,         1.35,                   223534.80,161269
,BHARATFORG,EQ,       382.00,                387749667.90,1013168
,BHARATGEAR,EQ,        62.25,                  3520089.95,56065
,BHARATRAS,EQ,      4807.75,                  2614134.10,542
,BHARATWIRE,EQ,        29.45,                    22351.55,755
,BIGBLOC,EQ,        22.90,                     6664.30,288
,BIL,BE,       212.00,                     6477.15,31
,BILENERGY,EQ,         1.40,                    30151.80,21537
,BINANIIND,BE,        11.45,                    46104.60,3944
,BINDALAGRO,EQ,         8.20,                   131201.50,16016
,BIOFILCHEM,BE,         4.75,                     7258.00,1543
,BIRLACABLE,EQ,        42.45,                  1191241.45,27758
,BIRLACORPN,EQ,       543.70,                 25720883.10,47721
,BIRLAMONEY,EQ,        31.60,                  1070922.10,34114
,BKMINDST,EQ,         1.30,                     8866.00,6820
,BLBLIMITED,BE,         3.50,                     4649.90,1361
,BLISSGVS,EQ,       105.70,                  4975348.80,47096
,BLKASHYAP,EQ,         9.65,                   235206.25,24145
,BLS,EQ,        80.20,                  1346558.40,16755
,BLUEBLENDS,BE,         1.50,                      193.50,129
,BLUECOAST,BE,         3.05,                     3540.10,1240
,BLUEDART,EQ,      2229.65,                  1755101.60,784
,BLUEDART,N3,        10.06,                      754.50,75
,BLUESTARCO,EQ,       709.55,                 20743824.70,29131
,BODALCHEM,EQ,        70.60,                  2536596.10,36276
,BOMDYEING,EQ,        82.90,                130242400.20,1560812
,BOROSIL,EQ,       131.25,                  2130141.05,16174
,BPL,EQ,        15.45,                   396740.45,25602
,BRFL,EQ,         4.90,                   100464.20,20402
,BRIGADE,EQ,       197.80,                 26756254.65,134476
,BRIGHT,SM,         8.50,                    52950.00,6000
,BRNL,EQ,        69.15,                   130018.25,1892
,BROOKS,EQ,        33.50,                   407989.60,12158
,BSE,EQ,       530.85,                 38795461.05,72602
,BSELINFRA,EQ,         1.00,                    25726.15,24280
,BSHSL,SM,       128.00,                   128000.00,1000
,BSL,EQ,        26.15,                    50438.40,1938
,BSLGOLDETF,EQ,      3602.00,                   798512.80,222
,BSLNIFTY,EQ,       117.60,                    25513.02,215
,BSOFT,EQ,        66.50,                 23953749.25,361457
,BURNPUR,BE,         1.50,                     1938.00,1292
,BUTTERFLY,EQ,       143.00,                  2518561.95,17572
,BYKE,EQ,        16.90,                   127523.70,7639
,CADSYS,SM,        44.00,                    88000.00,2000
,CALSOFT,EQ,        12.40,                   181040.00,14600
,CAMLINFINE,EQ,        54.40,                  2301233.00,42077
,CANBK,EQ,       197.00,               4440080419.80,21756194
,CANFINHOME,EQ,       404.10,                 73786076.25,181557
,CANTABIL,EQ,       215.90,                  2445053.95,11229
,CAPACITE,EQ,       199.30,                  3761433.50,18709
,CAPLIPOINT,EQ,       424.10,                  7344126.45,17302
,CAPTRUST,BE,        84.00,                   126279.40,1513
,CARBORUNIV,EQ,       282.80,                 35866752.45,126755
,CAREERP,EQ,        72.90,                   653175.20,8922
,CARERATING,EQ,       540.40,                 15604921.85,28946
,CASTEXTECH,EQ,          .50,                    71278.05,139720
,CASTROLIND,EQ,       120.10,                 43363704.50,358926
,CCCL,BZ,          .85,                    51000.00,60000
,CCHHL,EQ,         3.80,                    51520.05,13419
,CCL,EQ,       232.90,                 10412031.80,44723
,CDSL,EQ,       192.50,                 21383771.05,109700
,CEATLTD,EQ,       900.40,                 47099253.75,52375
,CEBBCO,EQ,        13.65,                     6522.65,477
,CELEBRITY,EQ,         7.20,                    32191.05,4491
,CELESTIAL,EQ,         3.00,                    55246.90,18252
,CENTENKA,EQ,       180.95,                  2135502.05,11732
,CENTEXT,EQ,         2.75,                   137198.50,49462
,CENTRALBK,EQ,        18.85,                 18403298.55,961331
,CENTRUM,EQ,        25.15,                  5876745.90,228778
,CENTUM,EQ,       358.15,                  1118943.70,3091
,CENTURYPLY,EQ,       134.65,                  7997823.20,59577
