,17-Sep-2019
The Nifty witnessed an intraday movement of about 203.6 points.The closing index was 1.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31566.07
, Traded Quantity (in Lakhs), 17015.01
, Number of Trades, 12671923
, Total Market Capitalisation (Rs. Crores), 13848401

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        22.50,                 10033750.20,440255
,ALBERTDAVD,EQ,       362.40,                  2782142.55,7460
,ALBK,EQ,        32.55,                 20878460.25,636105
,ALCHEM,BE,         1.05,                     2139.75,1970
,ALEMBICLTD,EQ,        47.00,                  6742075.00,144566
,ALICON,EQ,       365.85,                   220910.30,596
,ALKALI,EQ,        48.75,                  5733006.70,112544
,ALKEM,EQ,      1838.70,                194871206.25,104387
,ALKYLAMINE,EQ,       786.20,                  1967456.75,2487
,ALLCARGO,EQ,       101.10,                 15350685.80,149175
,ALLSEC,EQ,       302.50,                   620699.05,2080
,ALMONDZ,EQ,         9.85,                    15887.20,1542
,ALOKTEXT,EQ,         2.10,                 15825902.50,7476813
,ALPA,EQ,        15.55,                   190525.05,12097
,ALPHAGEO,EQ,       239.90,                  7194419.20,29321
,ALPSINDUS,BE,          .35,                    13471.70,34148
,AMARAJABAT,EQ,       631.45,                217231168.15,337132
,AMBER,EQ,       822.80,                  5576782.25,6747
,AMBIKCO,EQ,       937.25,                  2768618.65,2932
,AMDIND,EQ,        17.15,                   150464.15,8518
,AMJLAND,EQ,        18.50,                    36740.05,1969
,AMRUTANJAN,EQ,       306.35,                 50167622.75,154503
,ANANTRAJ,EQ,        35.45,                 15793182.80,442899
,ANDHRABANK,EQ,        19.00,                 30301966.20,1561509
,ANDHRACEMT,BE,         3.75,                   189660.00,50576
,ANDHRSUGAR,EQ,       297.85,                 15670280.05,50765
,ANIKINDS,EQ,         7.90,                    14700.40,1886
,ANKITMETAL,BE,          .50,                     9916.00,21953
,ANSALAPI,EQ,         5.10,                   714813.50,134447
,ANSALHSG,EQ,         5.95,                   473385.55,76849
,ANTGRAPHIC,BE,          .80,                    38791.40,51208
,ANUP,EQ,       396.30,                 10290871.85,25593
,APARINDS,EQ,       549.35,                  1675771.60,3041
,APCL,EQ,       144.10,                  1408098.95,9548
,APCOTEXIND,EQ,       197.25,                  1244779.95,6246
,APEX,EQ,       240.00,                 25101272.55,100960
,APLAPOLLO,EQ,      1281.60,                 16015640.55,12403
,APLLTD,EQ,       495.05,                 20458196.05,40820
,APOLLO,EQ,        86.50,                  1663196.05,18746
,APOLLOHOSP,EQ,      1415.05,                861006714.35,605036
,APOLLOTYRE,EQ,       177.75,                554583024.55,3102533
,APOLSINHOT,EQ,       816.55,                  1082124.85,1319
,APTECHT,EQ,       139.10,                 36135467.80,251711
,ARCHIDPLY,EQ,        29.20,                   441400.60,14729
,ARCHIES,EQ,        21.60,                  7510024.05,343957
