symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2018-08-23,1329.30,1270.15,0.0455,0.0148,,0.3477
ADANIPORTS,2018-08-23,384.50,377.95,0.0172,0.0169,,0.3229
BEL,2018-08-23,116.20,118.60,-0.0204,0.0284,,0.5349
BOSCHLTD,2018-08-23,18863.85,18890.85,-0.0014,0.0133,,0.2465
CUMMINSIND,2018-08-23,770.10,752.15,0.0236,0.0260,,0.4948
DIXON,2018-08-23,2510.45,2508.35,0.0008,0.0254,,0.4700
DLF,2018-08-23,211.90,208.20,0.0176,0.0275,,0.5158
DMART,2018-08-23,1554.85,1587.50,-0.0208,0.0154,,0.3019
HAL,2018-08-23,909.35,914.10,-0.0052,0.0263,,0.4872
HINDALCO,2018-08-23,221.05,226.40,-0.0239,0.0225,,0.4318
INDHOTEL,2018-08-23,126.45,129.25,-0.0219,0.0169,,0.3286
INDIGO,2018-08-23,1054.00,1075.35,-0.0201,0.0269,,0.5063
LT,2018-08-23,1352.05,1322.55,0.0221,0.0189,,0.3649
MANAPPURAM,2018-08-23,100.20,102.40,-0.0217,0.0197,,0.3783
MARUTI,2018-08-23,9223.30,9113.30,0.0120,0.0127,,0.2426
PGEL,2018-08-23,170.40,175.60,-0.0301,0.0283,,0.5426
SBIN,2018-08-23,302.45,307.00,-0.0149,0.0215,,0.4050
SUZLON,2018-08-23,7.15,7.25,-0.0139,0.0308,,0.5751
TRENT,2018-08-23,365.95,372.20,-0.0169,0.0192,,0.3649
