symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2016-06-16,1231.90,1239.10,-0.0058,0.0154,,0.2866
ADANIPORTS,2016-06-16,208.50,207.00,0.0072,0.0247,,0.4585
BEL,2016-06-16,1269.30,1259.55,0.0077,0.0214,,0.3974
BOSCHLTD,2016-06-16,21830.05,21881.55,-0.0024,0.0142,,0.2636
CUMMINSIND,2016-06-16,800.25,800.30,-0.0001,0.0165,,0.3057
DLF,2016-06-16,130.90,132.70,-0.0137,0.0211,,0.3955
HINDALCO,2016-06-16,119.05,115.75,0.0281,0.0287,,0.5483
INDHOTEL,2016-06-16,130.10,127.60,0.0194,0.0172,,0.3305
INDIGO,2016-06-16,1012.80,1011.40,0.0014,0.0215,,0.3974
LT,2016-06-16,1494.20,1513.80,-0.0130,0.0265,,0.4948
MANAPPURAM,2016-06-16,58.90,57.60,0.0223,0.0348,,0.6534
MARUTI,2016-06-16,4084.10,4209.60,-0.0303,0.0144,,0.3019
PGEL,2016-06-16,109.10,111.20,-0.0191,0.0215,,0.4088
SBIN,2016-06-16,216.00,216.05,-0.0002,0.0277,,0.5139
SUZLON,2016-06-16,17.80,18.15,-0.0195,0.0278,,0.5235
TRENT,2016-06-16,1696.10,1687.15,0.0053,0.0177,,0.3286
