symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2019-05-30,1574.30,1587.90,-0.0086,0.0246,,0.4566
ADANIPORTS,2019-05-30,409.30,406.55,0.0067,0.0264,,0.4891
BEL,2019-05-30,113.40,112.20,0.0106,0.0308,,0.5731
BOSCHLTD,2019-05-30,17213.20,17017.65,0.0114,0.0130,,0.2465
CUMMINSIND,2019-05-30,763.15,766.10,-0.0039,0.0271,,0.5025
DIXON,2019-05-30,2468.85,2440.95,0.0114,0.0175,,0.3286
DLF,2019-05-30,194.70,193.70,0.0051,0.0273,,0.5063
DMART,2019-05-30,1303.90,1307.05,-0.0024,0.0229,,0.4241
HAL,2019-05-30,718.45,716.50,0.0027,0.0159,,0.2942
HINDALCO,2019-05-30,198.55,199.30,-0.0038,0.0188,,0.3496
INDHOTEL,2019-05-30,151.60,149.55,0.0136,0.0149,,0.2828
INDIGO,2019-05-30,1644.05,1640.45,0.0022,0.0281,,0.5197
LT,2019-05-30,1558.60,1552.45,0.0040,0.0208,,0.3859
MANAPPURAM,2019-05-30,135.90,131.40,0.0337,0.0259,,0.5044
MARUTI,2019-05-30,6867.70,6891.45,-0.0035,0.0186,,0.3458
PGEL,2019-05-30,71.50,72.50,-0.0139,0.0406,,0.7546
SBIN,2019-05-30,353.55,348.65,0.0140,0.0231,,0.4337
SUZLON,2019-05-30,5.75,5.40,0.0628,0.0544,,1.0489
TRENT,2019-05-30,383.30,377.15,0.0162,0.0185,,0.3515
