,29-Nov-2019
The Nifty witnessed an intraday movement of about 130 points.The closing index was 0.78 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43640.3
, Traded Quantity (in Lakhs), 26706.05
, Number of Trades, 13984854
, Total Market Capitalisation (Rs. Crores), 15315478.43

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12151.15,     12146.20,     12147.40,     12017.40,     12056.05,-95.1
,NIFTY50 EQL Wgt,     12530.60,     12525.70,     12569.20,     12403.85,     12426.90,-103.7
,NIFTY100 EQL Wgt,     13555.05,     13561.70,     13617.80,     13423.65,     13452.00,-103.05
,NIFTY100 LowVol30,      8949.70,      8951.70,      8954.60,      8856.90,      8884.90,-64.8
,NIFTY Alpha 50,     12768.60,     12765.25,     12818.25,     12716.85,     12771.40,2.8
,NIFTY MIDCAP 150,      6307.55,      6314.80,      6351.75,      6291.20,      6321.65,14.1
,NIFTY SMLCAP 50,      2767.95,      2776.15,      2803.95,      2773.40,      2795.10,27.15
,NIFTY SMLCAP 250,      4797.05,      4810.15,      4839.65,      4806.05,      4831.05,34
,NIFTY MIDSML 400,      5765.80,      5775.25,      5808.85,      5760.40,      5787.40,21.6
,NIFTY200 QUALTY30,      9872.00,      9884.75,      9895.00,      9746.75,      9779.65,-92.35
,Nifty IT,     15121.75,     15132.95,     15147.25,     14964.25,     14998.05,-123.7
,Nifty Next 50,     28765.60,     28798.05,     28906.60,     28468.05,     28546.45,-219.15
,Nifty Bank,     32122.95,     32074.15,     32086.95,     31770.80,     31946.10,-176.85
,NIFTY MIDCAP 100,     17211.75,     17234.05,     17338.05,     17134.80,     17222.15,10.4
,Nifty 500,      9869.75,      9871.10,      9872.10,      9781.05,      9813.65,-56.1
,Nifty 100,     12278.45,     12275.95,     12277.30,     12145.60,     12182.60,-95.85
,Nifty Midcap 50,      4751.80,      4751.85,      4778.45,      4699.20,      4722.80,-29
,Nifty Realty,       279.30,       280.10,       284.00,       278.60,       282.05,2.75
,Nifty Infra,      3340.80,      3342.50,      3351.45,      3314.20,      3323.30,-17.5
,Nifty Energy,     16367.05,     16381.55,     16387.70,     16194.65,     16232.15,-134.9
,Nifty FMCG,     31263.40,     31243.25,     31260.60,     30892.10,     30975.50,-287.9
,Nifty MNC,     13894.85,     13886.85,     13894.45,     13733.60,     13779.20,-115.65
,Nifty Pharma,      8273.65,      8286.25,      8320.25,      8159.20,      8189.95,-83.7
,Nifty PSE,      3277.25,      3278.80,      3293.10,      3250.60,      3261.60,-15.65
,Nifty PSU Bank,      2716.95,      2719.10,      2737.50,      2659.50,      2669.85,-47.1
,Nifty Serv Sector,     17157.40,     17154.60,     17159.15,     16994.25,     17063.20,-94.2
,India VIX,13.9875,13.9875,14.2925,13.1400,13.8975,-0.0900
,Nifty Auto,      8179.75,      8172.80,      8182.45,      8066.95,      8086.00,-93.75
,Nifty Metal,      2656.85,      2644.95,      2668.35,      2608.45,      2625.50,-31.35
,Nifty Media,      1881.20,      1887.80,      1917.00,      1811.20,      1834.90,-46.3
,NIFTY SMLCAP 100,      5760.85,      5771.50,      5824.30,      5769.85,      5814.85,54
,Nifty 200,      6264.00,      6263.75,      6264.25,      6200.55,      6220.70,-43.3
,Nifty Div Opps 50,      2561.00,      2562.10,      2568.80,      2533.90,      2540.00,-21
,Nifty Commodities,      3461.55,      3459.70,      3473.15,      3423.85,      3431.90,-29.65
,Nifty Consumption,      5031.75,      5034.90,      5035.85,      4980.10,      4994.80,-36.95
,Nifty Fin Service,     14287.00,     14276.10,     14284.70,     14133.70,     14208.85,-78.15
,Nifty50 Div Point,       117.35,       117.35,       117.35,       117.35,       117.35,0
,Nifty100 Liq 15,      3875.90,      3872.10,      3887.25,      3819.90,      3828.85,-47.05
,Nifty CPSE,      1952.80,      1956.60,      1964.80,      1935.05,      1943.00,-9.8
,Nifty GrowSect 15,      6424.20,      6419.45,      6422.65,      6356.40,      6395.40,-28.8
,Nifty50 PR 2x Lev,      5297.70,      5292.65,      5293.05,      5180.50,      5214.05,-83.65
,Nifty50 PR 1x Inv,       383.65,       383.90,       387.95,       383.85,       386.75,3.1
,Nifty50 TR 2x Lev,      6885.95,      6879.45,      6879.95,      6733.70,      6777.25,-108.7
,Nifty50 TR 1x Inv,       336.55,       336.75,       340.30,       336.75,       339.25,2.7
,Nifty50 Value 20,      5495.65,      5497.90,      5499.70,      5425.00,      5431.20,-64.45
,Nifty Mid Liq 15,      4073.30,      4070.10,      4101.20,      4031.50,      4057.15,-16.15
,Nifty Pvt Bank,     17698.80,     17670.35,     17692.00,     17542.05,     17641.45,-57.35
,NIFTY100 Qualty30,      2732.20,      2735.10,      2737.45,      2702.45,      2712.40,-19.8
,Nifty GS 8 13Yr,      2027.51,      2027.89,      2027.97,      2025.39,      2026.90,-.61
,Nifty GS 10Yr,      1869.78,      1870.11,      1870.81,      1867.29,      1869.84,.06
,Nifty GS 10Yr Cln,       950.31,       950.31,       950.67,       948.86,       950.17,-.14
,Nifty GS 4 8Yr,      2149.12,      2149.55,      2149.70,      2148.39,      2149.03,-.09
,Nifty GS 11 15Yr,      2144.25,      2144.67,      2144.67,      2142.82,      2144.22,-.03
,Nifty GS 15YrPlus,      2310.37,      2310.82,      2310.82,      2310.50,      2310.50,.13
,Nifty GS Compsite,      2061.05,      2061.45,      2061.50,      2059.42,      2060.65,-.4

,ADVANCES,876
,DECLINES,934
,UNCHANGED,139

,Total securities that have hit their price bands today,393

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IBULHSGFIN,EQ,       334.75,       290.50,-13.22,5816.29
,YESBANK,EQ,        70.05,        68.30,-2.5,3031.54
,INFRATEL,EQ,       256.60,       276.30,7.68,1427.17
,RELIANCE,EQ,      1580.30,      1551.15,-1.84,1322.58
,ADANIPORTS,EQ,       372.60,       382.05,2.54,1143.74
,ZEEL,EQ,       311.00,       293.05,-5.77,1077.4
,HDFCBANK,EQ,      1265.30,      1274.95,0.76,986.92
,AXISBANK,EQ,       750.60,       739.05,-1.54,944.08
,INDUSINDBK,EQ,      1568.25,      1569.10,0.05,917.49
,BHARTIARTL,EQ,       436.65,       442.45,1.33,888.04
,SBIN,EQ,       349.30,       341.85,-2.13,794.53
,RBLBANK,EQ,       381.00,       374.15,-1.8,700.49
,HDFC,EQ,      2309.75,      2297.25,-0.54,694.04
,ICICIBANK,EQ,       519.15,       512.60,-1.26,683.43
,L&TFH,EQ,       114.50,       120.35,5.11,605.14
,MARUTI,EQ,      7261.25,      7245.85,-0.21,571.54
,TATASTEEL,EQ,       432.10,       427.50,-1.06,537.71
,TCS,EQ,      2077.35,      2053.25,-1.16,424.39
,IDFCFIRSTB,EQ,        44.30,        46.85,5.76,402.17
,BPCL,EQ,       510.00,       511.55,0.3,386
,BANKBARODA,EQ,       106.40,       104.90,-1.41,383.86
,BAJFINANCE,EQ,      4102.05,      4074.20,-0.68,340.08
,LT,EQ,      1349.90,      1330.55,-1.43,335.58
,TATAMOTORS,EQ,       164.80,       161.50,-2,328.82
,ASIANPAINT,EQ,      1714.60,      1706.15,-0.49,320.26

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       276.30,       256.60,7.68
,ADANIPORTS,EQ,       382.05,       372.60,2.54
,BHARTIARTL,EQ,       442.45,       436.65,1.33
,HDFCBANK,EQ,      1274.95,      1265.30,.76
,NTPC,EQ,       116.35,       115.55,.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       293.05,       311.00,-5.77
,YESBANK,EQ,        68.30,        70.05,-2.5
,HINDUNILVR,EQ,      2035.30,      2087.15,-2.48
,SBIN,EQ,       341.85,       349.30,-2.13
,DRREDDY,EQ,      2913.85,      2976.75,-2.11

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.55,                  1285362.25,37909
,21STCENMGM,EQ,        13.35,                     2055.65,154
,3IINFOTECH,EQ,         1.95,                  2677450.95,1358174
,3MINDIA,EQ,     22241.75,                 27442348.30,1233
,3PLAND,EQ,         5.85,                     7032.75,1096
,5PAISA,EQ,       165.45,                   698827.45,4253
,63MOONS,EQ,       104.85,                 13904066.95,131757
,74GS2035,GS,        98.70,                     1974.00,20
,772GS2049,GS,        99.25,                    19850.00,200
,A2ZINFRA,EQ,         8.85,                   653630.20,73977
,AAKASH,SM,        47.60,                   190200.00,4000
,AARON,SM,        48.95,                   161535.00,3300
,AARTIDRUGS,EQ,       520.00,                  2032554.45,3903
,AARTIIND,EQ,       843.65,                 80446997.75,95209
,AARVEEDEN,EQ,        12.60,                    79985.10,6502
,AARVI,SM,        35.45,                   212700.00,6000
,AAVAS,EQ,      1773.25,                748246007.35,415805
,ABAN,BE,        26.55,                   466703.65,17640
,ABB,EQ,      1447.80,                 85945432.90,58803
,ABBOTINDIA,EQ,     12578.40,                 66590038.75,5272
,ABCAPITAL,EQ,       109.45,                668549125.15,6000573
,ABFRL,EQ,       225.25,                203768825.05,903609
,ABINFRA,SM,        13.55,                   433600.00,32000
,ABSLBANETF,EQ,       323.33,                    16100.00,50
,ABSLFTQXDG,MF,         9.30,                   372000.00,40000
,ABSLNN50ET,EQ,       286.30,                    23612.59,83
,ABSLRIF6RG,MF,         7.10,                    41900.00,6000
,ACCELYA,EQ,       954.10,                  5257657.45,5515
,ACCURACY,SM,        27.00,                   134080.00,4800
,ACE,EQ,        77.80,                  7376754.25,94749
,ADANIENT,EQ,       214.90,               1733065586.10,7969827
,ADANIGAS,EQ,       161.35,               1672068442.80,10414685
,ADANIGREEN,EQ,       137.10,                784867908.25,5716364
,ADANIPOWER,EQ,        63.60,               1304819394.30,20190214
,ADANITRANS,EQ,       310.15,                639162603.10,2083819
,ADFFOODS,EQ,       300.35,                 16123472.75,54251
,ADHUNIK,BZ,          .50,                    16434.95,33015
,ADHUNIKIND,EQ,       116.75,                  3262754.70,27713
,ADLABS,BE,         4.20,                    99934.80,23794
,ADORWELD,EQ,       312.60,                  1210529.50,3868
,ADROITINFO,BE,         8.95,                     4604.35,511
,ADSL,EQ,        23.65,                 13303911.65,555216
,ADVANIHOTR,EQ,        54.65,                   296068.60,5379
,ADVENZYMES,EQ,       165.55,                 19297564.40,115260
,AEGISCHEM,EQ,       195.60,                 34505173.40,175797
,AFFLE,EQ,      1521.45,                128236008.20,83186
,AGARIND,EQ,       101.00,                   386964.05,3793
,AGCNET,BE,       125.95,                   149594.95,1197
,AGRITECH,EQ,        43.05,                   115721.20,2686
,AGROPHOS,EQ,       133.25,                114330556.40,858892
,AHLEAST,EQ,       182.40,                 18279986.05,102267
,AHLUCONT,EQ,       274.80,                   279201.80,1015
,AHLWEST,EQ,       334.65,                   135803.85,410
,AIAENG,EQ,      1644.25,                 17293885.75,10500
,AIONJSW,EQ,         9.90,                   759836.10,76364
,AIRAN,EQ,        10.95,                    99500.00,9097
,AJANTPHARM,EQ,       996.90,                 76711013.15,77054
,AJMERA,EQ,       122.35,                  6956971.05,57129
,AJOONI,SM,         8.70,                    34800.00,4000
,AKASH,EQ,        62.40,                   175405.25,2805
