,19-Nov-2019
The Nifty witnessed an intraday movement of about 77.1 points.The closing index was 0.47 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42296.01
, Traded Quantity (in Lakhs), 27123.18
, Number of Trades, 12178719
, Total Market Capitalisation (Rs. Crores), 15165754.9

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKASH,EQ,        62.45,                   125288.25,2005
,AKG,SM,        31.25,                   125000.00,4000
,AKSHARCHEM,EQ,       203.30,                   456262.25,2240
,AKSHOPTFBR,EQ,         6.50,                  2323734.10,354354
,AKZOINDIA,EQ,      1911.00,                  8588215.70,4497
,ALANKIT,EQ,        15.10,                   441647.15,29664
,ALBERTDAVD,EQ,       414.45,                  3250103.90,7768
,ALBK,EQ,        25.80,                300068544.05,11531981
,ALCHEM,BE,          .85,                      721.50,850
,ALEMBICLTD,EQ,        51.95,                  6924781.40,132068
,ALICON,EQ,       391.05,                   980877.80,2536
,ALKALI,EQ,        39.95,                  1083678.20,26630
,ALKEM,EQ,      2117.05,                166276471.25,78374
,ALKYLAMINE,EQ,      1017.05,                  9636576.60,9488
,ALLCARGO,EQ,        94.30,                  8967929.45,94725
,ALLSEC,EQ,       279.15,                   400634.60,1432
,ALMONDZ,EQ,         9.15,                    14857.20,1638
,ALOKTEXT,EQ,         2.20,                   743604.40,338002
,ALPA,EQ,        16.25,                   121855.70,7464
,ALPHAGEO,EQ,       160.85,                  1471504.50,9231
,ALPSINDUS,BE,          .80,                    31986.30,40070
,AMARAJABAT,EQ,       754.90,                491158909.05,650025
,AMBANIORG,SM,        60.75,                   121500.00,2000
,AMBER,EQ,       987.40,                  5563613.65,5608
,AMBIKCO,EQ,       879.75,                  2352444.15,2675
,AMDIND,EQ,        16.70,                    59153.65,3572
,AMJLAND,EQ,        19.05,                   385499.85,20223
,AMRUTANJAN,EQ,       447.95,                 25773344.60,57670
,ANANTRAJ,EQ,        33.60,                  7273361.35,216374
,ANDHRABANK,EQ,        20.20,                184425407.20,9309090
,ANDHRACEMT,BE,         2.70,                   177057.70,66161
