symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2024-05-15,460611,134266,29.15
ADANIPORTS,EQ,2024-05-15,2189768,787640,35.97
BEL,EQ,2024-05-15,33045920,18494474,55.97
BOSCHLTD,EQ,2024-05-15,101787,49583,48.71
CUMMINSIND,EQ,2024-05-15,1317014,751679,57.07
DIXON,EQ,2024-05-15,576550,210709,36.55
DLF,EQ,2024-05-15,5237735,1536473,29.33
DMART,EQ,2024-05-15,298259,185393,62.16
HAL,EQ,2024-05-15,2310941,641846,27.77
HINDALCO,EQ,2024-05-15,6764257,3626362,53.61
INDHOTEL,EQ,2024-05-15,1687347,999525,59.24
INDIGO,EQ,2024-05-15,854988,250689,29.32
LT,EQ,2024-05-15,2718682,1589809,58.48
MANAPPURAM,EQ,2024-05-15,6621968,2767005,41.79
MARUTI,EQ,2024-05-15,232030,115783,49.90
PAYTM,EQ,2024-05-15,2003944,902406,45.03
PGEL,EQ,2024-05-15,84545,52923,62.60
SBIN,EQ,2024-05-15,9755062,2671170,27.38
TRENT,EQ,2024-05-15,413777,240027,58.01
