symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2014-08-19,64439,44036,68.34
ADANIPORTS,EQ,2014-08-19,5479772,1591021,29.03
BEL,EQ,2014-08-19,20510,10950,53.39
BOSCHLTD,EQ,2014-08-19,11433,9879,86.41
CUMMINSIND,EQ,2014-08-19,531300,474848,89.37
DLF,EQ,2014-08-19,7502313,864332,11.52
HINDALCO,EQ,2014-08-19,10288612,5477044,53.23
INDHOTEL,EQ,2014-08-19,774764,462694,59.72
LT,EQ,2014-08-19,2202384,1325857,60.20
MANAPPURAM,EQ,2014-08-19,31258946,10867409,34.77
MARUTI,EQ,2014-08-19,404906,142181,35.11
PGEL,EQ,2014-08-19,7589,3153,41.55
SBIN,EQ,2014-08-19,1594806,590618,37.03
SBIN,N1,2014-08-19,2,2,100.00
SBIN,N3,2014-08-19,5,5,100.00
SBIN,N5,2014-08-19,388,350,90.21
SUZLON,EQ,2014-08-19,10199534,3607477,35.37
TRENT,EQ,2014-08-19,18620,8933,47.98
