,15-Oct-2019
The Nifty witnessed an intraday movement of about 120.25 points.The closing index was 0.77 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35668.12
, Traded Quantity (in Lakhs), 16989.96
, Number of Trades, 12093280
, Total Market Capitalisation (Rs. Crores), 14464626.36

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1935.35,                 64826119.15,34428
,ALANKIT,EQ,        19.30,                  2722937.15,138920
,ALBERTDAVD,EQ,       349.45,                   623549.25,1801
,ALBK,EQ,        24.90,                 21155705.70,844536
,ALCHEM,BE,          .80,                      148.00,185
,ALEMBICLTD,EQ,        47.10,                  3088682.55,65490
,ALICON,EQ,       336.80,                   506956.30,1489
,ALKALI,EQ,        43.00,                   304655.40,7026
,ALKEM,EQ,      1915.10,                 38010509.95,19628
,ALKYLAMINE,EQ,       838.15,                   881595.40,1056
,ALLCARGO,EQ,        99.80,                 10965453.50,110106
,ALLSEC,EQ,       273.30,                  1001781.15,3696
,ALMONDZ,EQ,         9.05,                    10014.25,1112
,ALOKTEXT,EQ,         1.75,                 12331560.55,7031990
,ALPA,EQ,        14.15,                    37876.25,2693
,ALPHAGEO,EQ,       177.50,                  1236428.80,6909
,ALPSINDUS,BE,          .35,                     1017.15,2914
,AMARAJABAT,EQ,       679.05,                929760203.70,1376409
,AMBER,EQ,       928.20,                  9386443.60,10078
,AMBIKCO,EQ,       911.10,                   898600.80,996
,AMDIND,EQ,        15.55,                    91803.25,5894
,AMJLAND,EQ,        16.25,                   103002.25,6439
,AMRUTANJAN,EQ,       355.40,                  9473368.60,27062
,ANANTRAJ,EQ,        29.35,                  3098479.85,105068
,ANDHRABANK,EQ,        15.65,                  7125393.50,455519
,ANDHRACEMT,BE,         2.70,                   149742.55,53375
,ANDHRSUGAR,EQ,       263.95,                  2092456.10,7916
,ANIKINDS,EQ,         6.10,                     5810.45,951
,ANKITMETAL,BE,          .50,                     8921.25,20811
,ANSALAPI,EQ,         4.05,                    80894.00,20321
,ANSALHSG,EQ,         4.50,                    57893.35,12852
,ANTGRAPHIC,BE,          .70,                    42286.45,59106
,ANUP,EQ,       460.70,                  5458932.40,12045
,APARINDS,EQ,       505.80,                  2669211.25,5196
,APCL,EQ,       141.40,                   224548.15,1595
,APCOTEXIND,EQ,       186.40,                  1564668.80,8355
,APEX,EQ,       215.65,                  8657292.85,40151
,APLAPOLLO,EQ,      1391.90,                 25624471.25,18604
,APLLTD,EQ,       528.30,                 16443522.50,30995
,APOLLO,EQ,        68.85,                   857569.65,12508
,APOLLOHOSP,EQ,      1483.75,                878082542.30,594035
,APOLLOTYRE,EQ,       173.30,                283402905.00,1647100
,APOLSINHOT,EQ,       772.40,                   292074.20,380
,APTECHT,EQ,       152.25,                 15163599.60,99578
,ARCHIDPLY,EQ,        25.90,                   258527.70,9884
,ARCHIES,BE,        18.90,                   406065.90,21909
,ARCOTECH,BE,         1.60,                    10059.55,6233
,ARIES,EQ,        61.20,                  1430426.85,23099
,ARIHANT,EQ,        18.00,                    19435.30,1088
,ARIHANTSUP,BE,        25.30,                     7488.80,296
,ARMANFIN,EQ,       545.80,                  2409766.65,4408
,AROGRANITE,EQ,        38.65,                   274638.20,7111
,ARROWGREEN,EQ,        53.30,                   277575.70,5215
,ARROWTEX,EQ,         9.90,                    29148.15,2924
,ARSHIYA,EQ,        16.40,                   892012.70,54032
,ARSSINFRA,EQ,        21.15,                   184249.85,8772
,ARVIND,EQ,        42.40,                 40437494.10,942961
,ARVINDFASN,EQ,       430.70,                  4697271.40,10923
,ARVSMART,EQ,        87.90,                   436652.25,4990
,ASAHIINDIA,EQ,       182.55,                  1087705.05,5982
,ASAHISONG,EQ,       138.05,                  1767005.85,12571
,ASAL,EQ,        32.60,                    48826.25,1560
,ASHAPURMIN,BE,        29.85,                  2583245.65,86303
,ASHIANA,EQ,        94.95,                 14047345.40,147226
,ASHIMASYN,EQ,         7.20,                   603511.40,84036
,ASHOKA,EQ,       100.75,                 23613781.65,234473
,ASIANHOTNR,EQ,        97.60,                   158448.25,1620
,ASIANTILES,EQ,       217.95,                  8391383.60,38401
,ASPINWALL,EQ,       136.50,                   195633.00,1435
,ASSAMCO,BE,          .50,                   108420.85,214979
,ASTEC,EQ,       356.25,                  2713437.80,7584
,ASTERDM,EQ,       119.20,                  3397565.30,28680
,ASTRAL,EQ,      1169.55,                 73578235.75,62938
,ASTRAMICRO,EQ,        78.00,                  4836763.55,61642
,ASTRAZEN,EQ,      2134.25,                 11938816.45,5545
,ASTRON,EQ,       100.80,                 53900685.20,541678
,ATFL,EQ,       474.70,                  1018822.05,2139
,ATLANTA,BE,         6.95,                    55987.80,8185
,ATLASCYCLE,BZ,        55.55,                    36496.35,657
,ATUL,EQ,      3973.85,                 19918446.90,4983
,ATULAUTO,EQ,       220.80,                  3190779.70,14518
,AUBANK,EQ,       643.55,                215845428.95,332462
,AURIONPRO,EQ,        64.55,                  9459639.90,145016
,AUSOMENT,EQ,        27.05,                     9649.80,356
,AUTOAXLES,EQ,       888.30,                  3690515.60,4177
,AUTOIND,EQ,        32.55,                   235807.25,7260
,AUTOLITIND,EQ,        20.25,                    23438.30,1156
,AVADHSUGAR,EQ,       262.75,                  6650357.40,25321
,AVANTIFEED,EQ,       379.95,                 78238994.75,207307
,AVTNPL,EQ,        22.55,                   243706.20,10786
,AXISCADES,EQ,        75.30,                 11703454.60,151596
,AXISGOLD,EQ,      3379.75,                  1265607.40,374
,AXISNIFTY,EQ,      1171.78,                   395255.81,338
,AYMSYNTEX,EQ,        30.90,                   894586.65,28933
,BAGFILMS,EQ,         1.55,                   392255.65,253528
,BAJAJCON,EQ,       203.65,               1492041930.35,7294285
,BAJAJELEC,EQ,       381.30,                 13903417.25,36473
,BAJAJHIND,EQ,         6.15,                  2331038.95,382475
,BALAJITELE,EQ,        51.35,                  1149394.35,22391
,BALAMINES,EQ,       302.05,                  7103165.70,23049
,BALAXI,EQ,        79.10,                    27673.35,357
,BALKRISHNA,BE,        20.85,                   295662.80,14281
,BALKRISIND,EQ,       772.35,                327346953.15,426275
,BALLARPUR,EQ,          .50,                  1717301.30,3429269
,BALMLAWRIE,EQ,       164.65,                  6591340.50,39838
,BALPHARMA,EQ,        37.65,                   106295.10,2821
,BALRAMCHIN,EQ,       155.10,                130491030.50,840535
,BANARBEADS,EQ,        29.85,                     3904.00,131
,BANARISUG,EQ,      1123.55,                   778901.70,695
,BANCOINDIA,EQ,        93.15,                  3501129.30,37451
,BANG,EQ,        20.10,                    74617.10,3726
,BANKA,SM,        90.50,                   762780.00,8400
,BANKBEES,EQ,      2920.05,                 12321265.17,4239
,BANKINDIA,EQ,        61.25,                381804423.45,6295769
,BANSAL,SM,         1.30,                     7900.00,6000
,BANSWRAS,EQ,        67.75,                   387184.50,5538
,BARTRONICS,BE,         1.65,                     8455.15,5121
,BASF,EQ,       931.70,                  7763338.40,8245
,BASML,EQ,       138.95,                  1057736.65,7808
,BATAINDIA,EQ,      1717.10,                703757023.95,409419
,BAYERCROP,EQ,      3326.50,                 23364073.80,7019
,BBL,EQ,       890.55,                  6171382.55,6916
,BBTC,EQ,      1190.15,                422774067.50,355573
,BCG,EQ,         2.90,                  1313167.00,447988
,BCONCEPTS,SM,        34.95,                   701100.00,21000
,BCP,EQ,         8.85,                     3752.40,424
,BDL,EQ,       281.35,                  4193495.55,14900
,BEARDSELL,EQ,        10.70,                    10281.05,961
,BEDMUTHA,EQ,        10.70,                   152877.20,14298
,BEL,EQ,       110.50,                937662043.80,8543399
,BEML,EQ,       878.25,                433722625.35,488608
,BEPL,EQ,        49.90,                  9984900.20,200507
,BETA,SM,        72.35,                   227200.00,3200
,BFINVEST,EQ,       325.75,                295399191.25,929772
,BFUTILITIE,EQ,       200.25,                277947966.00,1501002
,BGLOBAL,BE,         1.65,                     9287.90,5698
,BGRENERGY,EQ,        32.00,                 11525661.45,357489
,BHAGERIA,EQ,       107.35,                   990895.85,9290
,BHAGYANGR,EQ,        18.30,                    56830.85,3120
,BHAGYAPROP,EQ,        17.40,                     7305.50,421
,BHANDARI,EQ,         1.10,                    53576.75,48126
,BHARATFORG,EQ,       428.40,                551181563.65,1279522
,BHARATGEAR,EQ,        57.95,                   471224.45,8136
,BHARATRAS,EQ,      6026.85,                 13313661.60,2239
,BHARATWIRE,EQ,        25.15,                    59236.95,2356
,BHEL,EQ,        42.75,                726466383.55,16921189
,BIGBLOC,EQ,        26.40,                   133984.35,5056
,BIL,EQ,       135.85,                   183532.35,1325
,BILENERGY,BE,          .80,                   155262.70,193466
,BINANIIND,BZ,         8.45,                    10866.70,1286
,BINDALAGRO,EQ,         8.80,                    84815.80,9418
,BIOFILCHEM,BE,         4.45,                    10245.75,2235
,BIRLACABLE,EQ,        47.20,                  1287797.35,27390
,BIRLACORPN,EQ,       530.85,                217664990.15,415031
,BIRLAMONEY,EQ,        34.45,                  2804423.05,80867
,BKMINDST,EQ,          .85,                    26649.75,30033
,BLBLIMITED,EQ,         3.75,                    26532.40,7166
,BLISSGVS,EQ,       107.20,                  4792505.05,44974
,BLKASHYAP,EQ,         7.45,                  1162372.65,156406
,BLS,EQ,        80.00,                 18935566.50,236695
,BLUEBLENDS,BE,         1.10,                      308.00,280
,BLUECOAST,BE,         1.95,                     2754.40,1412
,BLUEDART,EQ,      2272.45,                  5450427.80,2396
,BLUEDART,N3,        10.51,                      798.76,76
,BLUESTARCO,EQ,       790.05,                 25748128.25,32079
,BODALCHEM,EQ,        68.45,                  4949247.55,71549
,BOMDYEING,EQ,        71.15,                133412019.40,1869371
,BOROSIL,EQ,       157.00,                  4927771.15,31347
,BPL,EQ,        18.60,                   850776.20,45701
,BRFL,BE,         4.90,                    60428.30,12464
,BRIGADE,EQ,       190.25,                 14568004.75,76874
,BRITANNIA,N2,        32.00,                 35287521.10,1127052
,BRNL,EQ,        62.80,                   207821.05,3272
,BROOKS,EQ,        30.35,                   720286.65,23430
,BSE,EQ,       511.10,                 53465124.80,103890
,BSELINFRA,BE,         1.00,                    29110.75,29097
,BSHSL,SM,       128.60,                   385800.00,3000
,BSL,EQ,        24.70,                   175164.75,7149
,BSLGOLDETF,EQ,      3541.50,                   296413.85,84
,BSLNIFTY,EQ,       123.95,                    13150.64,106
,BSOFT,EQ,        64.45,                 28457012.00,442495
,BURNPUR,BE,         1.05,                    13190.70,12299
,BUTTERFLY,EQ,       150.95,                  2149555.25,14146
,BVCL,BE,        10.45,                    16386.00,1626
,BYKE,EQ,        18.80,                   229903.90,12383
,CADSYS,SM,        46.80,                   272200.00,6000
,CALSOFT,EQ,        12.15,                    41224.95,3393
,CAMLINFINE,EQ,        53.35,                  1520761.75,28338
,CANBK,EQ,       180.60,               1206100185.60,6716299
,CANDC,BZ,         2.85,                     2681.85,941
,CANFINHOME,EQ,       382.55,                 55164784.25,143749
,CANTABIL,EQ,       222.75,                  5713720.05,25681
,CAPACITE,EQ,       193.55,                  2156315.10,11157
,CAPLIPOINT,EQ,       398.40,                  5332999.55,13353
,CAPTRUST,BE,       103.00,                   573075.00,5472
,CARBORUNIV,EQ,       286.00,                 13561932.90,47524
,CAREERP,EQ,        84.40,                  2687061.80,31299
,CARERATING,EQ,       529.05,                 20552323.15,38852
,CASTEXTECH,BE,          .40,                    14912.60,38186
,CASTROLIND,EQ,       133.80,                404143618.20,3011640
,CCHHL,EQ,         3.30,                    41577.45,12737
,CCL,EQ,       235.85,                  4689875.45,19906
,CDSL,EQ,       205.80,                 43614781.45,211330
,CEATLTD,EQ,       935.95,                 45677504.85,48816
,CEBBCO,EQ,        13.25,                   118708.65,8835
,CELEBRITY,EQ,         5.05,                   123412.95,23964
,CELESTIAL,BE,         3.35,                    85096.45,25984
,CENTENKA,EQ,       168.05,                  1426082.35,8419
,CENTEXT,EQ,         2.65,                   151768.70,58278
,CENTRALBK,EQ,        16.90,                  3347662.00,197055
,CENTRUM,EQ,        22.95,                  6153667.70,279051
,CENTUM,EQ,       386.75,                  1263468.00,3238
,CENTURYPLY,EQ,       157.50,                 26374897.05,165634
,CENTURYTEX,EQ,       384.25,               1355532414.95,3672355
,CERA,EQ,      2424.60,                 55529395.30,22668
,CEREBRAINT,EQ,        21.70,                  1498045.35,68605
,CESC,EQ,       782.45,                428076959.65,548331
,CESCVENT,EQ,       339.30,                  3383581.00,9915
,CGCL,EQ,       203.45,                 66049717.45,324603
,CGPOWER,EQ,        13.10,                  5025928.80,377351
,CHALET,EQ,       314.40,                  6626012.65,21008
,CHAMBLFERT,EQ,       145.55,                 12506978.25,85377
,CHEMFAB,EQ,       177.50,                   282004.60,1583
,CHENNPETRO,EQ,       155.30,                 19611058.10,125914
,CHOLAFIN,EQ,       279.85,                483900214.75,1723921
,CHOLAHLDNG,EQ,       465.95,                 12427007.00,26602
,CHROMATIC,EQ,          .45,                      900.00,2000
,CIGNITITEC,EQ,       287.05,                 16463908.60,57227
,CIMMCO,EQ,        19.45,                   540755.50,27783
,CINELINE,EQ,        30.30,                   122157.65,4083
