,30-Oct-2019
The Nifty witnessed an intraday movement of about 99.5 points.The closing index was 0.49 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42287.21
, Traded Quantity (in Lakhs), 21223.51
, Number of Trades, 14062547
, Total Market Capitalisation (Rs. Crores), 15166815.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJANTPHARM,EQ,      1025.35,                 29937196.45,29285
,AJMERA,EQ,       117.55,                  2840307.10,24001
,AKASH,EQ,        62.10,                   180841.40,2755
,AKSHARCHEM,EQ,       215.65,                   423450.65,1955
,AKSHOPTFBR,EQ,         6.90,                   936319.20,135897
,AKZOINDIA,EQ,      2104.00,                 61877025.30,29560
,ALANKIT,EQ,        13.10,                   917537.10,70041
,ALBERTDAVD,EQ,       390.20,                  8102390.95,20678
,ALBK,EQ,        27.05,                 42161634.40,1582108
,ALCHEM,BE,          .75,                     4055.50,5190
,ALEMBICLTD,EQ,        50.45,                  7154489.55,141464
,ALICON,EQ,       410.30,                  1904989.90,4665
,ALKALI,EQ,        44.65,                   150706.60,3364
,ALKEM,EQ,      1977.00,                 18196368.65,9228
,ALKYLAMINE,EQ,       880.00,                 11361675.90,12617
,ALLCARGO,EQ,       100.25,                 13701417.85,136957
,ALLSEC,EQ,       294.80,                   349628.85,1190
,ALMONDZ,EQ,         9.55,                       57.30,6
,ALOKTEXT,EQ,         1.45,                  5096108.00,3606860
,ALPA,EQ,        14.20,                    69449.65,4871
,ALPHAGEO,EQ,       194.10,                  1546038.30,7873
,ALPSINDUS,BE,          .40,                     1234.50,2880
,AMARAJABAT,EQ,       675.85,                275619879.25,409195
,AMBER,EQ,      1001.35,                 14625590.80,14621
,AMBIKCO,EQ,       900.80,                  3924557.20,4321
,AMDIND,EQ,        15.00,                    45058.40,2994
,AMJLAND,EQ,        18.40,                    77264.00,4188
,AMJUMBO,SM,         9.65,                    77200.00,8000
,AMRUTANJAN,EQ,       429.05,                 31384741.75,72866
,ANANTRAJ,EQ,        31.40,                  5769923.25,182387
,ANDHRABANK,EQ,        17.40,                 21198155.35,1235170
,ANDHRACEMT,BE,         2.40,                   110265.20,45407
,ANDHRSUGAR,EQ,       274.10,                  8574921.55,31448
,ANIKINDS,EQ,         6.85,                    42008.75,6205
,ANKITMETAL,BE,          .45,                    17548.85,39321
,ANSALAPI,EQ,         4.20,                   140078.05,33105
,ANSALHSG,EQ,         4.80,                   244386.80,51368
,ANTGRAPHIC,BE,          .75,                    50272.50,71609
,ANUP,EQ,       491.60,                  6840896.35,13847
