,14-Oct-2019
The Nifty witnessed an intraday movement of about 130.4 points.The closing index was 0.32 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33732.68
, Traded Quantity (in Lakhs), 18019.53
, Number of Trades, 11633644
, Total Market Capitalisation (Rs. Crores), 14364550.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1866.10,                 31456048.15,16947
,ALANKIT,EQ,        19.95,                  2154077.95,107157
,ALBERTDAVD,EQ,       342.65,                  1016349.65,2971
,ALBK,EQ,        25.60,                 17367825.45,674336
,ALCHEM,BE,          .80,                     2593.85,3161
,ALEMBICLTD,EQ,        46.20,                  2279970.15,49595
,ALICON,EQ,       336.00,                   160680.20,474
,ALKALI,EQ,        43.00,                   268083.75,6152
,ALKEM,EQ,      1941.95,                176233393.60,90443
,ALKYLAMINE,EQ,       835.20,                  4480976.00,5366
,ALLCARGO,EQ,        98.65,                 12849041.55,129829
,ALLSEC,EQ,       272.70,                   340608.15,1257
,ALMONDZ,EQ,         9.45,                    13005.35,1391
,ALOKTEXT,EQ,         1.80,                  2101797.00,1167665
,ALPA,EQ,        13.75,                    88479.35,6488
,ALPHAGEO,EQ,       180.65,                  1332795.85,7294
,ALPSINDUS,BE,          .35,                     4443.85,13915
,AMARAJABAT,EQ,       684.75,                119734314.75,175458
,AMBER,EQ,       932.30,                 33792299.20,35786
,AMBIKCO,EQ,       898.80,                  1358673.65,1504
,AMDIND,EQ,        15.60,                    33668.15,2139
,AMJLAND,EQ,        15.80,                   113416.60,7309
,AMRUTANJAN,EQ,       340.60,                  8327293.30,24141
,ANANTRAJ,EQ,        29.25,                  4117849.45,142354
,ANDHRABANK,EQ,        15.85,                  5889728.90,368391
,ANDHRACEMT,BE,         2.75,                   160956.75,58715
,ANDHRSUGAR,EQ,       265.40,                  2888027.25,10843
,ANIKINDS,EQ,         6.20,                    11401.50,1850
,ANKITMETAL,BE,          .45,                     1129.25,2540
,ANSALAPI,EQ,         3.95,                    59584.70,14759
,ANSALHSG,EQ,         4.45,                   224190.45,49771
,ANTGRAPHIC,BE,          .75,                    16000.75,22671
,ANUP,EQ,       450.25,                  2331299.35,5212
,APARINDS,EQ,       513.75,                  1086491.10,2099
,APCL,EQ,       140.20,                   356209.40,2533
,APCOTEXIND,EQ,       186.75,                  1490257.80,7974
,APEX,EQ,       209.40,                  4821978.85,23019
,APLAPOLLO,EQ,      1352.05,                 49648864.80,36423
,APLLTD,EQ,       535.45,                  6544060.35,12152
,APOLLO,EQ,        69.20,                  1599279.25,22923
,APOLLOHOSP,EQ,      1451.75,               1286389956.90,878725
,APOLLOTYRE,EQ,       169.95,                312929766.90,1843627
,APOLSINHOT,EQ,       757.00,                   801906.50,1076
,APTECHT,EQ,       151.10,                 15786712.15,103768
,ARCHIDPLY,EQ,        27.30,                  1137776.80,40827
,ARCHIES,BE,        18.70,                   282321.10,15178
,ARCOTECH,BE,         1.65,                    14516.70,8798
,ARIES,EQ,        62.40,                  1205362.35,19233
,ARIHANT,EQ,        19.00,                     1517.80,81
,ARIHANTSUP,BE,        26.60,                     4043.20,152
,ARMANFIN,EQ,       542.10,                  3086327.75,5686
,AROGRANITE,EQ,        38.55,                   654242.05,16885
,ARROWGREEN,EQ,        50.80,                   223154.75,4414
,ARROWTEX,EQ,        10.05,                   399337.00,39986
,ARSHIYA,EQ,        17.25,                   609467.20,34892
,ARSSINFRA,EQ,        21.70,                   460952.35,21264
,ARTEDZ,SM,        23.40,                   197700.00,9000
,ARVIND,EQ,        43.70,                 44630434.05,1023433
,ARVINDFASN,EQ,       427.40,                  7300995.70,17300
,ARVSMART,EQ,        88.40,                   774624.25,8723
,ASAHIINDIA,EQ,       181.65,                   869098.85,4791
,ASAHISONG,EQ,       145.85,                  6025619.35,41822
,ASAL,EQ,        31.70,                    62704.40,2000
,ASHAPURMIN,BE,        31.40,                  3101559.75,98051
,ASHIANA,EQ,        96.30,                  2657769.30,27440
,ASHIMASYN,EQ,         7.30,                    57430.45,7919
,ASHOKA,EQ,        98.25,                  8496467.30,86670
,ASIANHOTNR,EQ,        97.35,                    84494.90,851
,ASIANTILES,EQ,       218.15,                 14561760.80,66544
,ASPINWALL,EQ,       135.00,                   178740.25,1324
,ASSAMCO,BE,          .50,                    77724.85,144497
,ASTEC,EQ,       369.05,                  2364410.85,6356
,ASTERDM,EQ,       117.50,                  2831326.00,24084
,ASTRAL,EQ,      1164.50,                 80193133.65,68737
,ASTRAMICRO,EQ,        79.20,                  3415771.25,43127
,ASTRAZEN,EQ,      2170.35,                 13340467.60,6140
,ASTRON,EQ,        97.25,                 40497055.95,419250
,ATFL,EQ,       476.80,                  2051421.55,4279
,ATLANTA,BE,         7.00,                   172739.20,25288
,ATLASCYCLE,BZ,        58.45,                  1012464.85,17617
,ATNINTER,BE,          .45,                    35467.95,78036
,ATUL,EQ,      4026.40,                 27985163.10,6983
,ATULAUTO,EQ,       217.35,                  1733407.15,7900
,AUBANK,EQ,       643.70,                133539009.65,203615
,AURIONPRO,EQ,        74.55,                  2669575.00,34536
,AUSOMENT,EQ,        27.75,                    15986.30,590
,AUTOAXLES,EQ,       876.65,                  3118148.80,3549
,AUTOIND,EQ,        32.75,                   418847.10,12658
,AUTOLITIND,EQ,        20.30,                    32231.55,1633
,AVADHSUGAR,EQ,       261.55,                 11335413.60,42824
,AVANTIFEED,EQ,       372.95,                103447525.15,281149
,AVTNPL,EQ,        22.50,                   299276.95,13278
,AXISCADES,EQ,        80.05,                  9109836.20,114897
,AXISGOLD,EQ,      3378.00,                   645379.85,193
,AXISNIFTY,EQ,      1170.00,                   388421.63,332
,AYMSYNTEX,EQ,        29.05,                   131258.65,4528
,BAGFILMS,EQ,         1.50,                   335611.00,223746
,BAJAJCON,EQ,       230.05,                186652201.45,793321
,BAJAJELEC,EQ,       382.25,                 13096140.50,34031
,BAJAJHIND,EQ,         6.00,                  3985994.95,664043
,BALAJITELE,EQ,        51.15,                  1158973.10,22494
,BALAMINES,EQ,       302.00,                  4037580.40,13204
,BALAXI,EQ,        78.50,                    15700.00,200
,BALKRISHNA,BE,        21.20,                   103668.00,4890
,BALKRISIND,EQ,       761.35,                196931186.90,259627
,BALLARPUR,EQ,          .55,                  1330185.95,2644502
,BALMLAWRIE,EQ,       165.55,                  5928878.70,35702
,BALPHARMA,EQ,        37.55,                   133799.95,3557
,BALRAMCHIN,EQ,       154.35,                150934209.65,970290
,BANARBEADS,EQ,        29.70,                    45304.20,1538
,BANARISUG,EQ,      1114.20,                   143391.55,128
,BANCOINDIA,EQ,        94.00,                  5254465.15,55133
,BANG,EQ,        19.70,                    54583.35,2747
,BANKA,SM,        92.95,                   111540.00,1200
,BANKBEES,EQ,      2872.85,                106377653.60,36800
,BANKINDIA,EQ,        60.05,                667885052.00,11056726
,BANSAL,SM,         1.35,                     6750.00,5000
,BANSWRAS,EQ,        67.00,                   215504.90,3210
,BARTRONICS,BE,         1.70,                     6494.00,3820
,BASF,EQ,       951.90,                 27305880.10,28463
,BASML,EQ,       127.20,                    99577.25,779
,BATAINDIA,EQ,      1730.85,                541232632.60,313885
,BAYERCROP,EQ,      3333.15,                 12916636.60,3866
,BBL,EQ,       902.70,                  8873069.75,9776
,BBTC,EQ,      1150.30,                695742270.50,598135
,BCG,EQ,         3.05,                  1052613.25,351498
,BCP,EQ,         9.00,                      585.00,65
,BDL,EQ,       281.20,                  4343544.00,15389
,BEARDSELL,EQ,        10.35,                    75445.15,7252
,BEDMUTHA,EQ,        10.20,                    11865.15,1162
,BEL,EQ,       108.95,               1207161480.50,11093633
,BEML,EQ,       890.65,                338441475.60,376398
,BEPL,EQ,        49.75,                 21402819.70,433141
,BETA,SM,        70.30,                   440000.00,6400
,BFINVEST,EQ,       282.85,                 11133738.40,39256
,BFUTILITIE,EQ,       166.90,                 89951417.85,533365
,BGLOBAL,BE,         1.60,                     7104.60,4534
,BGRENERGY,EQ,        31.95,                  2979632.75,93302
,BHAGERIA,EQ,       106.85,                   282070.70,2646
,BHAGYANGR,EQ,        19.25,                    36317.75,1910
,BHAGYAPROP,EQ,        19.00,                     4002.50,210
,BHANDARI,EQ,         1.15,                    93405.60,82326
,BHARATFORG,EQ,       430.35,                413525246.75,960679
,BHARATGEAR,EQ,        57.05,                   195554.70,3406
,BHARATRAS,EQ,      5703.70,                  4774036.70,843
,BHARATWIRE,EQ,        25.15,                    98483.85,3845
,BHEL,EQ,        42.85,                677739232.75,15720258
,BIGBLOC,EQ,        26.25,                     7482.15,301
,BIL,EQ,       142.95,                   102013.75,713
,BILENERGY,BE,          .85,                    87238.50,102079
,BINANIIND,BZ,         8.85,                    38329.25,4355
,BINDALAGRO,EQ,         9.30,                   149271.95,16088
,BIOFILCHEM,BE,         4.65,                      637.05,137
,BIRLACABLE,EQ,        46.30,                  1559339.90,33428
,BIRLACORPN,EQ,       525.10,                 17411561.75,32882
,BIRLAMONEY,EQ,        34.10,                  1568432.00,46445
,BKMINDST,EQ,          .90,                     3808.05,4347
,BLBLIMITED,EQ,         3.50,                     6881.00,2036
,BLISSGVS,EQ,       105.95,                 13901899.95,132423
,BLKASHYAP,EQ,         7.60,                   722836.90,94477
,BLS,EQ,        80.00,                  4588880.25,57335
,BLUEBLENDS,BE,         1.15,                     1495.00,1300
,BLUECOAST,BE,         2.05,                      926.60,452
,BLUEDART,EQ,      2294.85,                  8399846.00,3675
,BLUEDART,N3,        10.73,                       10.73,1
,BLUESTARCO,EQ,       807.45,                 27398556.60,33902
,BODALCHEM,EQ,        69.45,                  3834991.10,54807
,BOMDYEING,EQ,        70.45,                125745044.15,1762504
,BOROSIL,EQ,       157.50,                  5340659.70,33813
,BPL,EQ,        18.55,                  1300956.90,69095
,BRFL,BE,         4.75,                    70010.80,14415
,BRIGADE,EQ,       190.80,                 11989371.50,62250
,BRIGHT,SM,         9.95,                    29850.00,3000
,BRITANNIA,N2,        31.03,                 13007537.16,417855
,BRNL,EQ,        62.80,                   917219.90,14484
,BROOKS,EQ,        31.20,                   840674.00,26727
,BSE,EQ,       514.20,                 26511257.95,51455
,BSELINFRA,BE,         1.05,                    15709.10,14949
,BSHSL,SM,       128.75,                   518150.00,4000
,BSL,EQ,        24.65,                   269605.35,10705
,BSLGOLDETF,EQ,      3591.65,                   203600.70,58
,BSLNIFTY,EQ,       123.70,                    16009.11,130
,BSOFT,EQ,        63.15,                 82277232.55,1283694
,BURNPUR,BE,         1.10,                    29067.35,26252
,BUTTERFLY,EQ,       151.45,                  3366464.40,22538
,BVCL,BE,        10.20,                    23181.35,2250
,BYKE,EQ,        18.60,                   591069.15,33311
,CALSOFT,EQ,        11.60,                    62926.20,5432
,CAMLINFINE,EQ,        53.75,                  3069250.30,55996
,CANBK,EQ,       179.20,               1192392669.50,6580725
,CANDC,BZ,         2.85,                     6044.70,2048
,CANFINHOME,EQ,       382.25,                 62045427.25,161594
,CANTABIL,EQ,       218.70,                  2492344.15,11910
,CAPACITE,EQ,       192.05,                  1913388.45,9854
,CAPLIPOINT,EQ,       402.05,                  4354929.65,10873
,CAPTRUST,BE,       105.40,                     3543.20,33
,CARBORUNIV,EQ,       288.00,                264317467.90,927084
,CAREERP,EQ,        87.00,                   528163.35,6066
,CARERATING,EQ,       538.20,                 18168448.90,33622
,CASTEXTECH,BE,          .40,                    15909.15,42344
,CASTROLIND,EQ,       133.50,                130195942.10,971356
,CCCL,BZ,          .55,                   166524.05,302771
,CCHHL,EQ,         3.40,                    54921.20,16417
,CCL,EQ,       238.00,                 20374985.05,85597
,CDSL,EQ,       206.55,                 18251761.50,88869
,CEATLTD,EQ,       931.65,                 71210504.80,76266
,CEBBCO,EQ,        13.00,                   257659.35,19543
,CELEBRITY,EQ,         5.45,                    79071.70,14133
,CELESTIAL,BE,         3.20,                    23523.35,7341
,CENTENKA,EQ,       169.65,                  1478779.15,8788
,CENTEXT,EQ,         2.70,                   100268.00,36452
,CENTRALBK,EQ,        17.05,                  3866962.25,226267
,CENTRUM,EQ,        22.05,                  2757058.00,124452
,CENTUM,EQ,       397.55,                 24077310.10,60727
,CENTURYPLY,EQ,       160.05,                 12929127.55,80612
,CENTURYTEX,EQ,       381.45,                486742772.80,1255595
,CERA,EQ,      2463.05,                 15916712.30,6441
,CEREBRAINT,EQ,        21.85,                  5518542.75,252700
,CESC,EQ,       769.50,                281742200.05,365653
,CESCVENT,EQ,       350.25,                  5140940.50,14877
,CGCL,EQ,       204.00,                 63289142.45,310194
,CGPOWER,EQ,        13.40,                  5987864.00,446768
,CHALET,EQ,       317.75,                  1072715.45,3394
,CHAMBLFERT,EQ,       146.45,                 15930990.90,108283
,CHEMFAB,EQ,       176.50,                   172661.70,975
,CHENNPETRO,EQ,       154.95,                 28220252.20,179242
,CHOLAFIN,EQ,       285.10,                186229600.55,651063
,CHOLAHLDNG,EQ,       472.20,                 20745939.60,44204
,CHROMATIC,EQ,          .45,                     2178.00,4810
,CIGNITITEC,EQ,       304.70,                  7359236.90,24031
,CIMMCO,EQ,        19.80,                  1193892.60,58703
,CINELINE,EQ,        29.60,                   154450.90,5196
,CINEVISTA,BE,        15.15,                   865771.40,54921
,CKFSL,BE,          .50,                   184505.90,386706
,CKPLEISURE,SM,         5.95,                   370200.00,64000
,CKPPRODUCT,SM,        29.50,                  2025000.00,69000
,CLEDUCATE,EQ,        76.45,                   198381.25,2580
,CLNINDIA,EQ,       282.70,                  2133128.70,7506
,CMICABLES,EQ,        54.15,                   541918.05,9994
,CNOVAPETRO,EQ,         8.50,                    25204.30,2966
,COCHINSHIP,EQ,       335.40,                  9460767.35,28057
,COFFEEDAY,EQ,        37.95,                 16234562.60,419387
