,29-Nov-2018
The Nifty witnessed an intraday movement of about 100.7 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43142.02
, Traded Quantity (in Lakhs), 19627.27
, Number of Trades, 13317117
, Total Market Capitalisation (Rs. Crores), 14078722.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJANTPHARM,EQ,      1120.50,                216439196.85,193413
,AJMERA,EQ,       148.20,                  4429420.40,29634
,AKASH,SM,        92.00,                   512500.00,5000
,AKG,SM,        32.50,                   260000.00,8000
,AKSHARCHEM,EQ,       445.50,                   284410.80,638
,AKSHOPTFBR,EQ,        25.75,                 19245048.65,742748
,AKZOINDIA,EQ,      1583.80,                 25038670.00,15800
,ALANKIT,EQ,        19.65,                  6488478.90,325357
,ALBERTDAVD,EQ,       415.50,                 19676216.25,47725
,ALBK,EQ,        47.35,                211881583.50,4526696
,ALCHEM,BE,         2.20,                    18560.35,8542
,ALEMBICLTD,EQ,        42.85,                  7211467.20,167719
,ALICON,EQ,       662.50,                   476007.10,718
,ALKALI,EQ,        57.85,                   371287.30,6383
,ALKEM,EQ,      1893.00,                280382900.55,148800
,ALKYLAMINE,EQ,       750.90,                  9125493.00,12154
,ALLCARGO,EQ,       107.65,                  8733102.25,81160
,ALLSEC,EQ,       218.65,                   669723.55,3062
,ALMONDZ,EQ,        23.40,                     6477.10,276
,ALOKTEXT,EQ,         3.20,                 13176060.50,4218873
,ALPA,EQ,        24.20,                   131387.05,5454
,ALPHAGEO,EQ,       462.45,                  2503204.85,5420
,ALPSINDUS,BE,         3.65,                    66887.75,18435
,AMARAJABAT,EQ,       723.95,                524174341.70,725178
,AMBER,EQ,       915.45,                  1833673.45,2006
,AMBIKCO,EQ,      1186.05,                  1310971.90,1107
,AMDIND,EQ,        18.20,                    29567.10,1622
,AMJLAND,EQ,        22.25,                   101235.90,4530
,AMRUTANJAN,EQ,       255.50,                  3466130.50,13713
,ANANTRAJ,EQ,        33.80,                  7690854.65,227385
,ANDHRABANK,EQ,        28.15,                 24203100.50,859793
,ANDHRACEMT,EQ,         5.75,                   764856.60,131719
,ANDHRSUGAR,EQ,       338.05,                  6042176.75,18008
,ANGIND,BE,         1.55,                     1770.10,1142
,ANIKINDS,EQ,        25.90,                    15605.05,600
,ANKITMETAL,BE,          .45,                    35012.10,72735
,ANSALAPI,EQ,        10.40,                   178982.55,16759
,ANSALHSG,EQ,        10.00,                    97440.60,9629
,ANTGRAPHIC,BE,          .45,                    31530.75,67308
,APARINDS,EQ,       615.85,                  2071313.35,3354
,APCL,EQ,       122.75,                    46677.35,378
,APCOTEXIND,EQ,       532.75,                  1573974.65,2938
,APEX,EQ,       360.60,                 14859151.35,41253
,APLAPOLLO,EQ,      1285.30,                 32078810.95,25134
,APLLTD,EQ,       571.15,                 11646899.50,20540
,APOLLO,EQ,       124.55,                  1450623.80,11588
,APOLLOHOSP,EQ,      1245.85,                628954410.05,506815
,APOLLOTYRE,EQ,       236.00,               1926609830.90,8069235
,APOLSINHOT,EQ,       804.50,                   102407.95,128
,APTECHT,EQ,       174.25,                 43025905.30,247270
,ARCHIDPLY,EQ,        39.85,                   467757.65,11749
,ARCHIES,EQ,        27.45,                   632254.65,23044
,ARCOTECH,EQ,         7.50,                   992756.35,130824
,ARENTERP,BE,        11.90,                       11.90,1
,ARIES,EQ,        95.10,                  1002644.70,10552
,ARIHANT,EQ,        30.35,                     9812.50,325
,ARIHANTSUP,EQ,        51.05,                  1245859.10,24751
,ARMANFIN,EQ,       391.75,                   984458.20,2527
,AROGRANITE,EQ,        51.75,                   449065.85,8701
,ARROWGREEN,EQ,        90.00,                   876730.05,9760
,ARROWTEX,EQ,        24.65,                   102635.80,4170
,ARSHIYA,EQ,        36.20,                   213827.70,5989
,ARSSINFRA,EQ,        28.35,                  2450377.60,87002
,ARVIND,EQ,       102.70,               3025002885.45,29004604
,ARVSMART,EQ,       107.95,                  1690088.55,15455
,ASAHIINDIA,EQ,       259.20,                  4089071.60,15551
,ASAHISONG,EQ,       217.60,                   312384.80,1431
,ASAL,EQ,        56.05,                   563976.10,10095
,ASHAPURMIN,EQ,        29.10,                  1065865.90,36392
,ASHIANA,EQ,       120.30,                  3816918.75,31669
,ASHIMASYN,EQ,        13.10,                   427670.45,32338
,ASHOKA,EQ,       133.00,                127064036.50,970100
,ASIANHOTNR,EQ,       151.90,                      303.80,2
,ASIANTILES,EQ,       194.25,                 20268611.85,105169
,ASPINWALL,EQ,       178.00,                   162637.60,919
,ASSAMCO,EQ,         2.30,                  1303435.30,566711
,ASTEC,EQ,       512.10,                  7013261.00,13685
,ASTERDM,EQ,       144.00,                 12053517.90,83931
,ASTRAL,EQ,      1066.75,                 17135134.15,16119
,ASTRAMICRO,EQ,        75.05,                 36432999.95,481923
,ASTRAZEN,EQ,      1436.95,                 15417693.05,10611
,ASTRON,EQ,       122.30,                150793618.80,1264495
,ATFL,EQ,       533.95,                  2074488.00,3868
,ATLANTA,EQ,        22.75,                   335687.50,14909
,ATLASCYCLE,BZ,        84.10,                   215598.40,2534
,ATUL,EQ,      3468.80,                 40698817.65,11639
,ATULAUTO,EQ,       326.10,                  5777359.45,17415
,AUBANK,EQ,       585.15,                101567294.75,172520
,AURIONPRO,EQ,       145.70,                  2003433.40,13520
,AUSOMENT,EQ,        50.15,                    88996.30,1750
,AUTOAXLES,EQ,      1399.20,                 41282553.85,29378
,AUTOIND,EQ,        57.10,                   279580.95,4885
,AUTOLITIND,EQ,        40.85,                   417346.15,10173
,AVADHSUGAR,EQ,       385.65,                  6056448.75,15692
,AVANTIFEED,EQ,       340.30,                109102765.65,318083
,AVG,SM,        82.50,                   294000.00,3600
,AVTNPL,EQ,        26.95,                   744187.60,27342
,AXISCADES,EQ,        88.50,                  8557117.30,96127
,AXISGOLD,EQ,      2690.00,                   191105.40,71
,AXISNIFTY,EQ,      1078.00,                    30184.00,28
,AYMSYNTEX,EQ,        42.10,                    77035.80,1827
,BAFNAPHARM,EQ,        13.20,                   104147.90,7890
,BAGFILMS,EQ,         4.90,                   418517.55,84900
,BAJAJCORP,EQ,       353.50,                 28812211.40,81351
,BAJAJELEC,EQ,       472.50,                 78617495.05,166350
,BAJAJHIND,EQ,         9.50,                 30033772.50,3117123
,BAJAJHLDNG,EQ,      3022.10,                 19806100.30,6577
,BALAJITELE,EQ,        95.35,                   556570.95,5840
,BALAMINES,EQ,       457.90,                  5586038.15,12169
,BALKRISHNA,EQ,        49.90,                   266733.40,5317
,BALKRISIND,EQ,       970.70,                708510693.60,735238
,BALLARPUR,EQ,         5.65,                  5003062.70,897950
,BALMLAWRIE,EQ,       189.60,                  3322470.00,17614
,BALPHARMA,EQ,        81.40,                  3477035.20,43438
,BALRAMCHIN,EQ,        98.55,                177528011.80,1809907
,BANARBEADS,EQ,        48.60,                    25063.45,529
,BANARISUG,EQ,      1614.80,                  1174658.00,726
