,07-Nov-2018
The Nifty witnessed an intraday movement of about 34.15 points.The closing index was 0.65 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 3961.46
, Traded Quantity (in Lakhs), 3103.42
, Number of Trades, 1922662
, Total Market Capitalisation (Rs. Crores), 13993285.22

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBK,EQ,        43.80,                 14796946.75,337686
,ALCHEM,BE,         3.25,                     5974.95,1803
,ALEMBICLTD,EQ,        44.75,                  1646251.70,36841
,ALICON,EQ,       625.20,                   636327.95,1015
,ALKALI,EQ,        60.80,                  2681698.50,43890
,ALKEM,EQ,      1900.05,                  1884334.40,991
,ALKYLAMINE,EQ,       713.35,                  5492962.85,7753
,ALLCARGO,EQ,       107.20,                  3604455.25,33562
,ALLSEC,EQ,       250.05,                   266366.75,1060
,ALMONDZ,EQ,        22.20,                    16268.35,725
,ALOKTEXT,EQ,         3.25,                  3773286.15,1154095
,ALPA,EQ,        26.80,                    77001.35,2881
,ALPHAGEO,EQ,       515.40,                   839793.70,1630
,ALPSINDUS,BE,         2.70,                    16200.00,6000
,AMARAJABAT,EQ,       779.05,                 62168451.70,79655
,AMBER,EQ,       863.05,                  1027572.55,1191
,AMBIKCO,EQ,      1191.30,                  1812382.20,1521
,AMDIND,EQ,        21.50,                    73366.90,3396
,AMJLAND,EQ,        22.65,                    11659.25,516
,AMJUMBO,SM,        57.00,                   114000.00,2000
,AMRUTANJAN,EQ,       256.75,                  2381782.75,9277
,ANANTRAJ,EQ,        36.60,                  2668614.70,72825
,ANDHRABANK,EQ,        30.15,                 16388677.65,544663
,ANDHRACEMT,EQ,         6.35,                   166343.75,26226
,ANDHRSUGAR,EQ,       375.65,                  4033980.70,10763
,ANGIND,BE,         1.45,                      160.90,111
,ANIKINDS,EQ,        27.05,                     5912.70,219
,ANKITMETAL,BE,          .45,                     3332.60,6774
,ANSALAPI,EQ,        11.65,                   128321.35,11115
,ANSALHSG,EQ,        10.75,                    64849.65,6027
,ANTGRAPHIC,BE,          .55,                      875.50,1601
,APARINDS,EQ,       595.00,                  3050385.50,5160
,APCL,EQ,       133.10,                   278094.20,2080
,APCOTEXIND,EQ,       545.25,                   912083.95,1668
,APEX,EQ,       398.65,                  9764493.30,24434
,APLAPOLLO,EQ,      1241.20,                  8842357.70,7118
,APLLTD,EQ,       590.50,                  1410327.40,2387
,APOLLO,EQ,       129.60,                  2324296.05,17993
,APOLLOHOSP,EQ,      1131.70,                 34905734.65,30818
,APOLLOTYRE,EQ,       220.25,                250972906.35,1142635
,APOLSINHOT,EQ,       722.85,                   118080.15,163
,APTECHT,EQ,       160.15,                  5040140.55,31474
,ARCHIDPLY,EQ,        45.55,                   363072.85,7890
,ARCHIES,EQ,        28.00,                   562091.60,20122
,ARCOTECH,EQ,         8.00,                  3795743.00,474208
,ARIES,EQ,       104.70,                   838642.35,7987
,ARIHANT,EQ,        28.25,                    55527.00,1937
,ARIHANTSUP,EQ,        53.80,                   910879.75,16899
,ARMANFIN,EQ,       349.90,                   435221.50,1213
,AROGRANITE,EQ,        52.10,                   115706.85,2207
,ARROWGREEN,EQ,       111.75,                   390067.95,3504
,ARROWTEX,EQ,        25.85,                    59955.70,2318
,ARSHIYA,EQ,        36.65,                  2482778.55,68070
,ARSSINFRA,EQ,        23.30,                    10336.25,438
,ARVEE,SM,        54.50,                   109000.00,2000
,ARVIND,EQ,       318.65,                 93388161.35,292654
,ARVSMART,EQ,       122.40,                   720084.75,5889
,ASAHIINDIA,EQ,       287.05,                   901218.95,3142
,ASAHISONG,EQ,       252.25,                   157825.20,626
,ASAL,EQ,        52.85,                   473289.15,8954
,ASHAPURMIN,EQ,        30.65,                   790451.00,26066
,ASHIANA,EQ,       122.05,                  3205406.80,26116
,ASHIMASYN,EQ,        15.15,                   547005.60,36058
,ASHOKA,EQ,       123.05,                  3457942.35,28341
,ASIANHOTNR,EQ,       155.00,                    31308.35,202
,ASIANTILES,EQ,       181.80,                  1667029.60,9162
,ASPINWALL,EQ,       198.00,                    15838.55,80
,ASSAMCO,BE,         1.85,                    69478.60,37556
,ASTEC,EQ,       534.75,                  1723022.55,3236
,ASTERDM,EQ,       155.25,                  1437308.00,9233
,ASTRAL,EQ,       970.00,                  1337173.55,1379
,ASTRAMICRO,EQ,        80.00,                  2807104.20,35082
,ASTRAZEN,EQ,      1715.30,                  3490791.85,2035
,ASTRON,EQ,       115.35,                  3462412.35,30008
,ATFL,EQ,       526.05,                   302015.00,576
,ATLANTA,EQ,        29.45,                   714434.55,24304
,ATLASCYCLE,BZ,        90.85,                    32424.30,365
,ATUL,EQ,      3363.25,                 10916444.60,3238
,ATULAUTO,EQ,       344.90,                  2185609.30,6294
,AUBANK,EQ,       554.80,                  6822960.70,12305
,AURIONPRO,EQ,       176.30,                  4263373.40,24177
,AUSOMENT,EQ,        53.15,                   304681.90,5768
,AUTOAXLES,EQ,      1288.10,                 24738262.15,19182
,AUTOIND,EQ,        60.80,                   630095.25,10391
,AUTOLITIND,EQ,        43.95,                   164776.70,3752
,AVADHSUGAR,EQ,       416.65,                  6281725.35,15112
,AVANTIFEED,EQ,       434.10,                 41693524.30,95750
,AVSL,SM,        36.95,                   110850.00,3000
,AVTNPL,EQ,        27.20,                   645814.70,23965
,AXISCADES,EQ,        86.30,                  3631842.40,42423
,AXISGOLD,EQ,      2858.70,                   790159.90,276
,AYMSYNTEX,EQ,        42.85,                    55082.80,1284
,BAFNAPHARM,EQ,        13.80,                    22898.50,1660
,BAGFILMS,EQ,         4.55,                   312911.40,68085
,BAJAJCORP,EQ,       359.40,                  2833791.50,7906
,BAJAJELEC,EQ,       502.25,                  9972330.40,19814
,BAJAJHIND,EQ,        10.95,                  7457880.15,681886
,BAJAJHLDNG,EQ,      2820.35,                  1511656.25,537
,BALAJITELE,EQ,       102.55,                  1447120.85,14105
,BALAMINES,EQ,       445.90,                  3172630.70,7127
,BALKRISHNA,EQ,        53.60,                   330818.50,6154
,BALKRISIND,EQ,       938.10,                645657886.95,687010
,BALLARPUR,EQ,         6.45,                  2212401.30,341908
,BALMLAWRIE,EQ,       203.85,                  5361710.50,26276
,BALPHARMA,EQ,        83.55,                   316480.55,3782
,BALRAMCHIN,EQ,       105.45,                 71280814.80,678079
,BANARBEADS,EQ,        49.25,                    28267.60,574
,BANARISUG,EQ,      1753.65,                   172190.90,98
,BANCOINDIA,EQ,       187.45,                  2239905.00,11989
,BANG,EQ,        51.10,                   894234.95,17487
,BANKBEES,EQ,      2623.93,                   567092.83,216
,BANKINDIA,EQ,        86.35,                 47449639.15,549292
,BANSAL,SM,        66.95,                  1010550.00,15000
,BANSWRAS,EQ,        72.85,                    28297.00,385
,BARTRONICS,EQ,         7.35,                    48608.45,6601
,BASF,EQ,      1615.10,                  2613236.85,1623
,BASML,EQ,       203.50,                    10175.00,50
,BATAINDIA,EQ,      1014.25,                 88189912.40,86889
,BAYERCROP,EQ,      4010.60,                  2463921.40,615
,BBL,EQ,      1264.00,                  3615447.05,2875
,BBTC,EQ,      1379.65,                 33698420.75,24425
,BBTCL,SM,        47.85,                  1273800.00,27000
,BCG,EQ,         3.45,                   285639.65,82820
,BDL,EQ,       296.30,                  2312208.50,7814
,BEARDSELL,EQ,        25.95,                    36374.00,1400
,BEDMUTHA,BE,        19.55,                    20602.50,1045
,BEML,EQ,       713.30,                125549995.85,175415
,BEPL,EQ,        83.90,                  7236974.40,86292
,BERGEPAINT,EQ,       299.20,                 16605134.60,55527
,BETA,SM,        75.75,                   718760.00,9600
,BFINVEST,EQ,       248.70,                  3118738.05,12498
,BFUTILITIE,EQ,       218.05,                  7067474.55,32377
,BGLOBAL,BE,         2.45,                        9.70,4
,BGRENERGY,EQ,        58.50,                  1006733.65,17213
,BHAGERIA,EQ,       308.55,                  2169230.10,7045
,BHAGYANGR,EQ,        32.30,                   187875.55,5816
,BHAGYAPROP,EQ,        25.45,                   101403.05,4090
,BHANDARI,EQ,         2.05,                   106772.85,52213
,BHARATFIN,EQ,       911.90,                 38015806.75,41688
,BHARATFORG,EQ,       592.50,                 59287164.60,100152
,BHARATGEAR,EQ,       171.80,                  1158248.35,6758
,BHARATIDIL,BZ,         3.00,                     3000.60,994
,BHARATRAS,EQ,      5677.45,                  3341835.95,588
,BHARATWIRE,EQ,        76.20,                   276065.25,3622
,BHUSANSTL,EQ,        28.20,                  4747006.15,168096
,BIGBLOC,EQ,        52.00,                   560342.55,10923
,BIL,EQ,       265.70,                     6111.30,23
,BILENERGY,EQ,          .55,                      137.50,250
,BINANIIND,EQ,        80.50,                  1326028.75,16517
,BINDALAGRO,EQ,        18.20,                   147806.40,7992
,BIOFILCHEM,BE,         7.60,                     6802.00,895
,BIRLACABLE,EQ,       196.65,                  6119158.05,31117
,BIRLACORPN,EQ,       609.65,                  4059913.80,6645
,BIRLAMONEY,EQ,        49.20,                   699905.85,14218
,BKMINDST,EQ,        10.60,                    11032.45,1041
,BLBLIMITED,EQ,         5.50,                    31199.90,5736
,BLISSGVS,EQ,       173.25,                 11269816.10,65049
,BLKASHYAP,EQ,        24.95,                   784468.10,31567
,BLS,EQ,       133.80,                   928116.05,6961
,BLUEBLENDS,EQ,         3.60,                     6727.20,1871
,BLUEDART,EQ,      2842.60,                  1785647.35,631
,BLUESTARCO,EQ,       578.40,                  1407172.30,2435
,BODALCHEM,EQ,       123.35,                 12387999.15,100742
,BOHRA,SM,        26.25,                   699700.00,26000
,BOMDYEING,EQ,       111.10,                133537147.90,1208810
,BOROSIL,EQ,       260.80,                  3718789.10,14270
,BPL,EQ,        41.30,                   744078.75,17960
,BRFL,EQ,        16.00,                   755661.10,47677
,BRIGADE,EQ,       179.35,                   835445.30,4645
,BRIGHT,SM,        40.70,                   358350.00,9000
,BRNL,EQ,        99.40,                   424601.45,4328
,BROOKS,EQ,        67.70,                   302627.85,4461
,BSE,EQ,       619.60,                 18316010.25,29660
,BSELINFRA,EQ,         2.70,                    51750.85,19163
,BSHSL,SM,       130.00,                   519750.00,4000
,BSL,EQ,        50.90,                   319411.70,6269
,BSLGOLDETF,EQ,      2963.50,                    80853.50,27
,BSLNIFTY,EQ,       117.00,                      702.00,6
,BURNPUR,EQ,         4.70,                   233138.80,50140
,BUTTERFLY,EQ,       270.55,                  3100649.00,11564
,BVCL,BE,        16.80,                    12399.05,738
,BYKE,EQ,        75.25,                  1070908.35,14306
,CALSOFT,EQ,        36.30,                   363171.45,9874
,CAMLINFINE,EQ,        56.10,                 15574402.05,279883
,CANBK,EQ,       242.80,                145865238.90,600198
,CANDC,EQ,        27.20,                   272819.20,10063
,CANFINHOME,EQ,       280.20,                 45812569.10,163908
,CANTABIL,EQ,       132.30,                  1026296.70,7812
,CAPACITE,EQ,       216.45,                  1133491.75,5244
,CAPF,EQ,       480.00,                 35933155.40,74904
,CAPLIPOINT,EQ,       432.05,                 10889000.85,25382
,CAPTRUST,EQ,       221.15,                    65118.65,295
,CARBORUNIV,EQ,       357.60,                  3956461.90,11047
,CAREERP,EQ,        73.10,                   107734.60,1469
,CARERATING,EQ,      1075.85,                  4644407.50,4316
,CASTEXTECH,EQ,         1.30,                   271489.35,209619
,CASTROLIND,EQ,       146.15,                 24603763.85,168753
,CCCL,EQ,         2.05,                   116369.00,57967
,CCHHL,EQ,         8.00,                    43636.85,5446
,CCL,EQ,       273.40,                  3575828.75,13098
,CDSL,EQ,       249.30,                 14817017.45,59367
,CEATLTD,EQ,      1170.25,                 93330896.25,79930
,CEBBCO,EQ,        14.55,                    50150.65,3471
,CELEBRITY,EQ,         9.55,                   150966.80,15874
,CELESTIAL,EQ,         8.95,                   114836.80,12851
,CENTENKA,EQ,       283.85,                  6555143.85,23142
,CENTEXT,EQ,         6.35,                   352512.40,55384
,CENTRALBK,EQ,        32.10,                  3630931.75,113147
,CENTRUM,EQ,        40.80,                  1328269.80,32649
,CENTUM,EQ,       384.40,                   252812.25,662
,CENTURYPLY,EQ,       174.30,                  5235276.50,30074
,CENTURYTEX,EQ,       867.10,                 68124708.05,78610
,CERA,EQ,      2423.90,                  2102785.45,867
,CEREBRAINT,EQ,        32.85,                  1260713.75,38301
,CESC,EQ,       684.45,                 76088425.25,110940
,CGCL,EQ,       125.00,                  5481983.90,43664
,CGPOWER,EQ,        36.40,                 21400734.60,590106
,CHAMBLFERT,EQ,       143.25,                  2537557.15,17746
,CHEMFAB,EQ,       148.90,                   204456.35,1375
,CHENNPETRO,EQ,       270.80,                 10156812.40,37545
,CHOLAFIN,EQ,      1293.50,                 18805863.40,14507
,CHROMATIC,EQ,         1.05,                      658.95,629
,CIGNITITEC,EQ,       427.65,                  5667454.10,13228
,CIMMCO,EQ,        51.85,                   134647.85,2601
,CINELINE,EQ,        55.05,                  1592983.25,29021
,CLEDUCATE,EQ,       118.50,                  9162802.60,80253
,CLNINDIA,EQ,       392.60,                  4587584.10,11750
,CMICABLES,EQ,       141.80,                   700527.20,4936
,CMMIPL,SM,        15.50,                    93000.00,6000
,CNOVAPETRO,EQ,        22.05,                   146970.90,6656
,COCHINSHIP,EQ,       388.20,                  7365964.50,18966
,COFFEEDAY,EQ,       291.60,                114795372.15,394203
,COMPINFO,EQ,        24.65,                   164745.10,6568
,COMPUSOFT,EQ,        11.45,                   289153.45,25000
,CONSOFINVT,EQ,        54.95,                   281811.75,5239
