,14-Nov-2018
The Nifty witnessed an intraday movement of about 118.9 points.The closing index was 0.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35973.53
, Traded Quantity (in Lakhs), 15719.49
, Number of Trades, 13249324
, Total Market Capitalisation (Rs. Crores), 13967890.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJANTPHARM,EQ,      1072.80,                125879203.10,117555
,AJMERA,EQ,       163.75,                  4149981.20,25269
,AJOONI,SM,        16.65,                    66600.00,4000
,AKSHARCHEM,EQ,       472.95,                  1189160.20,2507
,AKSHOPTFBR,EQ,        27.05,                 19817120.45,724352
,AKZOINDIA,EQ,      1582.50,                 13038434.95,8177
,ALANKIT,EQ,        20.90,                  6863354.10,324893
,ALBERTDAVD,EQ,       521.05,                 11684027.75,21728
,ALBK,EQ,        38.70,                525537275.45,13707223
,ALCHEM,BE,         2.95,                   231349.45,78094
,ALEMBICLTD,EQ,        42.25,                  5398208.55,126302
,ALICON,EQ,       624.50,                  1122183.25,1783
,ALKALI,EQ,        57.40,                   338636.00,5829
,ALKEM,EQ,      1935.80,                 10351102.65,5325
,ALKYLAMINE,EQ,       800.55,                  6040759.20,7573
,ALLCARGO,EQ,       108.20,                 18256523.15,169147
,ALLSEC,EQ,       222.30,                 11404681.95,50923
,ALMONDZ,EQ,        24.70,                    40625.95,1652
,ALOKTEXT,EQ,         3.25,                  4087445.65,1283957
,ALPA,EQ,        26.00,                   114522.00,4389
,ALPHAGEO,EQ,       490.65,                  1695387.35,3462
,ALPSINDUS,BE,         2.75,                    59759.25,21731
,AMARAJABAT,EQ,       736.15,                277080043.10,373181
,AMBER,EQ,       859.00,                   899867.35,1046
,AMBIKCO,EQ,      1214.80,                  3860570.45,3154
,AMDIND,EQ,        20.50,                   414183.60,20196
,AMJLAND,EQ,        22.35,                   770282.80,34922
,AMRUTANJAN,EQ,       250.65,                  3779519.65,15050
,ANANTRAJ,EQ,        34.90,                  8565768.50,244971
,ANDHRABANK,EQ,        28.55,                 33520963.90,1161967
,ANDHRACEMT,EQ,         6.35,                   483207.85,76778
,ANDHRSUGAR,EQ,       375.95,                 15603833.10,41116
,ANGIND,BE,         1.45,                     4097.90,2849
,ANIKINDS,EQ,        26.80,                    24319.20,897
,ANKITMETAL,BE,          .50,                     4188.50,8460
,ANSALAPI,EQ,        11.80,                   271005.70,23109
,ANSALHSG,EQ,        11.25,                   185396.75,16561
,ANTGRAPHIC,BE,          .55,                     6376.85,11321
,APARINDS,EQ,       620.15,                 54245351.40,87569
,APCL,EQ,       124.65,                   223667.75,1778
,APCOTEXIND,EQ,       554.65,                  2723162.45,4963
,APEX,EQ,       383.10,                 28660230.65,74146
,APLAPOLLO,EQ,      1256.05,                 13362509.45,10670
,APLLTD,EQ,       586.25,                  4754700.00,8104
,APOLLO,EQ,       133.00,                  2033684.75,15266
,APOLLOHOSP,EQ,      1168.05,                616709731.50,531312
,APOLLOTYRE,EQ,       223.35,               1652422500.50,7305882
,APOLSINHOT,EQ,       764.40,                  5820250.00,7108
,APTECHT,EQ,       161.70,                 34897275.05,213258
,ARCHIDPLY,EQ,        44.85,                   287422.00,6371
,ARCHIES,EQ,        28.05,                   866777.90,30687
,ARCOTECH,EQ,         9.65,                  2179017.95,226685
,ARENTERP,BE,         9.90,                      356.40,36
,ARIES,EQ,       108.40,                  4305151.05,38478
,ARIHANT,EQ,        27.85,                   313110.10,11274
,ARIHANTSUP,EQ,        53.15,                  1807946.40,34146
,ARMANFIN,EQ,       370.05,                   943953.50,2535
,AROGRANITE,EQ,        52.20,                   222908.50,4251
,ARROWGREEN,EQ,       100.10,                   652417.20,6505
,ARROWTEX,EQ,        24.65,                    38549.95,1553
,ARSHIYA,EQ,        35.40,                  2841453.55,79435
,ARSSINFRA,EQ,        23.00,                   123656.50,5446
,ARVIND,EQ,       312.45,                521517210.80,1667357
,ARVSMART,EQ,       113.00,                  1564787.35,13907
,ASAHIINDIA,EQ,       282.15,                  2762453.85,9732
,ASAHISONG,EQ,       246.80,                    97719.60,394
,ASAL,EQ,        57.10,                   690093.95,11898
,ASHAPURMIN,EQ,        27.90,                  2377909.45,85502
,ASHIANA,EQ,       124.95,                  4926060.95,39608
,ASHIMASYN,EQ,        14.35,                   261775.85,18156
,ASHOKA,EQ,       128.60,                 29068820.45,223818
,ASIANHOTNR,EQ,       152.75,                   326418.40,2161
,ASIANTILES,EQ,       180.65,                 10163263.55,55925
,ASPINWALL,EQ,       181.80,                   302337.20,1669
,ASSAMCO,EQ,         1.65,                   142777.80,86532
,ASTEC,EQ,       531.15,                  1679173.90,3166
,ASTERDM,EQ,       157.30,                  5152392.75,32622
,ASTRAL,EQ,      1023.00,                115167153.00,114400
,ASTRAMICRO,EQ,        79.90,                  6120170.40,76559
,ASTRAZEN,EQ,      1681.30,                 44113600.05,26419
,ASTRON,EQ,       111.85,                 12850792.45,113761
,ATFL,EQ,       516.80,                  3253495.70,6207
,ATLANTA,EQ,        28.20,                   316233.80,11186
,ATLASCYCLE,BZ,        90.65,                   241650.10,2672
,ATUL,EQ,      3457.60,                 81304226.40,23559
,ATULAUTO,EQ,       336.25,                  1799242.70,5304
,AUBANK,EQ,       576.75,                876579622.65,1510638
,AURIONPRO,EQ,       158.80,                   559057.00,3522
,AUSOMENT,EQ,        52.90,                   241256.35,4539
,AUTOAXLES,EQ,      1251.45,                 13133494.05,10516
,AUTOIND,EQ,        59.70,                   398876.15,6661
,AUTOLITIND,EQ,        43.65,                    70224.95,1602
,AVADHSUGAR,EQ,       434.70,                 35465251.85,80232
,AVANTIFEED,EQ,       369.30,                136027860.75,366236
,AVTNPL,EQ,        29.05,                  2008349.65,68619
,AXISCADES,EQ,        78.25,                  3149754.70,38911
,AXISGOLD,EQ,      2819.75,                   555376.65,200
,AXISNIFTY,EQ,      1082.42,                    43237.61,40
,AYMSYNTEX,EQ,        45.65,                   107638.35,2376
,BAFNAPHARM,EQ,        13.90,                    52172.20,3735
,BAGFILMS,EQ,         5.00,                   920043.15,184312
,BAJAJCORP,EQ,       351.20,                  7802800.50,22152
,BAJAJELEC,EQ,       500.75,                 36212348.45,72049
,BAJAJHIND,EQ,        11.15,                 76152736.15,6722505
,BAJAJHLDNG,EQ,      2925.25,                 52950068.25,18138
,BALAJITELE,EQ,       101.80,                  1392087.10,13541
,BALAMINES,EQ,       479.95,                 11843950.50,24612
,BALKRISHNA,EQ,        53.55,                   778861.95,14458
,BALKRISIND,EQ,       963.05,               1555486229.20,1611012
,BALLARPUR,EQ,         6.10,                  1918510.35,312890
,BALMLAWRIE,EQ,       199.20,                  8720711.30,43727
,BALPHARMA,EQ,        86.00,                  1235707.95,14313
,BALRAMCHIN,EQ,       113.30,                831844277.20,7283495
,BANARISUG,EQ,      1781.75,                  1236117.35,686
,BANCOINDIA,EQ,       177.00,                  7122956.95,40046
,BANG,EQ,        51.05,                  1563698.70,31424
,BANKBEES,EQ,      2645.02,                179001897.79,67603
,BANKINDIA,EQ,        82.50,               1074117100.35,13011145
,BANSWRAS,EQ,        86.65,                   737265.20,8761
,BARTRONICS,EQ,         7.20,                   153250.70,21201
,BASF,EQ,      1591.50,                  3936625.45,2464
,BASML,EQ,       200.00,                    16434.00,83
,BATAINDIA,EQ,       998.60,                688697500.10,686576
,BAYERCROP,EQ,      3962.65,                 12864321.35,3264
,BBL,EQ,      1193.85,                 29873562.30,24758
,BBTC,EQ,      1382.05,                174806820.15,124665
,BBTCL,SM,        52.00,                   312000.00,6000
