,15-Nov-2018
The Nifty witnessed an intraday movement of about 89 points.The closing index was 0.38 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31607.69
, Traded Quantity (in Lakhs), 14482.03
, Number of Trades, 11866468
, Total Market Capitalisation (Rs. Crores), 14002885.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CELESTIAL,EQ,         9.15,                   637770.50,70390
,CENTENKA,EQ,       281.80,                  5356384.40,18985
,CENTEXT,EQ,         6.90,                  1723145.70,251228
,CENTRALBK,EQ,        30.55,                  9218203.90,301833
,CENTRUM,EQ,        41.95,                  8523637.05,208108
,CENTUM,EQ,       381.30,                  2325895.90,6101
,CENTURYPLY,EQ,       167.10,                 17294599.65,103709
,CENTURYTEX,EQ,       905.85,                420262775.95,467164
,CERA,EQ,      2431.50,                 10910918.10,4476
,CEREBRAINT,EQ,        30.70,                  1349684.90,43344
,CES1RPG,MF,         9.15,                   168504.50,18540
,CESC,EQ,       683.50,                230650714.90,336096
,CGCL,EQ,       116.75,                 31073604.75,252789
,CGPOWER,EQ,        35.00,                225195940.10,6490752
,CHAMBLFERT,EQ,       143.10,                 12891506.00,90687
,CHEMFAB,EQ,       144.95,                   138818.30,967
,CHENNPETRO,EQ,       272.90,                 78464793.95,288679
,CHOLAFIN,EQ,      1294.75,                539093412.75,417546
,CHROMATIC,EQ,         1.05,                    46105.65,43572
,CIGNITITEC,EQ,       415.65,                 17652433.15,42704
,CIMMCO,EQ,        45.60,                  4125843.85,88848
,CINELINE,EQ,        48.70,                  1446903.20,29571
,CINEVISTA,EQ,         6.50,                    82360.50,12500
,CLEDUCATE,EQ,       121.75,                    47941.85,396
,CLNINDIA,EQ,       389.70,                  3259769.05,8317
,CMICABLES,EQ,       130.60,                  6968724.85,51957
,CMMIPL,SM,        14.40,                    43200.00,3000
,CNOVAPETRO,EQ,        23.00,                    62862.05,2717
,COCHINSHIP,EQ,       382.35,                 16873345.40,44000
,COFFEEDAY,EQ,       277.80,                102545555.45,367428
,COMPINFO,EQ,        24.55,                   167435.80,6811
,COMPUSOFT,EQ,        12.15,                    84362.05,6899
,CONSOFINVT,EQ,        51.90,                    50978.65,984
,CONTROLPR,EQ,       339.05,                   273799.55,805
,CORALFINAC,EQ,        15.80,                   185317.40,11682
,CORDSCABLE,EQ,        64.60,                   533717.55,8281
,COROMANDEL,EQ,       420.80,                 12095734.45,28790
,CORPBANK,EQ,        27.55,                  6868225.85,248893
,COSMOFILMS,EQ,       234.65,                  2330147.75,9879
,COUNCODOS,EQ,         2.90,                    76286.30,25730
,COX&KINGS,EQ,       189.95,                  5537563.65,29313
,CPSEETF,EQ,        25.60,                  3748368.06,145758
,CREDITACC,EQ,       358.90,                 14241030.95,39809
,CREST,EQ,       143.75,                   362643.05,2512
,CRISIL,EQ,      1488.25,                  3428079.40,2301
,CROMPTON,EQ,       203.60,                153014615.65,750712
,CTE,EQ,        55.75,                   427889.50,7640
,CUB,EQ,       164.00,                 87933471.45,535966
,CUBEXTUB,EQ,        13.30,                     7224.45,547
,CUMMINSIND,EQ,       817.05,                654421847.20,810534
,CUPID,EQ,       161.95,                  1252696.95,7718
,CYBERTECH,EQ,        43.45,                  1263835.00,28041
,CYIENT,EQ,       655.85,                200772456.50,303566
,DAAWAT,EQ,        41.95,                 56934624.55,1376682
,DALMIABHA,EQ,      2243.45,               1075542547.10,505854
,DALMIASUG,EQ,       105.75,                 20726425.05,195489
,DAMODARIND,EQ,        48.00,                   595946.50,12424
,DANGEE,SM,       208.10,                  1674560.00,8000
,DATAMATICS,EQ,       110.75,                  3323522.15,29999
,DBCORP,EQ,       179.15,                 19933914.25,111123
,DBL,EQ,       492.15,                695278489.25,1433823
,DBREALTY,EQ,        21.25,                  7750948.80,361947
,DBSTOCKBRO,EQ,         8.70,                     9334.70,1073
,DCAL,EQ,       227.45,                 25198401.90,110524
,DCBBANK,EQ,       156.60,                222511028.40,1423173
,DCM,EQ,        75.75,                   321497.70,4210
,DCMSHRIRAM,EQ,       410.75,                 21775052.15,52787
,DCW,EQ,        21.70,                 17190820.95,800564
,DECCANCE,EQ,       382.00,                  3394798.95,8948
