symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2014-01-09,660.90,663.20,-0.0035,0.0180,,0.3343
ADANIPORTS,2014-01-09,149.55,150.75,-0.0080,0.0228,,0.4241
BEL,2014-01-09,1012.05,1018.85,-0.0067,0.0088,,0.1662
BOSCHLTD,2014-01-09,9752.45,9864.85,-0.0115,0.0197,,0.3687
CUMMINSIND,2014-01-09,470.35,471.60,-0.0027,0.0180,,0.3343
DLF,2014-01-09,158.80,162.05,-0.0203,0.0230,,0.4356
HINDALCO,2014-01-09,112.65,115.25,-0.0228,0.0158,,0.3114
INDHOTEL,2014-01-09,58.55,58.65,-0.0017,0.0244,,0.4528
LT,2014-01-09,971.90,998.35,-0.0269,0.0195,,0.3821
MANAPPURAM,2014-01-09,18.15,15.15,0.1807,0.0248,,0.9629
MARUTI,2014-01-09,1811.80,1837.50,-0.0141,0.0143,,0.2732
PGEL,2014-01-09,211.60,214.30,-0.0127,0.0516,,0.9572
SBIN,2014-01-09,1639.80,1657.15,-0.0105,0.0150,,0.2828
SUZLON,2014-01-09,11.45,11.80,-0.0301,0.0412,,0.7757
TRENT,2014-01-09,1150.15,1169.50,-0.0167,0.0269,,0.5044
