symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2013-07-04,24497,7005,28.60
ADANIPORTS,EQ,2013-07-04,457355,259952,56.84
BEL,EQ,2013-07-04,7933,5409,68.18
BOSCHLTD,EQ,2013-07-04,3482,2942,84.49
CUMMINSIND,EQ,2013-07-04,40953,31807,77.67
DLF,EQ,2013-07-04,6819023,390102,5.72
HINDALCO,EQ,2013-07-04,4699475,1350713,28.74
INDHOTEL,EQ,2013-07-04,246755,138245,56.03
LT,EQ,2013-07-04,1320115,539815,40.89
MANAPPURAM,EQ,2013-07-04,1739064,1177354,67.70
MARUTI,EQ,2013-07-04,278194,71858,25.83
PGEL,EQ,2013-07-04,16595,12428,74.89
SBIN,EQ,2013-07-04,2849453,609137,21.38
SBIN,N1,2013-07-04,5,5,100.00
SBIN,N3,2013-07-04,27,27,100.00
SBIN,N5,2013-07-04,211,207,98.10
SUZLON,EQ,2013-07-04,7429828,1910892,25.72
TRENT,EQ,2013-07-04,4011,3458,86.21
