symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-08-28,197684,111692,56.50
ADANIPORTS,EQ,2023-08-28,5067265,1608598,31.74
BEL,EQ,2023-08-28,13346571,5499311,41.20
BOSCHLTD,EQ,2023-08-28,22053,12736,57.75
CUMMINSIND,EQ,2023-08-28,1199396,459739,38.33
DIXON,EQ,2023-08-28,379059,91049,24.02
DLF,EQ,2023-08-28,3252263,1194468,36.73
DMART,EQ,2023-08-28,619104,413006,66.71
HAL,EQ,2023-08-28,740465,292180,39.46
HINDALCO,EQ,2023-08-28,4259997,2192880,51.48
INDHOTEL,EQ,2023-08-28,2570095,972571,37.84
INDIGO,EQ,2023-08-28,257414,96869,37.63
LT,EQ,2023-08-28,1551734,895886,57.73
MANAPPURAM,EQ,2023-08-28,21861747,8765088,40.09
MARUTI,EQ,2023-08-28,325938,153048,46.96
PAYTM,EQ,2023-08-28,4182743,1241663,29.69
PGEL,EQ,2023-08-28,349918,150958,43.14
SBIN,EQ,2023-08-28,9711932,2807235,28.91
SUZLON,EQ,2023-08-28,192627964,84223189,43.72
TRENT,EQ,2023-08-28,696730,181963,26.12
