symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-12-04,798523,333654,41.78
ADANIPORTS,EQ,2023-12-04,11064795,4731378,42.76
BEL,EQ,2023-12-04,51416976,24787375,48.21
BOSCHLTD,EQ,2023-12-04,32269,15357,47.59
CUMMINSIND,EQ,2023-12-04,668617,346643,51.84
DIXON,EQ,2023-12-04,888607,218821,24.63
DLF,EQ,2023-12-04,4588495,1726280,37.62
DMART,EQ,2023-12-04,389629,226060,58.02
HAL,EQ,2023-12-04,2351668,765436,32.55
HINDALCO,EQ,2023-12-04,5985489,2848832,47.60
INDHOTEL,EQ,2023-12-04,3028240,1396677,46.12
INDIGO,EQ,2023-12-04,664340,287371,43.26
LT,EQ,2023-12-04,3095974,1529641,49.41
MANAPPURAM,EQ,2023-12-04,15776012,6760394,42.85
MARUTI,EQ,2023-12-04,625235,357310,57.15
PAYTM,EQ,2023-12-04,1891411,1190602,62.95
PGEL,EQ,2023-12-04,40480,20411,50.42
SBIN,EQ,2023-12-04,26077882,13863658,53.16
TRENT,EQ,2023-12-04,685830,347182,50.62
