,17-Dec-2019
The Nifty witnessed an intraday movement of about 112.4 points.The closing index was 0.92 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36198.08
, Traded Quantity (in Lakhs), 18283.74
, Number of Trades, 11933482
, Total Market Capitalisation (Rs. Crores), 15285665.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBERTDAVD,EQ,       395.75,                  2364676.35,5988
,ALBK,EQ,        19.15,                 24114675.60,1256106
,ALCHEM,BE,          .75,                     6818.25,9099
,ALEMBICLTD,EQ,        51.20,                  3417861.70,66225
,ALICON,EQ,       360.75,                    45243.20,126
,ALKALI,EQ,        38.85,                    79850.05,2023
,ALKEM,EQ,      2066.30,                 24487035.70,11820
,ALKYLAMINE,EQ,      1055.45,                  3040472.00,2890
,ALLCARGO,EQ,        92.95,                  7993304.35,85688
,ALLSEC,EQ,       286.90,                    53618.10,189
,ALMONDZ,EQ,        10.15,                    23717.90,2236
,ALOKTEXT,BE,         2.95,                   861739.25,292115
,ALPA,EQ,        15.15,                   405437.10,26169
,ALPHAGEO,EQ,       167.70,                   539538.55,3219
,ALPSINDUS,BE,         1.80,                    13811.40,7673
,AMARAJABAT,EQ,       749.10,               1023617664.00,1379545
,AMBER,EQ,      1022.05,                  8866812.45,8656
,AMBIKCO,EQ,       845.85,                   667304.05,788
,AMDIND,EQ,        16.35,                   314985.45,19709
,AMJLAND,EQ,        19.00,                   334337.45,17595
,AMJUMBO,SM,        13.10,                   512400.00,40000
,AMRUTANJAN,EQ,       447.95,                  5042910.30,11245
,ANANTRAJ,EQ,        32.70,                  4416739.30,135008
,ANDHRABANK,EQ,        17.50,                 10392731.35,588418
,ANDHRACEMT,EQ,         2.35,                    47041.55,20340
,ANDHRSUGAR,EQ,       284.75,                  3484671.00,12267
,ANIKINDS,EQ,         8.20,                     2592.75,325
,ANKITMETAL,BE,          .50,                    62623.25,124097
,ANSALAPI,EQ,         4.50,                   257192.15,57657
,ANSALHSG,BE,         5.00,                   183350.90,36389
,ANTGRAPHIC,BE,          .60,                    37202.45,67315
,ANUP,EQ,       460.40,                 11540977.00,24801
,APARINDS,EQ,       402.90,                  2582469.75,6433
,APCL,EQ,       141.30,                   145508.70,1028
,APCOTEXIND,EQ,       154.50,                  3538939.60,23102
,APEX,EQ,       302.80,                 32225661.25,105720
,APLAPOLLO,EQ,      1637.90,                 35508861.75,21510
,APLLTD,EQ,       551.60,                 27159475.35,49264
,APOLLO,EQ,        69.55,                  2237738.80,31811
,APOLLOHOSP,EQ,      1363.65,               1607565240.40,1184021
,APOLLOPIPE,EQ,       340.10,                  1191286.10,3492
,APOLLOTYRE,EQ,       165.40,                286940821.15,1728569
,APOLSINHOT,EQ,       662.95,                  1113230.00,1684
,APTECHT,EQ,       166.50,                120213802.40,744743
,ARCHIDPLY,EQ,        26.25,                    66533.00,2547
,ARCHIES,EQ,        20.55,                   791940.45,38145
,ARCOTECH,BE,         1.95,                   127147.05,63251
,ARIES,EQ,        63.05,                   726654.85,11593
,ARIHANT,EQ,        21.90,                     1725.50,81
,ARIHANTSUP,EQ,        23.25,                    73113.25,3195
,ARMANFIN,EQ,       598.55,                  8353731.05,13946
,AROGRANITE,EQ,        37.50,                    44638.05,1194
,ARROWGREEN,EQ,        48.60,                   296211.90,6050
,ARROWTEX,EQ,         8.85,                   399845.85,45298
,ARSHIYA,EQ,        17.20,                   589534.90,33958
,ARSSINFRA,EQ,        22.25,                  1004936.60,44513
,ARVIND,EQ,        39.65,                104860698.25,2658670
,ARVINDFASN,EQ,       418.35,                 43750391.60,105677
,ARVSMART,EQ,        89.20,                   967611.20,10973
,ASAHIINDIA,EQ,       199.60,                  1252600.05,6243
,ASAHISONG,EQ,       139.80,                  1695943.55,12341
,ASAL,EQ,        31.50,                    32810.70,1059
,ASCOM,ST,        30.00,                   120000.00,4000
,ASHAPURMIN,EQ,        25.35,                   457272.70,18027
,ASHIANA,EQ,        96.35,                 29293761.15,303861
,ASHIMASYN,EQ,         6.20,                   127813.65,20699
,ASHOKA,EQ,        92.80,                 18560301.65,199625
,ASIANHOTNR,EQ,        95.75,                   184711.00,1906
,ASIANTILES,EQ,       228.20,                 10478870.30,46457
,ASPINWALL,EQ,       138.90,                   400298.50,2887
,ASTEC,EQ,       395.00,                  5526807.70,13921
,ASTERDM,EQ,       156.55,                 21391341.75,134822
,ASTRAL,EQ,      1145.30,                139263005.25,121727
,ASTRAMICRO,EQ,        84.90,                  8971480.05,105085
,ASTRAZEN,EQ,      2858.65,                116538765.90,40447
,ASTRON,EQ,        38.70,                  6407965.80,162821
,ATFL,EQ,       613.35,                  1237951.20,2013
,ATLANTA,EQ,         5.80,                    73398.60,12695
,ATLASCYCLE,BE,        42.00,                   232930.15,5499
,ATUL,EQ,      4003.95,                 27024801.95,6726
,ATULAUTO,EQ,       239.85,                  3028486.90,12637
,AUBANK,EQ,       797.15,                 77436394.60,97233
,AURIONPRO,EQ,        61.40,                   914710.45,14737
,AUSOMENT,BE,        32.75,                    18771.90,547
,AUTOAXLES,EQ,       786.75,                  3074152.80,3885
,AUTOIND,BE,        25.80,                   116719.30,4543
,AUTOLITIND,EQ,        19.70,                    96404.70,4861
,AVADHSUGAR,EQ,       253.65,                 17650440.40,69491
,AVANTIFEED,EQ,       540.50,                166266807.05,308507
,AVROIND,SM,        53.40,                   310800.00,6000
,AVTNPL,EQ,        30.65,                  1865465.35,59970
,AXISCADES,EQ,        55.25,                 11679124.85,211822
,AXISGOLD,EQ,      3332.75,                   668587.75,201
,AXISNIFTY,EQ,      1247.08,                   117247.37,94
,AYMSYNTEX,EQ,        28.70,                   845510.60,29103
,BAGFILMS,BE,         1.90,                    50096.50,26297
,BAJAJCON,EQ,       223.60,                 25749930.60,115786
,BAJAJELEC,EQ,       341.40,                 47496972.75,139377
,BAJAJHIND,EQ,         6.55,                  7005668.50,1060591
,BALAJITELE,EQ,        52.15,                  3010803.60,57907
,BALAMINES,EQ,       355.20,                  8125968.05,23149
,BALAXI,EQ,        78.80,                    90474.35,1189
,BALKRISHNA,EQ,        17.30,                   431269.55,25074
,BALKRISIND,EQ,       949.85,                465217099.65,489263
,BALLARPUR,BE,          .40,                  3043651.25,7604827
,BALMLAWRIE,EQ,       187.80,                 17064059.80,90526
,BALPHARMA,EQ,        40.15,                   165587.20,4150
,BALRAMCHIN,EQ,       170.10,                222801214.10,1309459
,BANARBEADS,EQ,        28.00,                    23630.65,814
,BANARISUG,EQ,      1124.05,                  1514313.40,1329
,BANCOINDIA,EQ,        94.45,                  2206909.95,23249
,BANG,EQ,        17.00,                   105647.75,6253
,BANKBEES,EQ,      3276.34,                  7431227.63,2268
,BANKINDIA,EQ,        71.25,                131466828.15,1839246
,BANSWRAS,BE,        87.50,                   175212.20,1978
,BARTRONICS,BE,         1.60,                    13130.95,8395
,BASF,EQ,       947.80,                 14556553.10,15279
,BASML,EQ,       117.90,                   131098.25,1138
,BATAINDIA,EQ,      1683.20,                679902418.20,403605
,BAYERCROP,EQ,      3600.15,                 27706173.35,7753
,BBL,EQ,       790.70,                  3992567.60,5016
,BBTC,EQ,      1037.20,                196436272.15,188562
,BCG,BE,         5.80,                  7913404.40,1345060
,BCONCEPTS,SM,        25.95,                    77850.00,3000
,BCP,EQ,        11.55,                    78112.65,6763
,BDL,EQ,       284.45,                 11872022.45,41508
,BEARDSELL,EQ,         7.90,                     8329.05,1080
,BEDMUTHA,BE,        16.10,                    39791.80,2486
,BEL,EQ,       100.20,                415172892.45,4131222
,BEML,EQ,       987.10,                293790597.35,296283
,BEPL,EQ,        42.25,                  8259719.50,193524
,BETA,SM,        78.00,                   307200.00,4000
,BFINVEST,EQ,       325.90,                 62270532.40,191784
,BFUTILITIE,EQ,       319.80,                267896599.10,828017
,BGLOBAL,BE,         1.90,                     6182.50,3225
,BGRENERGY,EQ,        38.35,                 53498581.65,1370588
,BHAGERIA,EQ,        92.90,                   662991.05,7235
,BHAGYANGR,EQ,        18.05,                   103222.20,5744
,BHAGYAPROP,EQ,        18.50,                      298.20,16
,BHANDARI,EQ,         1.10,                    86747.30,80505
,BHARATFORG,EQ,       485.60,               1605033181.60,3348800
,BHARATGEAR,EQ,        63.20,                   477232.45,7537
,BHARATRAS,EQ,      6165.95,                  3819546.05,617
,BHARATWIRE,EQ,        24.05,                   687989.55,28133
,BHEL,EQ,        45.90,                398944372.15,8676075
,BIGBLOC,BE,        35.25,                    11646.50,330
,BIL,EQ,       139.00,                   107438.40,774
,BILENERGY,EQ,         1.10,                   149785.65,133736
,BINDALAGRO,EQ,         9.05,                   253297.65,27805
,BIOFILCHEM,BE,        14.85,                    91075.05,6133
,BIRLACABLE,EQ,        53.50,                  2699302.15,50150
,BIRLACORPN,EQ,       618.40,                 23150897.95,36991
,BIRLAMONEY,EQ,        35.05,                  3048075.15,86389
,BKMINDST,EQ,          .70,                     6256.60,8769
,BLBLIMITED,EQ,         4.80,                   155270.55,33202
,BLISSGVS,EQ,       150.00,                 66974833.30,448094
,BLKASHYAP,EQ,         9.65,                   290007.95,29920
,BLS,EQ,        65.40,                  1195163.75,18229
,BLUEBLENDS,BE,          .90,                     2495.15,2762
,BLUECOAST,BE,         3.30,                        3.30,1
,BLUEDART,EQ,      2214.20,                 12831101.55,5801
,BLUESTARCO,EQ,       795.35,                 75414087.05,94834
,BODALCHEM,EQ,        57.45,                  3397659.70,59046
,BOMDYEING,EQ,        76.90,                109839344.75,1440418
,BOROSIL,EQ,       166.10,                  9875015.90,58848
,BPL,EQ,        19.10,                  3679526.35,190526
,BRFL,BZ,         4.15,                   152554.85,35627
,BRIGADE,EQ,       209.20,                 65132998.80,310258
,BRITANNIA,N2,        31.36,                  8596532.94,274423
,BRNL,EQ,        59.55,                   127653.30,2136
,BROOKS,EQ,        27.05,                   416272.95,15424
,BSE,EQ,       491.10,                 28029162.75,57015
,BSELINFRA,EQ,         1.00,                    16123.40,15947
,BSHSL,SM,       113.00,                   135600.00,1200
,BSL,EQ,        26.65,                    82274.90,3059
,BSLGOLDETF,EQ,      3497.00,                    10491.00,3
,BSLNIFTY,EQ,       132.88,                     3313.77,25
,BSOFT,EQ,        68.15,                 15707250.10,231338
,BURNPUR,BE,         1.30,                    30850.10,23157
,BUTTERFLY,EQ,       193.20,                  2381696.15,12260
,BVCL,BE,        12.45,                      573.30,46
,BYKE,EQ,        17.20,                   197903.10,11455
,CALSOFT,EQ,        14.35,                   348358.80,24633
,CAMLINFINE,EQ,        72.45,                 14519152.50,198421
,CANBK,EQ,       229.10,               1364221307.55,5940943
,CANDC,BZ,         3.00,                     4953.00,1651
,CANFINHOME,EQ,       419.60,                394547363.65,939895
,CANTABIL,EQ,       269.80,                  8848194.40,33061
,CAPACITE,EQ,       180.80,                  5579154.10,31492
,CAPLIPOINT,EQ,       308.80,                 10506917.10,33728
,CAPTRUST,EQ,        89.40,                    39157.20,438
,CARBORUNIV,EQ,       326.30,                 23330883.10,71700
,CAREERP,EQ,       110.45,                  3400933.35,30417
,CARERATING,EQ,       480.50,                  7761093.10,16177
,CASTEXTECH,BE,          .35,                     4189.80,11766
,CASTROLIND,EQ,       132.00,                360396128.45,2705725
,CCHHL,BE,         3.10,                   149288.45,47498
,CCL,EQ,       197.60,                 16054214.10,82403
,CDSL,EQ,       222.15,                 89991945.55,407538
,CEATLTD,EQ,       991.30,                107106463.80,108051
,CEBBCO,EQ,        15.15,                   368837.25,24489
,CELEBRITY,EQ,         5.40,                     2879.15,534
,CELESTIAL,BE,         3.20,                    21495.30,6915
,CENTENKA,EQ,       181.45,                  1356187.05,7433
,CENTEXT,EQ,         2.40,                   126943.45,53572
,CENTRALBK,EQ,        18.90,                 11518531.20,606776
,CENTRUM,EQ,        20.00,                  1039934.00,52018
,CENTUM,EQ,       347.75,                  1567406.70,4479
,CENTURYPLY,EQ,       162.50,                 18151600.50,111836
,CENTURYTEX,EQ,       490.85,                595377434.00,1208044
,CERA,EQ,      2554.80,                  4851230.95,1901
,CEREBRAINT,BE,        23.30,                  1122874.35,48182
,CESC,EQ,       743.30,                160560277.75,217396
,CESCVENT,EQ,       301.30,                  1534408.35,5103
,CGCL,EQ,       193.10,                 64413149.90,334444
,CGPOWER,EQ,        11.65,                  8752855.40,748013
,CHALET,EQ,       343.20,                  1320133.35,3882
,CHAMBLFERT,EQ,       149.70,                 72020675.90,485410
,CHEMBOND,EQ,       202.00,                   213347.80,1052
,CHEMFAB,EQ,       163.60,                   673757.60,4161
,CHENNPETRO,EQ,       115.75,                 17103159.50,147637
,CHOLAFIN,EQ,       310.75,                373545916.70,1205861
,CHOLAHLDNG,EQ,       496.35,                198498843.05,398435
,CHROMATIC,EQ,          .50,                     3145.50,6291
,CIGNITITEC,EQ,       306.60,                 66708087.75,219548
,CIMMCO,EQ,        20.25,                    84581.40,4144
,CINELINE,EQ,        30.75,                   279886.25,9137
,CINEVISTA,EQ,         8.40,                    37678.40,4549
,CKFSL,EQ,          .45,                    76511.90,167910
,CKPLEISURE,SM,         6.95,                   883600.00,128000
,CLEDUCATE,EQ,        70.70,                   120161.30,1697
,CLNINDIA,EQ,       319.80,                  3194065.60,9962
,CMICABLES,EQ,        48.05,                   761886.85,15847
,CMMIPL,SM,         2.75,                    55950.00,21000
,CNOVAPETRO,EQ,         7.50,                       67.20,9
,COCHINSHIP,EQ,       389.05,                 22818511.25,58670
,COFFEEDAY,BE,        44.95,                 19667057.50,439725
,COMPINFO,EQ,        11.70,                  2452644.50,210058
,COMPUSOFT,EQ,         7.75,                   221526.05,28787
,CONFIPET,EQ,        27.75,                  9952946.40,358830
,CONSOFINVT,EQ,        35.35,                    19462.65,551
,CONTI,SM,        18.30,                   804600.00,44000
,CONTROLPR,EQ,       233.10,                   673480.45,2898
,CORALFINAC,EQ,        10.55,                   255437.90,24482
,CORDSCABLE,EQ,        42.30,                   220486.30,5205
,COROMANDEL,EQ,       509.25,                 84079708.05,165132
,CORPBANK,EQ,        24.95,                 20450152.25,812050
,COSMOFILMS,EQ,       226.60,                  4398297.80,19362
,COUNCODOS,EQ,         1.85,                     6253.05,3380
,COX&KINGS,EQ,         1.65,                  6572344.45,4002965
,CPSEETF,EQ,        22.80,                 22681680.66,995830
