,02-Dec-2019
The Nifty witnessed an intraday movement of about 113.45 points.The closing index was 0.07 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39279.95
, Traded Quantity (in Lakhs), 31537.39
, Number of Trades, 12067439
, Total Market Capitalisation (Rs. Crores), 15301251.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12056.05,     12137.05,     12137.15,     12023.70,     12048.20,-7.85
,NIFTY50 EQL Wgt,     12426.90,     12488.50,     12488.90,     12329.45,     12355.70,-71.2
,NIFTY100 EQL Wgt,     13452.00,     13505.40,     13505.60,     13395.00,     13434.60,-17.4
,NIFTY100 LowVol30,      8884.90,      8905.00,      8905.20,      8835.15,      8868.50,-16.4
,NIFTY Alpha 50,     12771.40,     12790.30,     12799.40,     12642.85,     12708.15,-63.25
,NIFTY MIDCAP 150,      6321.65,      6328.50,      6331.55,      6268.20,      6288.20,-33.45
,NIFTY SMLCAP 50,      2795.10,      2796.85,      2800.50,      2762.65,      2765.65,-29.45
,NIFTY SMLCAP 250,      4831.05,      4833.65,      4839.05,      4791.95,      4795.85,-35.2
,NIFTY MIDSML 400,      5787.40,      5792.65,      5795.40,      5741.25,      5753.15,-34.25
,NIFTY200 QUALTY30,      9779.65,      9789.10,      9793.35,      9690.30,      9731.65,-48
,Nifty IT,     14998.05,     15056.85,     15070.65,     14819.40,     14852.00,-146.05
,Nifty Next 50,     28546.45,     28581.05,     28592.10,     28378.00,     28539.45,-7
,Nifty Bank,     31946.10,     32008.30,     32024.10,     31720.60,     31871.45,-74.65
,NIFTY MIDCAP 100,     17222.15,     17232.75,     17237.65,     17021.15,     17103.45,-118.7
,Nifty 500,      9813.65,      9863.10,      9863.15,      9778.60,      9798.00,-15.65
,Nifty 100,     12182.60,     12255.40,     12255.50,     12147.70,     12175.15,-7.45
,Nifty Midcap 50,      4722.80,      4725.95,      4726.20,      4659.85,      4689.45,-33.35
,Nifty Realty,       282.05,       281.70,       282.30,       277.95,       281.05,-1
,Nifty Infra,      3323.30,      3367.05,      3369.50,      3325.45,      3333.50,10.2
,Nifty Energy,     16232.15,     16431.50,     16431.50,     16213.30,     16258.50,26.35
,Nifty FMCG,     30975.50,     30977.00,     31018.55,     30823.05,     30889.50,-86
,Nifty MNC,     13779.20,     13818.85,     13844.35,     13769.15,     13799.80,20.6
,Nifty Pharma,      8189.95,      8195.45,      8198.95,      8056.20,      8128.95,-61
,Nifty PSE,      3261.60,      3263.30,      3263.70,      3223.45,      3230.20,-31.4
,Nifty PSU Bank,      2669.85,      2677.10,      2684.70,      2636.90,      2646.75,-23.1
,Nifty Serv Sector,     17063.20,     17146.65,     17146.65,     16957.55,     17008.70,-54.5
,India VIX,13.8975,13.8975,15.8450,13.4975,14.2025,0.3050
,Nifty Auto,      8086.00,      8070.70,      8087.35,      7995.15,      8012.75,-73.25
,Nifty Metal,      2625.50,      2631.85,      2637.10,      2612.15,      2632.65,7.15
,Nifty Media,      1834.90,      1837.35,      1868.05,      1815.05,      1826.35,-8.55
,NIFTY SMLCAP 100,      5814.85,      5820.65,      5824.75,      5758.05,      5762.25,-52.6
,Nifty 200,      6220.70,      6254.30,      6254.35,      6199.40,      6212.75,-7.95
,Nifty Div Opps 50,      2540.00,      2543.05,      2545.60,      2516.35,      2519.15,-20.85
,Nifty Commodities,      3431.90,      3451.35,      3451.60,      3423.15,      3431.85,-.05
,Nifty Consumption,      4994.80,      5021.25,      5029.20,      4989.70,      5003.10,8.3
,Nifty Fin Service,     14208.85,     14236.35,     14237.90,     14102.25,     14163.05,-45.8
,Nifty50 Div Point,       117.35,       117.35,       117.35,       117.35,       117.35,0
,Nifty100 Liq 15,      3828.85,      3839.65,      3841.95,      3779.70,      3789.95,-38.9
,Nifty CPSE,      1943.00,      1940.10,      1941.40,      1912.80,      1919.90,-23.1
,Nifty GrowSect 15,      6395.40,      6409.60,      6411.40,      6357.05,      6379.35,-16.05
,Nifty50 PR 2x Lev,      5214.05,      5282.05,      5282.05,      5184.40,      5205.20,-8.85
,Nifty50 PR 1x Inv,       386.75,       384.30,       387.90,       384.30,       387.15,.4
,Nifty50 TR 2x Lev,      6777.25,      6865.65,      6865.65,      6738.70,      6765.80,-11.45
,Nifty50 TR 1x Inv,       339.25,       337.10,       340.30,       337.10,       339.60,.35
,Nifty50 Value 20,      5431.20,      5475.35,      5475.55,      5408.15,      5417.50,-13.7
,Nifty Mid Liq 15,      4057.15,      4059.65,      4060.70,      4007.05,      4025.55,-31.6
,Nifty Pvt Bank,     17641.45,     17678.30,     17690.70,     17543.40,     17630.25,-11.2
,NIFTY100 Qualty30,      2712.40,      2717.10,      2718.05,      2686.80,      2696.95,-15.45
,Nifty GS 8 13Yr,      2026.44,      2026.82,      2027.74,      2024.46,      2025.26,-1.18
,Nifty GS 10Yr,      1869.76,      1870.09,      1872.08,      1865.87,      1867.64,-2.12
,Nifty GS 10Yr Cln,       949.79,       949.79,       950.81,       947.63,       948.53,-1.26
,Nifty GS 4 8Yr,      2149.39,      2149.81,      2150.19,      2147.83,      2148.77,-.62
,Nifty GS 11 15Yr,      2144.97,      2145.38,      2146.04,      2143.99,      2144.32,-.65
,Nifty GS 15YrPlus,      2310.29,      2310.74,      2310.74,      2310.10,      2310.74,.45
,Nifty GS Compsite,      2060.57,      2060.96,      2061.60,      2058.56,      2059.42,-1.15

,ADVANCES,711
,DECLINES,1134
,UNCHANGED,126

,Total securities that have hit their price bands today,379

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IBULHSGFIN,EQ,       290.50,       304.15,4.7,2892.18
,BHARTIARTL,EQ,       442.45,       458.60,3.65,2624.03
,YESBANK,EQ,        68.30,        64.05,-6.22,2399.05
,RELIANCE,EQ,      1551.15,      1586.50,2.28,2273.67
,IDEA,EQ,         6.85,         7.80,13.87,1183.97
,ZEEL,EQ,       293.05,       292.80,-0.09,999.88
,HDFC,EQ,      2297.25,      2306.60,0.41,929.6
,BAJFINANCE,EQ,      4074.20,      3950.45,-3.04,819.2
,TCS,EQ,      2053.25,      2021.05,-1.57,773.58
,INFRATEL,EQ,       276.30,       265.50,-3.91,734.16
,SBIN,EQ,       341.85,       338.50,-0.98,700.61
,INFY,EQ,       696.35,       692.70,-0.52,650.77
,INDUSINDBK,EQ,      1569.10,      1576.00,0.44,615.38
,AXISBANK,EQ,       739.05,       744.30,0.71,614.19
,RBLBANK,EQ,       374.15,       373.40,-0.2,610.99
,HDFCBANK,EQ,      1274.95,      1265.75,-0.72,565.85
,EICHERMOT,EQ,     22881.40,     21713.10,-5.11,529.7
,ICICIBANK,EQ,       512.60,       510.90,-0.33,517.07
,MARUTI,EQ,      7245.85,      7139.35,-1.47,504.95
,GRASIM,EQ,       787.05,       807.25,2.57,413.14
,LT,EQ,      1330.55,      1333.35,0.21,405.78
,KOTAKBANK,EQ,      1615.20,      1633.00,1.1,372.16
,TATASTEEL,EQ,       427.50,       420.85,-1.56,352.37
,HINDUNILVR,EQ,      2035.30,      2043.20,0.39,327.12
,TECHM,EQ,       761.45,       748.45,-1.71,321.06

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       458.60,       442.45,3.65
,JSWSTEEL,EQ,       268.30,       261.55,2.58
,GRASIM,EQ,       807.25,       787.05,2.57
,RELIANCE,EQ,      1586.50,      1551.15,2.28
,ASIANPAINT,EQ,      1738.25,      1706.15,1.88

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        64.05,        68.30,-6.22
,EICHERMOT,EQ,     21713.10,     22881.40,-5.11
,INFRATEL,EQ,       265.50,       276.30,-3.91
,BAJFINANCE,EQ,      3950.45,      4074.20,-3.04
,ONGC,EQ,       128.10,       131.75,-2.77

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.50,                   790102.30,23479
,21STCENMGM,EQ,        13.20,                    13200.00,1000
,3IINFOTECH,EQ,         1.95,                  2467406.95,1255578
,3MINDIA,EQ,     22206.30,                 22932493.25,1027
,3PLAND,EQ,         5.85,                    16954.25,2893
,5PAISA,EQ,       173.70,                  4856513.05,28312
,63MOONS,EQ,       103.00,                 14999511.65,145226
,732GS2024,GS,        91.00,                     9100.00,100
,74GS2035,GS,       100.00,                   110000.00,1100
,8KMILES,BZ,        39.15,                   150218.55,3837
,A2ZINFRA,EQ,         8.80,                  1188734.80,134242
,AARON,SM,        48.65,                   160545.00,3300
,AARTIDRUGS,EQ,       519.70,                  2349806.60,4506
,AARTIIND,EQ,       827.25,                 69377270.35,83360
,AARVEEDEN,EQ,        12.25,                   111151.65,9064
,AAVAS,EQ,      1751.90,                105700619.35,60263
,ABAN,BE,        25.95,                   382287.50,14653
,ABB,EQ,      1479.40,                116723692.50,79049
,ABBOTINDIA,EQ,     12621.25,                 93424828.60,7348
,ABCAPITAL,EQ,       107.15,                290525377.50,2691643
,ABFRL,EQ,       226.65,                 93300616.25,416171
,ABMINTLTD,BE,        14.10,                       14.10,1
,ABSLBANETF,EQ,       318.49,                     1273.84,4
,ABSLNN50ET,EQ,       286.38,                     4307.79,15
,ABSLRIF6RG,MF,         6.95,                    17375.00,2500
,ACCELYA,EQ,       956.55,                 17402087.75,18188
,ACCURACY,SM,        26.10,                   211280.00,8000
,ACE,EQ,        75.25,                  4251020.55,56079
,ADANIENT,EQ,       209.00,                664413185.20,3169460
,ADANIGAS,EQ,       164.15,                648237335.60,3953480
,ADANIGREEN,EQ,       131.30,                411409919.95,3121254
,ADANIPOWER,EQ,        62.30,                402678185.40,6394975
,ADANITRANS,EQ,       332.15,                766984132.85,2329535
,ADFFOODS,EQ,       308.35,                 35079992.85,114161
,ADHUNIKIND,EQ,       114.85,                  2312419.15,19884
,ADLABS,BE,         4.40,                  1115556.10,257895
,ADORWELD,EQ,       312.00,                  2457692.35,7889
,ADROITINFO,BE,         9.35,                     1013.95,112
,ADSL,EQ,        23.65,                  6757288.70,279118
,ADVANIHOTR,EQ,        54.70,                   109810.10,2007
,ADVENZYMES,EQ,       166.40,                 24600061.60,146367
,AEGISCHEM,EQ,       195.05,                 48877557.25,249275
,AFFLE,EQ,      1490.20,                132139494.60,87205
,AGARIND,EQ,       102.05,                  1305636.50,12805
,AGCNET,BE,       121.00,                   126497.00,1037
,AGRITECH,EQ,        44.05,                  2511514.35,55947
,AGROPHOS,EQ,       134.15,                109263755.50,814459
,AHIMSA,SM,        30.80,                   184800.00,6000
,AHLADA,SM,        50.00,                    50000.00,1000
,AHLEAST,EQ,       178.05,                   814516.40,4488
,AHLUCONT,EQ,       288.10,                  2018837.40,7144
,AHLWEST,EQ,       373.75,                  8195192.70,21808
,AIAENG,EQ,      1643.90,                 50153019.40,30660
,AIFL,BZ,         1.55,                    30018.15,18952
,AIONJSW,EQ,        10.00,                   844708.65,84267
,AIRAN,EQ,        10.75,                   726772.20,67074
,AIROLAM,SM,        31.00,                    93000.00,3000
,AISL,SM,        26.00,                    62400.00,2400
,AJANTPHARM,EQ,       989.90,                 41857091.40,42220
,AJMERA,EQ,       119.80,                  2444586.00,20395
