,16-Dec-2019
The Nifty witnessed an intraday movement of about 88.35 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28996.56
, Traded Quantity (in Lakhs), 15234.58
, Number of Trades, 10506543
, Total Market Capitalisation (Rs. Crores), 15175142.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        11.50,                  1344820.75,118439
,ALBERTDAVD,EQ,       395.30,                  2257016.25,5675
,ALBK,EQ,        19.20,                 27674573.35,1433426
,ALCHEM,BE,          .70,                     1715.50,2680
,ALEMBICLTD,EQ,        51.25,                  3096001.75,59882
,ALICON,EQ,       362.70,                   654401.20,1828
,ALKALI,EQ,        39.10,                    67789.15,1743
,ALKEM,EQ,      2084.75,                290047441.45,139215
,ALKYLAMINE,EQ,      1045.30,                  3241373.00,3112
,ALLCARGO,EQ,        93.95,                  7748658.40,82068
,ALLSEC,EQ,       282.50,                   632969.10,2224
,ALMONDZ,EQ,        10.75,                     4353.75,405
,ALOKTEXT,BE,         2.85,                  6414617.25,2342467
,ALPA,EQ,        15.40,                   533057.50,35703
,ALPHAGEO,EQ,       167.20,                   400414.80,2382
,ALPSINDUS,BE,         1.75,                   157609.30,90973
,AMARAJABAT,EQ,       723.05,                777606426.95,1059978
,AMBER,EQ,      1016.30,                 13600997.10,13364
,AMBIKCO,EQ,       847.45,                  1424988.25,1690
,AMDIND,EQ,        15.15,                    43667.70,2868
,AMJLAND,EQ,        18.85,                    67532.35,3580
,AMJUMBO,SM,        12.75,                   306000.00,24000
,AMRUTANJAN,EQ,       442.50,                  7993893.25,17865
,ANANTRAJ,EQ,        32.15,                  5789191.00,179305
,ANDHRABANK,EQ,        17.70,                 12856956.00,721346
,ANDHRACEMT,EQ,         2.35,                    79119.95,33728
,ANDHRSUGAR,EQ,       282.10,                  7323360.30,25999
,ANIKINDS,EQ,         8.05,                    41898.15,5187
,ANKITMETAL,BE,          .55,                     7114.80,12936
,ANSALAPI,EQ,         4.55,                    40784.85,8998
,ANSALHSG,BE,         5.05,                    57227.35,11197
,ANTGRAPHIC,BE,          .60,                    20223.00,35469
,ANUP,EQ,       450.50,                 34365916.45,76351
,APARINDS,EQ,       398.25,                  4017239.05,10042
,APCL,EQ,       139.30,                   135425.35,968
,APCOTEXIND,EQ,       149.15,                  3013411.10,20409
,APEX,EQ,       305.35,                125932883.40,409822
,APLAPOLLO,EQ,      1654.50,                 45714199.95,27326
,APLLTD,EQ,       546.55,                 22407362.80,40521
,APOLLO,EQ,        68.55,                  1549277.10,22441
,APOLLOHOSP,EQ,      1370.55,               1137788851.40,825493
,APOLLOPIPE,EQ,       342.05,                  3970730.20,11610
,APOLLOTYRE,EQ,       164.35,                378000822.35,2277535
,APOLSINHOT,EQ,       650.20,                    65439.90,100
,APTECHT,EQ,       152.45,                 12699443.95,82669
,ARCHIDPLY,EQ,        25.95,                   152314.95,5848
,ARCHIES,EQ,        20.50,                  1080224.70,53579
,ARCOTECH,BE,         2.00,                    56787.30,28244
,ARIES,EQ,        61.70,                  1666519.50,26762
,ARIHANT,EQ,        21.55,                   117620.20,5575
,ARIHANTSUP,EQ,        22.15,                   112451.55,4930
,ARMANFIN,EQ,       599.75,                  5576283.00,9169
,AROGRANITE,EQ,        37.40,                   131211.95,3573
,ARROWGREEN,EQ,        48.50,                   183607.80,3797
,ARROWTEX,EQ,         8.40,                    75619.95,8948
,ARSHIYA,EQ,        17.15,                   726961.05,42570
,ARSSINFRA,EQ,        22.15,                   175289.00,7867
,ARVIND,EQ,        39.80,                210213240.40,5230880
,ARVINDFASN,EQ,       405.00,                 74704083.05,186128
,ARVSMART,EQ,        87.25,                  1203294.45,13611
,ASAHIINDIA,EQ,       202.05,                  1370267.90,6827
,ASAHISONG,EQ,       133.45,                   302155.00,2252
,ASAL,EQ,        31.25,                    30601.60,990
,ASCOM,ST,        30.00,                   480000.00,16000
,ASHAPURMIN,EQ,        25.60,                  8237479.05,321510
,ASHIANA,EQ,        95.60,                 78541681.15,798332
,ASHIMASYN,EQ,         6.05,                   418083.00,67127
,ASHOKA,EQ,        92.85,                 15573429.95,167070
,ASIANHOTNR,EQ,        95.20,                    67660.90,710
,ASIANTILES,EQ,       225.55,                  2284799.65,10088
,ASPINWALL,EQ,       136.55,                   838961.40,5921
,ASTEC,EQ,       394.00,                  1817001.75,4649
,ASTERDM,EQ,       156.05,                 11728715.40,75546
,ASTRAL,EQ,      1141.90,                 52278442.00,45459
,ASTRAMICRO,EQ,        86.25,                  5541132.55,64494
,ASTRAZEN,EQ,      2875.20,                111015281.05,38886
,ASTRON,EQ,        38.90,                  7949520.55,203128
,ATFL,EQ,       615.45,                  2345123.25,3792
,ATLANTA,EQ,         5.65,                   207255.30,36510
,ATLASCYCLE,BE,        44.10,                    52623.65,1182
,ATNINTER,BE,          .20,                     4010.20,20051
,ATUL,EQ,      4012.70,                 17052198.50,4230
,ATULAUTO,EQ,       240.05,                  2689385.95,11190
,AUBANK,EQ,       795.20,                 77660872.15,97545
,AURIONPRO,EQ,        63.65,                    91383.80,1425
,AUSOMENT,BE,        33.75,                    16855.05,500
,AUTOAXLES,EQ,       793.50,                  2478670.45,3121
,AUTOIND,BE,        26.10,                    95660.30,3635
,AUTOLITIND,EQ,        19.90,                   174884.55,8719
,AVADHSUGAR,EQ,       256.30,                 63427225.05,248543
,AVANTIFEED,EQ,       536.45,                595650184.75,1101226
,AVG,SM,        70.15,                   252720.00,3600
,AVROIND,SM,        49.60,                   403800.00,8000
,AVTNPL,EQ,        31.15,                  2736267.90,85885
,AXISCADES,EQ,        52.55,                 14475354.30,275392
,AXISGOLD,EQ,      3324.90,                   293027.80,88
,AXISNIFTY,EQ,      1247.77,                    53714.61,43
,AYMSYNTEX,EQ,        29.20,                   316460.55,10696
,BAGFILMS,BE,         1.95,                    53726.75,27803
,BAJAJCON,EQ,       221.55,                 30787400.50,137717
,BAJAJELEC,EQ,       335.10,                 37783147.25,113747
,BAJAJHIND,EQ,         6.65,                 13398172.50,2007396
,BALAJITELE,EQ,        50.60,                  1893523.75,37210
,BALAMINES,EQ,       342.35,                  5336711.25,15550
,BALAXI,EQ,        77.10,                     8292.65,108
,BALKRISHNA,EQ,        16.50,                    35246.75,2127
,BALKRISIND,EQ,       947.05,                497026970.00,523504
,BALLARPUR,BE,          .45,                  4873271.95,12081496
,BALMLAWRIE,EQ,       188.65,                 21857696.80,115209
,BALPHARMA,EQ,        40.50,                    73318.75,1784
,BALRAMCHIN,EQ,       170.00,                313833732.15,1835336
,BANARBEADS,EQ,        28.75,                     8697.15,302
,BANARISUG,EQ,      1184.00,                   238203.55,202
,BANCOINDIA,EQ,        95.55,                  2042416.90,21336
,BANG,EQ,        16.55,                    36909.90,2205
,BANKA,SM,        62.25,                   149400.00,2400
,BANKBEES,EQ,      3260.39,                  8793675.86,2698
,BANKINDIA,EQ,        71.05,                188988709.70,2650660
,BANSWRAS,BE,        88.65,                   281119.80,3137
,BARTRONICS,BE,         1.60,                     8864.20,5405
,BASF,EQ,       964.50,                  2880454.05,2966
,BASML,EQ,       116.00,                   509518.65,4462
,BATAINDIA,EQ,      1697.65,                567797338.30,331935
,BAYERCROP,EQ,      3536.55,                 11865986.65,3368
,BBL,EQ,       784.45,                  1212451.85,1540
,BBTC,EQ,      1020.25,                171226320.35,165823
,BCG,BE,         6.00,                  1706340.00,284390
,BCP,EQ,        11.00,                    42933.70,3908
,BDL,EQ,       285.85,                 10439294.50,36236
,BEARDSELL,EQ,         7.90,                     7930.45,1050
,BEDMUTHA,BE,        16.50,                     1650.00,100
,BEL,EQ,       101.05,                648617435.60,6408768
,BEML,EQ,       993.10,                474685847.55,475256
,BEPL,EQ,        42.70,                 12113578.50,280768
,BFINVEST,EQ,       319.70,                 23960153.75,74619
,BFUTILITIE,EQ,       329.15,                106445517.35,317317
