symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2013-08-23,62456,15464,24.76
ADANIPORTS,EQ,2013-08-23,3373987,2200212,65.21
BEL,EQ,2013-08-23,67311,54048,80.30
BOSCHLTD,EQ,2013-08-23,2636,2446,92.79
CUMMINSIND,EQ,2013-08-23,280079,234026,83.56
DLF,EQ,2013-08-23,14096727,3096072,21.96
HINDALCO,EQ,2013-08-23,11149842,2693290,24.16
INDHOTEL,EQ,2013-08-23,899214,705056,78.41
LT,EQ,2013-08-23,3693646,2364062,64.00
MANAPPURAM,EQ,2013-08-23,1338022,922931,68.98
MARUTI,EQ,2013-08-23,621224,286203,46.07
PGEL,EQ,2013-08-23,1257,200,15.91
SBIN,EQ,2013-08-23,2229402,469676,21.07
SBIN,N1,2013-08-23,10,10,100.00
SBIN,N2,2013-08-23,2,2,100.00
SBIN,N3,2013-08-23,22,22,100.00
SBIN,N5,2013-08-23,356,337,94.66
SUZLON,EQ,2013-08-23,3325075,1509093,45.39
TRENT,EQ,2013-08-23,1522,1306,85.81
