symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2020-11-24,1072.40,1072.60,-0.0002,0.0211,0.0210,0.4012
ADANIPORTS,2020-11-24,392.25,375.15,0.0446,0.0246,0.0248,0.4738
BEL,2020-11-24,107.70,106.00,0.0159,0.0291,0.0291,0.5560
BOSCHLTD,2020-11-24,12980.30,11819.50,0.0937,0.0251,0.0259,0.4948
CUMMINSIND,2020-11-24,527.85,512.40,0.0297,0.0203,0.0203,0.3878
DIXON,2020-11-24,10870.00,10707.90,0.0150,0.0293,0.0292,0.5579
DLF,2020-11-24,189.50,186.10,0.0181,0.0330,0.0329,0.6286
DMART,2020-11-24,2380.35,2360.35,0.0084,0.0224,0.0224,0.4280
HAL,2020-11-24,791.20,772.15,0.0244,0.0289,0.0289,0.5521
HINDALCO,2020-11-24,226.00,218.05,0.0358,0.0324,0.0324,0.6190
INDHOTEL,2020-11-24,114.80,113.20,0.0140,0.0288,0.0287,0.5483
INDIGO,2020-11-24,1656.30,1669.55,-0.0080,0.0285,0.0284,0.5426
LT,2020-11-24,1135.50,1125.85,0.0085,0.0226,0.0226,0.4318
MANAPPURAM,2020-11-24,163.15,162.00,0.0071,0.0363,0.0362,0.6916
MARUTI,2020-11-24,7158.40,6987.75,0.0241,0.0253,0.0253,0.4834
PGEL,2020-11-24,142.00,135.25,0.0487,0.0428,0.0428,0.8177
SBIN,2020-11-24,243.85,238.70,0.0213,0.0280,0.0280,0.5349
SUZLON,2020-11-24,3.49,3.46,0.0086,0.0434,0.0433,0.8272
TRENT,2020-11-24,773.65,786.70,-0.0167,0.0304,0.0304,0.5808
