symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2020-11-03,877.40,875.65,0.0020,0.0193,0.0192,0.3668
ADANIPORTS,2020-11-03,353.65,356.90,-0.0091,0.0251,0.0251,0.4795
BEL,2020-11-03,89.40,88.65,0.0084,0.0292,0.0292,0.5579
BOSCHLTD,2020-11-03,11820.95,11569.75,0.0215,0.0255,0.0255,0.4872
CUMMINSIND,2020-11-03,447.00,436.90,0.0229,0.0203,0.0203,0.3878
DIXON,2020-11-03,9509.85,9506.80,0.0003,0.0296,0.0295,0.5636
DLF,2020-11-03,163.65,164.80,-0.0070,0.0338,0.0337,0.6438
DMART,2020-11-03,2209.00,2205.10,0.0018,0.0229,0.0228,0.4356
HAL,2020-11-03,672.65,674.95,-0.0034,0.0295,0.0294,0.5617
HINDALCO,2020-11-03,179.75,170.75,0.0514,0.0325,0.0326,0.6228
INDHOTEL,2020-11-03,96.30,92.20,0.0435,0.0271,0.0272,0.5197
INDIGO,2020-11-03,1370.20,1311.20,0.0440,0.0280,0.0281,0.5368
LT,2020-11-03,947.75,929.30,0.0197,0.0222,0.0222,0.4241
MANAPPURAM,2020-11-03,159.10,158.50,0.0038,0.0375,0.0374,0.7145
MARUTI,2020-11-03,6913.40,6868.20,0.0066,0.0261,0.0260,0.4967
PGEL,2020-11-03,103.35,104.85,-0.0144,0.0429,0.0429,0.8196
SBIN,2020-11-03,204.75,196.05,0.0434,0.0276,0.0277,0.5292
SUZLON,2020-11-03,3.35,3.50,-0.0438,0.0437,0.0437,0.8349
TRENT,2020-11-03,654.75,674.70,-0.0300,0.0310,0.0310,0.5923
