symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2012-06-25,790.25,795.00,-0.0060,0.0167,,0.3114
ADANIPORTS,2012-06-25,116.70,117.85,-0.0098,0.0192,,0.3592
BEL,2012-06-25,1295.20,1285.10,0.0078,0.0154,,0.2885
BOSCHLTD,2012-06-25,8717.60,8864.80,-0.0167,0.0098,,0.1968
CUMMINSIND,2012-06-25,439.10,434.00,0.0117,0.0184,,0.3458
DLF,2012-06-25,190.80,193.65,-0.0148,0.0232,,0.4356
HINDALCO,2012-06-25,114.75,117.30,-0.0220,0.0188,,0.3630
INDHOTEL,2012-06-25,58.80,59.65,-0.0144,0.0209,,0.3936
LT,2012-06-25,1355.45,1361.95,-0.0048,0.0228,,0.4222
MANAPPURAM,2012-06-25,27.20,24.55,0.1025,0.0354,,0.8120
MARUTI,2012-06-25,1113.90,1102.10,0.0106,0.0212,,0.3955
PGEL,2012-06-25,159.70,166.90,-0.0441,0.0314,,0.6171
SBIN,2012-06-25,2115.00,2157.80,-0.0200,0.0223,,0.4241
SUZLON,2012-06-25,17.75,17.40,0.0199,0.0265,,0.5006
TRENT,2012-06-25,934.55,954.40,-0.0210,0.0128,,0.2560
